date,tournament,home_team,away_team,home_score,away_score,result,elo_home,elo_away,elo_diff,neutral,form5_home,form5_away,venue_form5_home,venue_form5_away,venue_loss_streak_home,venue_loss_streak_away,form_vs_stronger_home,form_vs_stronger_away,pdiff5_home,pdiff5_away,rest_days_home,rest_days_away,rank_prev_home,rank_prev_away,coach_tenure_home,coach_tenure_away,avg_age_home,avg_age_away,n_hist_home,n_hist_away,combo_avg_home,combo_avg_away,combo_min_home,combo_min_away,combo_front_row_home,combo_locks_home,combo_back_row_home,combo_lineout_unit_home,combo_halfbacks_home,combo_inside_backs_home,combo_back_three_home,combo_spine_home,combo_front_row_away,combo_locks_away,combo_back_row_away,combo_lineout_unit_away,combo_halfbacks_away,combo_inside_backs_away,combo_back_three_away,combo_spine_away,xv_cohesion_avg_home,xv_cohesion_avg_away,xv_cohesion_min_home,xv_cohesion_min_away,sq23_cohesion_avg_home,sq23_cohesion_avg_away,xv_retained_home,xv_retained_away,xv_starts_avg_home,xv_starts_avg_away,cards5_home,cards5_away,weather_temp_c,weather_precip_mm,weather_wind_kmh
2015-02-15,6n,scotland,wales,23.0,26.0,l,1482.8,1479.0,3.7,0,0.0,0.0,nan,nan,0,0,nan,nan,-7.0,-5.0,8,9,8,6,1,1,27.15,27.56,1,1,0.75,0.75,0.0,0.0,0,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,0.7428571428571429,0.7428571428571429,0.0,0.0,0.6758893280632411,0.8300395256916996,13.0,13.0,0.8666666666666667,0.8666666666666667,1.0,1.0,9.1,0.0,22.4
2015-02-28,6n,scotland,italy,19.0,22.0,l,1466.4,1440.3,26.1,0,0.0,0.0,0.0,0.0,1,1,nan,0.0,-5.0,-26.5,13,14,9,14,2,2,26.92,26.6,2,2,0.375,0.5,0.0,0.0,1,0,2,0,0,0,0,0,0,1,0,1,2,0,0,0,1.1523809523809523,0.7714285714285715,0.0,0.0,0.9486166007905138,1.1422924901185771,11.0,9.0,1.5333333333333334,1.2666666666666666,1.0,0.5,7.1,0.2,25.7
2015-03-21,6n,italy,wales,20.0,61.0,l,1421.4,1538.8,-117.4,0,0.25,0.75,0.0,1.0,2,0,0.3333333333333333,1.0,-19.75,3.0,6,7,14,6,4,4,28.42,26.39,4,4,1.125,2.5,0.0,0.0,0,3,0,0,3,1,2,0,0,2,4,2,4,4,2,2,2.019047619047619,2.4380952380952383,0.0,0.0,2.0988142292490117,2.355731225296443,11.0,13.0,2.8666666666666667,3.1333333333333333,0.25,1.0,12.7,0.0,9.2
2015-07-17,rc,new_zealand,argentina,39.0,18.0,w,1527.0,1536.7,-9.8,0,1.0,1.0,nan,1.0,0,0,nan,nan,9.0,22.0,9,62,1,8,1,1,29.19,27.09,1,1,0.25,0.0,0.0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5238095238095238,0.05714285714285714,0.0,0.0,0.5375494071146245,0.1422924901185771,11.0,4.0,0.7333333333333333,0.26666666666666666,0.0,0.0,6.1,0.0,9.6
2015-07-25,rc,south_africa,new_zealand,20.0,27.0,l,1486.7,1553.3,-66.7,0,0.0,1.0,nan,1.0,0,0,nan,1.0,-4.0,15.0,7,8,2,1,1,2,27.45,28.28,1,2,0.375,0.0,0.0,0.0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.6285714285714286,0.4095238095238095,0.0,0.0,0.4743083003952569,0.4031620553359684,12.0,8.0,0.8,0.9333333333333333,0.0,0.0,9.2,0.0,17.6
2015-08-08,rc,south_africa,argentina,25.0,37.0,l,1466.9,1472.5,-5.7,0,0.0,0.3333333333333333,0.0,0.5,1,1,0.0,0.0,-5.5,-8.0,14,14,2,8,2,3,26.81,26.61,2,3,0.625,0.0,0.0,0.0,0,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,1.1523809523809523,0.42857142857142855,0.0,0.0,1.0118577075098814,0.8181818181818182,12.0,4.0,1.5333333333333334,1.0666666666666667,0.0,0.0,21.7,0.0,8.8
2015-08-15,rc,argentina,south_africa,12.0,26.0,l,1502.1,1437.3,64.8,0,0.5,0.0,0.0,0.0,1,1,0.0,0.0,-3.0,-7.666666666666667,7,7,8,2,4,3,26.27,27.86,4,3,0.25,0.125,0.0,0.0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0.638095238095238,0.6,0.0,0.0,1.2450592885375493,1.1936758893280632,6.0,7.0,1.5333333333333334,1.4,0.25,0.0,15.0,0.0,9.9
2015-08-22,tour,italy,scotland,12.0,16.0,l,1391.7,1397.0,-5.3,0,0.2,0.0,0.0,0.0,3,3,0.25,0.0,-24.0,-10.8,154,7,14,12,5,6,29.46,27.15,5,6,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47619047619047616,0.10476190476190476,0.0,0.0,1.1897233201581028,0.8260869565217391,5.0,4.0,1.6,0.8666666666666667,0.6,0.8,24.5,0.0,9.7
2015-08-29,tour,scotland,italy,48.0,7.0,w,1415.5,1373.1,42.4,0,0.2,0.2,0.0,0.5,3,0,0.0,0.2,-9.4,-20.2,7,7,12,14,7,6,27.08,27.78,7,6,0.625,0.375,0.0,0.0,0,0,0,0,4,0,1,0,1,0,1,0,1,0,0,0,1.438095238095238,1.5238095238095237,0.0,0.0,1.8181818181818181,2.399209486166008,1.0,7.0,3.066666666666667,3.066666666666667,0.6,0.4,16.7,0.0,21.9
2015-09-05,friendly,wales,italy,23.0,19.0,w,1560.7,1347.0,213.7,0,0.8,0.2,0.3333333333333333,0.3333333333333333,1,1,1.0,0.2,9.4,-22.4,7,7,6,15,7,7,26.66,28.86,7,7,1.25,0.5,0.0,0.0,1,1,0,0,6,0,2,0,1,0,1,0,1,0,1,0,1.638095238095238,2.361904761904762,0.0,0.0,2.0988142292490117,3.4031620553359683,10.0,8.0,3.4,4.133333333333334,0.6,0.8,15.4,0.0,14.1
