match_url,match_id,competition,season,competition_name,match_date,round,home_team,away_team,team,home_away,home_score_FT,away_score_FT,home_score_HT,away_score_HT,possession_pct,territory_pct,Tries,Metres_Gained,Carries,Defenders_Beaten,Clean_Breaks,Passes,Offloads,Turnovers_Conceded,Tackles_Attempted,Missed_Tackles,Turnovers_Won,Kicks_In_Play,Kick_Metres,Conversions,Conversion_Accuracy,Penalty_Goals,Penalty_Goal_Accuracy,Drop_Goals,Rucks_Won,Rucks_Lost,Rucks_Won_Pct,Mauls_Won,Lineouts_Won,Lineouts_Lost,Lineouts_Won_Pct,Scrums_Won,Scrums_Lost,Scrums_Won_Pct,Penalties_Conceded,Red_Cards,Yellow_Cards
https://rugby-union-feeds.incrowdsports.com/v1/matches/282738,282738,1026,202401,European Challenge Cup,2024-12-06,1,Dragons RFC,Montpellier,Dragons RFC,home,14,18,14,18,60.4,61.5,2,300,133,15,3,98,5,13,91,23,7,46,1275,2,100.0,0,0.0,0,94,0,96.9,4,12,0,85.7,9,2,81.8,8,0,0
https://rugby-union-feeds.incrowdsports.com/v1/matches/282738,282738,1026,202401,European Challenge Cup,2024-12-06,1,Dragons RFC,Montpellier,Montpellier,away,14,18,14,18,39.6,38.5,2,408,105,23,9,72,10,19,146,15,4,36,1123,1,50.0,2,100.0,0,50,1,88.1,4,9,0,81.8,8,0,100.0,10,0,0
https://rugby-union-feeds.incrowdsports.com/v1/matches/282737,282737,1026,202401,European Challenge Cup,2024-12-06,1,Gloucester Rugby,Edinburgh Rugby,Gloucester Rugby,home,15,10,7,7,50.2,49.0,2,235,102,16,5,136,6,14,131,23,8,28,836,1,50.0,1,100.0,0,75,0,98.7,7,15,0,88.2,8,1,88.9,7,0,0
https://rugby-union-feeds.incrowdsports.com/v1/matches/282737,282737,1026,202401,European Challenge Cup,2024-12-06,1,Gloucester Rugby,Edinburgh Rugby,Edinburgh Rugby,away,15,10,7,7,49.8,51.0,1,240,104,23,4,108,7,18,134,16,7,26,609,1,100.0,1,100.0,0,77,3,95.3,3,12,2,85.7,6,0,100.0,12,0,2
https://rugby-union-feeds.incrowdsports.com/v1/matches/282739,282739,1026,202401,European Challenge Cup,2024-12-07,1,Bayonne,Scarlets,Bayonne,home,17,16,14,13,66.5,67.1,2,540,178,46,7,168,13,17,78,8,5,17,641,2,100.0,1,100.0,0,123,0,97.7,3,16,3,80.0,6,0,100.0,11,0,0
https://rugby-union-feeds.incrowdsports.com/v1/matches/282739,282739,1026,202401,European Challenge Cup,2024-12-07,1,Bayonne,Scarlets,Scarlets,away,17,16,14,13,33.5,32.9,1,247,73,8,2,63,4,10,245,46,7,30,922,1,100.0,3,75.0,0,49,2,90.9,3,7,2,77.8,7,0,100.0,18,0,0
https://rugby-union-feeds.incrowdsports.com/v1/matches/282740,282740,1026,202401,European Challenge Cup,2024-12-07,1,Black Lion,Vannes,Black Lion,home,22,19,13,7,45.0,36.2,1,245,95,14,3,90,6,12,168,18,6,32,869,1,100.0,5,100.0,0,59,1,92.4,5,11,1,84.6,7,1,87.5,12,0,0
https://rugby-union-feeds.incrowdsports.com/v1/matches/282740,282740,1026,202401,European Challenge Cup,2024-12-07,1,Black Lion,Vannes,Vannes,away,22,19,13,7,55.0,63.8,1,359,130,18,4,147,13,10,115,14,8,30,1039,1,100.0,4,100.0,0,87,2,93.8,4,16,3,76.2,4,0,100.0,11,0,0
https://rugby-union-feeds.incrowdsports.com/v1/matches/282741,282741,1026,202401,European Challenge Cup,2024-12-07,1,Lyon O.U.,Cardiff Rugby,Lyon O.U.,home,37,26,17,14,54.3,56.8,5,362,123,21,9,138,14,11,116,12,6,28,968,3,60.0,2,100.0,0,76,2,97.5,10,15,2,88.2,6,0,100.0,4,0,0
https://rugby-union-feeds.incrowdsports.com/v1/matches/282741,282741,1026,202401,European Challenge Cup,2024-12-07,1,Lyon O.U.,Cardiff Rugby,Cardiff Rugby,away,37,26,17,14,45.7,43.2,4,382,98,12,7,117,3,13,132,21,7,26,645,3,75.0,0,,0,66,0,97.1,4,10,1,76.9,5,0,100.0,10,0,0
https://rugby-union-feeds.incrowdsports.com/v1/matches/282742,282742,1026,202401,European Challenge Cup,2024-12-07,1,Connacht Rugby,Zebre Parma,Connacht Rugby,home,43,12,17,5,49.6,53.8,7,506,130,41,13,182,9,14,154,37,8,13,401,4,57.1,0,,0,75,1,97.4,5,6,0,100.0,9,1,90.0,9,0,0
https://rugby-union-feeds.incrowdsports.com/v1/matches/282742,282742,1026,202401,European Challenge Cup,2024-12-07,1,Connacht Rugby,Zebre Parma,Zebre Parma,away,43,12,17,5,50.4,46.2,2,363,125,37,5,133,8,16,126,41,4,10,214,1,50.0,0,0.0,0,79,0,98.8,6,12,4,75.0,8,0,100.0,7,0,1
https://rugby-union-feeds.incrowdsports.com/v1/matches/282743,282743,1026,202401,European Challenge Cup,2024-12-08,1,Pau,Newcastle Falcons,Pau,home,32,19,11,7,52.8,53.7,4,650,121,30,8,94,7,13,122,20,2,37,1123,3,75.0,2,100.0,0,87,2,95.7,3,10,0,100.0,2,0,100.0,10,0,0
https://rugby-union-feeds.incrowdsports.com/v1/matches/282743,282743,1026,202401,European Challenge Cup,2024-12-08,1,Pau,Newcastle Falcons,Newcastle Falcons,away,32,19,11,7,47.2,46.3,3,235,115,20,3,118,7,7,148,30,6,37,1157,2,66.7,0,,0,80,0,98.8,3,13,2,86.7,7,0,100.0,6,0,1
https://rugby-union-feeds.incrowdsports.com/v1/matches/282744,282744,1026,202401,European Challenge Cup,2024-12-08,1,Toyota Cheetahs,Perpignan,Toyota Cheetahs,home,20,20,10,17,58.7,55.7,3,255,97,32,3,125,8,16,79,20,16,25,751,1,33.3,1,100.0,0,49,1,91.4,6,16,1,94.1,10,1,90.9,10,0,1
https://rugby-union-feeds.incrowdsports.com/v1/matches/282744,282744,1026,202401,European Challenge Cup,2024-12-08,1,Toyota Cheetahs,Perpignan,Perpignan,away,20,20,10,17,41.3,44.3,3,353,74,20,7,64,8,22,91,32,9,20,563,1,33.3,1,50.0,0,28,5,83.3,3,14,3,77.8,3,1,75.0,11,0,0
