match_url,match_id,competition,season,match_date,home_team,away_team,team,home_away,player_id,player,position,position_id,minutes_played,Tries,Metres_Gained,Carries,Defenders_Beaten,Clean_Breaks,Passes,Offloads,Turnovers_Conceded,Try_Assists,Points_Scored,Tackles_Attempted,Missed_Tackles,Turnovers_Won,Kicks_In_Play,Conversions,Penalty_Goals,Drop_Goals,Lineouts_Won,Lineout_Steals,Penalties_Conceded,Red_Cards,Yellow_Cards
https://rugby-union-feeds.incrowdsports.com/v1/matches/282674,282674,1008,202401,2024-12-06,Bath Rugby,La Rochelle,Bath Rugby,home,175011,Max Ojomoh,sub 7,22,6,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
https://rugby-union-feeds.incrowdsports.com/v1/matches/282674,282674,1008,202401,2024-12-06,Bath Rugby,La Rochelle,Bath Rugby,home,210178,Will Butt,inside centre,12,74,0,0,0,0,0,0,0,0,,0,4,0,0,0,0,0,0,0,0,0,0,0
https://rugby-union-feeds.incrowdsports.com/v1/matches/282674,282674,1008,202401,2024-12-06,Bath Rugby,La Rochelle,Bath Rugby,home,187169,Archie Griffin,sub 3,18,14,0,0,1,0,0,0,0,0,,0,2,0,0,0,0,0,0,0,0,1,0,0
https://rugby-union-feeds.incrowdsports.com/v1/matches/282674,282674,1008,202401,2024-12-06,Bath Rugby,La Rochelle,Bath Rugby,home,156834,Tom Carr-Smith,sub 6,21,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
https://rugby-union-feeds.incrowdsports.com/v1/matches/282674,282674,1008,202401,2024-12-06,Bath Rugby,La Rochelle,Bath Rugby,home,157863,Finn Russell,fly half,10,80,0,59,7,0,0,4,0,1,,10,3,1,0,17,2,2,0,0,0,0,0,0
https://rugby-union-feeds.incrowdsports.com/v1/matches/282674,282674,1008,202401,2024-12-06,Bath Rugby,La Rochelle,Bath Rugby,home,195208,Miles Reid,number eight,8,56,0,17,10,2,0,1,0,0,,0,2,0,1,0,0,0,0,0,0,1,0,0
https://rugby-union-feeds.incrowdsports.com/v1/matches/282674,282674,1008,202401,2024-12-06,Bath Rugby,La Rochelle,Bath Rugby,home,179563,Joe Cokanasiga,right wing,14,80,0,6,3,2,0,0,0,1,,0,0,1,0,0,0,0,0,0,0,0,0,0
https://rugby-union-feeds.incrowdsports.com/v1/matches/282674,282674,1008,202401,2024-12-06,Bath Rugby,La Rochelle,Bath Rugby,home,154219,Cameron Redpath,outside centre,13,80,0,25,7,2,0,0,0,0,,0,3,1,0,1,0,0,0,1,0,1,0,0
https://rugby-union-feeds.incrowdsports.com/v1/matches/282674,282674,1008,202401,2024-12-06,Bath Rugby,La Rochelle,Bath Rugby,home,108714,Will Stuart,tighthead prop,3,66,0,11,6,2,0,1,0,0,,0,1,0,0,0,0,0,0,0,0,0,0,0
https://rugby-union-feeds.incrowdsports.com/v1/matches/282674,282674,1008,202401,2024-12-06,Bath Rugby,La Rochelle,Bath Rugby,home,112684,Guy Pepper,flanker,7,80,0,5,3,0,0,2,0,1,,0,8,1,0,1,0,0,0,0,0,1,0,0
