match_url,match_id,competition,season,competition_name,match_date,round,home_team,away_team,team,home_away,home_score_FT,away_score_FT,home_score_HT,away_score_HT,possession_pct,territory_pct,Tries,Metres_Gained,Carries,Defenders_Beaten,Clean_Breaks,Passes,Offloads,Turnovers_Conceded,Tackles_Attempted,Missed_Tackles,Turnovers_Won,Kicks_In_Play,Kick_Metres,Conversions,Conversion_Accuracy,Penalty_Goals,Penalty_Goal_Accuracy,Drop_Goals,Rucks_Won,Rucks_Lost,Rucks_Won_Pct,Mauls_Won,Lineouts_Won,Lineouts_Lost,Lineouts_Won_Pct,Scrums_Won,Scrums_Lost,Scrums_Won_Pct,Penalties_Conceded,Red_Cards,Yellow_Cards
https://rugby-union-feeds.incrowdsports.com/v1/matches/282674,282674,1008,202401,Investec Champions Cup,2024-12-06,1,Bath Rugby,La Rochelle,Bath Rugby,home,20,24,6,21,55.9,51.8,2,285,83,13,1,56,0,10,63,15,5,38,1075,2,100.0,2,100.0,0,54,1,88.9,1,12,2,70.6,9,1,90.0,12,0,0
https://rugby-union-feeds.incrowdsports.com/v1/matches/282674,282674,1008,202401,Investec Champions Cup,2024-12-06,1,Bath Rugby,La Rochelle,La Rochelle,away,20,24,6,21,44.1,48.2,3,201,62,15,2,36,2,12,93,13,6,36,1231,3,100.0,1,50.0,0,32,0,86.8,6,12,2,75.0,5,0,100.0,9,0,0
https://rugby-union-feeds.incrowdsports.com/v1/matches/282675,282675,1008,202401,Investec Champions Cup,2024-12-07,1,Clermont Auvergne,Benetton Rugby,Clermont Auvergne,home,28,0,21,0,43.3,38.6,4,341,82,17,5,80,12,14,127,19,8,21,636,4,100.0,0,,0,43,1,94.0,7,11,0,91.7,7,1,87.5,13,0,1
https://rugby-union-feeds.incrowdsports.com/v1/matches/282675,282675,1008,202401,Investec Champions Cup,2024-12-07,1,Clermont Auvergne,Benetton Rugby,Benetton Rugby,away,28,0,21,0,56.7,61.4,0,266,116,19,4,127,6,18,81,17,7,16,516,0,,0,,0,77,2,95.3,2,12,6,66.7,8,0,100.0,12,0,1
https://rugby-union-feeds.incrowdsports.com/v1/matches/282676,282676,1008,202401,Investec Champions Cup,2024-12-07,1,Hollywoodbets Sharks,Exeter Chiefs,Hollywoodbets Sharks,home,39,21,26,14,44.6,40.3,5,530,100,33,18,113,12,12,118,14,4,18,512,4,80.0,2,100.0,0,47,1,94.4,2,13,0,100.0,6,0,100.0,19,0,3
https://rugby-union-feeds.incrowdsports.com/v1/matches/282676,282676,1008,202401,Investec Champions Cup,2024-12-07,1,Hollywoodbets Sharks,Exeter Chiefs,Exeter Chiefs,away,39,21,26,14,55.4,59.7,3,272,99,14,8,91,10,11,90,33,5,17,422,3,100.0,0,,0,70,0,97.3,5,14,1,82.3,7,0,100.0,11,0,2
https://rugby-union-feeds.incrowdsports.com/v1/matches/282677,282677,1008,202401,Investec Champions Cup,2024-12-07,1,Northampton Saints,Castres Olympique,Northampton Saints,home,38,8,14,3,44.7,43.9,6,417,120,46,7,115,6,15,203,24,9,41,1011,4,66.7,0,,0,82,1,95.5,2,8,4,61.5,7,0,100.0,11,0,0
https://rugby-union-feeds.incrowdsports.com/v1/matches/282677,282677,1008,202401,Investec Champions Cup,2024-12-07,1,Northampton Saints,Castres Olympique,Castres Olympique,away,38,8,14,3,55.3,56.1,1,422,146,24,7,123,8,18,130,46,4,39,961,0,0.0,1,50.0,0,109,1,96.5,2,10,0,90.9,8,0,100.0,9,0,0
https://rugby-union-feeds.incrowdsports.com/v1/matches/282678,282678,1008,202401,Investec Champions Cup,2024-12-07,1,DHL Stormers,Toulon,DHL Stormers,home,14,24,14,10,55.5,59.2,2,386,121,13,6,123,7,19,90,15,10,30,578,2,100.0,0,0.0,0,67,2,97.2,5,19,1,95.0,8,0,100.0,8,0,2
https://rugby-union-feeds.incrowdsports.com/v1/matches/282678,282678,1008,202401,Investec Champions Cup,2024-12-07,1,DHL Stormers,Toulon,Toulon,away,14,24,14,10,44.5,40.8,3,306,79,15,7,81,15,15,121,13,11,36,1038,3,100.0,1,100.0,0,45,1,92.0,5,13,1,92.9,6,0,100.0,14,1,1
