player_name,slug,url,position,caps,age,height_cm,weight_kg,career_mins,avg_mins_per_game,england_wins,england_draws,england_losses,status
Ollie Chessum,ollie-chessum,https://www.englandrugby.com/follow/england-men/senior-men/ollie-chessum,Lock,35,25,201,118,2002,57.2,21,0,14,ok
Arthur Clark,arthur-clark,https://www.englandrugby.com/follow/england-men/senior-men/arthur-clark,Lock,1,24,,,80,80,1,0,0,ok
Alex Coles,alex-coles,https://www.englandrugby.com/follow/england-men/senior-men/alex-coles,Lock,19,26,203,120.5,916,48.21,11,0,8,ok
Luke Cowan-Dickie,luke-cowan-dickie,https://www.englandrugby.com/follow/england-men/senior-men/luke-cowan-dickie,Hooker,58,32,183,111,1900,32.76,36,2,20,ok
Chandler Cunningham South,chandler-cunningham-south,https://www.englandrugby.com/follow/england-men/senior-men/chandler-cunningham-south,Back Row,22,23,196,120,825,37.5,13,0,9,ok
Tom Curry,tom-curry,https://www.englandrugby.com/follow/england-men/senior-men/tom-curry,Back Row,68,27,185,109,4442,65.32,45,2,21,ok
Theo Dan,theo-dan,https://www.englandrugby.com/follow/england-men/senior-men/theo-dan,Hooker,20,25,180,100,492,24.6,11,0,9,ok
Trevor Davison,trevor-davison,https://www.englandrugby.com/follow/england-men/senior-men/trevor-davison,Prop,8,33,,,92,11.5,4,0,4,ok
Ben Earl,ben-earl,https://www.englandrugby.com/follow/england-men/senior-men/ben-earl,Back Row,51,28,184,107,3018,59.18,32,0,19,ok
Ellis Genge,ellis-genge,https://www.englandrugby.com/follow/england-men/senior-men/ellis-genge,Prop,80,31,187,116,3763,47.04,49,2,29,ok
Jamie George,jamie-george,https://www.englandrugby.com/follow/england-men/senior-men/jamie-george,Hooker,110,35,183,107,5558,50.53,72,2,36,ok
Joe Heyes,joe-heyes,https://www.englandrugby.com/follow/england-men/senior-men/joe-heyes,Prop,22,27,189,126,773,35.14,15,0,7,ok
Maro Itoje,maro-itoje,https://www.englandrugby.com/follow/england-men/senior-men/maro-itoje,Lock,102,31,195,118,7828,76.75,64,1,37,ok
Guy Pepper,guy-pepper,https://www.englandrugby.com/follow/england-men/senior-men/guy-pepper,Back Row,12,23,,,665,55.42,8,0,4,ok
Bevan Rodd,bevan-rodd,https://www.englandrugby.com/follow/england-men/senior-men/bevan-rodd,Prop,15,25,,117,574,38.27,9,0,6,ok
Sam Underhill,sam-underhill,https://www.englandrugby.com/follow/england-men/senior-men/sam-underhill,Back Row,50,29,186,103,2731,54.62,36,0,14,ok
Henry Arundell,henry-arundell,https://www.englandrugby.com/follow/england-men/senior-men/henry-arundell,Winger,14,23,183,98,530,37.86,9,0,5,ok
Seb Atkinson,seb-atkinson,https://www.englandrugby.com/follow/england-men/senior-men/seb-atkinson,Centre,4,23,190,91.5,300,75,2,0,2,ok
Elliot Daly,elliot-daly,https://www.englandrugby.com/follow/england-men/senior-men/elliot-daly,Full Back,76,33,185,98,5231,68.83,53,1,22,ok
Fraser Dingwall,fraser-dingwall,https://www.englandrugby.com/follow/england-men/senior-men/fraser-dingwall,Centre,10,27,183,95.7,793,79.3,8,0,2,ok
Immanuel Feyi Waboso,immanuel-feyi-waboso,https://www.englandrugby.com/follow/england-men/senior-men/immanuel-feyi-waboso,Winger,13,23,180,94,826,63.54,8,0,5,ok
George Ford,george-ford,https://www.englandrugby.com/follow/england-men/senior-men/george-ford,Fly Half,108,33,178,84,6251,57.88,75,1,32,ok
Tommy Freeman,tommy-freeman,https://www.englandrugby.com/follow/england-men/senior-men/tommy-freeman,Full Back,27,25,188,92,2118,78.44,14,0,13,ok
George Furbank,george-furbank,https://www.englandrugby.com/follow/england-men/senior-men/george-furbank,Full Back,14,29,182,87,892,63.71,7,0,7,ok
Alex Mitchell,alex-mitchell,https://www.englandrugby.com/follow/england-men/senior-men/alex-mitchell,Scrum Half,30,28,180,81,1622,54.07,20,0,10,ok
Cadan Murley,cadan-murley,https://www.englandrugby.com/follow/england-men/senior-men/cadan-murley,Winger,6,26,177,92,358,59.67,3,0,3,ok
