squad_id,announcement_date,player_name,dob,caps_at_announcement,caps_source
6N 2023,2023-01-16,Jamie George,1990-10-20,72,wikipedia/rugbypass
6N 2023,2023-01-16,George McGuigan,1995-03-15,0,wikipedia/rugbypass
6N 2023,2023-01-16,Jack Walker,1998-04-07,0,wikipedia/rugbypass
6N 2023,2023-01-16,Dan Cole,1987-05-09,95,wikipedia/rugbypass
6N 2023,2023-01-16,Ellis Genge,1995-02-16,43,wikipedia/rugbypass
6N 2023,2023-01-16,Joe Heyes,1999-04-13,7,wikipedia/rugbypass
6N 2023,2023-01-16,Bevan Rodd,2000-08-26,2,wikipedia/rugbypass
6N 2023,2023-01-16,Kyle Sinckler,1993-09-14,56,wikipedia/rugbypass
6N 2023,2023-01-16,Mako Vunipola,1991-02-03,74,wikipedia/rugbypass
6N 2023,2023-01-16,Ollie Chessum,2000-09-06,5,wikipedia/rugbypass
6N 2023,2023-01-16,Jonny Hill,1994-01-02,19,wikipedia/rugbypass
6N 2023,2023-01-16,Nick Isiekwe,1998-04-20,8,wikipedia/rugbypass
6N 2023,2023-01-16,Maro Itoje,1994-10-28,62,wikipedia/rugbypass
6N 2023,2023-01-16,Ben Curry,1998-06-15,1,wikipedia/rugbypass
6N 2023,2023-01-16,Ben Earl,1998-01-07,13,wikipedia/rugbypass
6N 2023,2023-01-16,Courtney Lawes,1989-02-25,96,wikipedia/rugbypass
6N 2023,2023-01-16,Lewis Ludlam,1995-12-08,14,wikipedia/rugbypass
6N 2023,2023-01-16,Jack Willis,1996-12-24,6,wikipedia/rugbypass
6N 2023,2023-01-16,Alex Dombrandt,1997-04-29,7,wikipedia/rugbypass
6N 2023,2023-01-16,Sam Simmonds,1994-12-18,18,wikipedia/rugbypass
6N 2023,2023-01-16,Alex Mitchell,1997-05-25,1,wikipedia/rugbypass
6N 2023,2023-01-16,Jack van Poortvliet,2001-05-15,7,wikipedia/rugbypass
6N 2023,2023-01-16,Ben Youngs,1989-08-05,121,wikipedia/rugbypass
6N 2023,2023-01-16,Owen Farrell,1991-09-24,101,wikipedia/rugbypass
6N 2023,2023-01-16,Fin Smith,2002-05-11,0,wikipedia/rugbypass
6N 2023,2023-01-16,Marcus Smith,1999-02-14,17,wikipedia/rugbypass
6N 2023,2023-01-16,Elliot Daly,1992-10-08,57,wikipedia/rugbypass
6N 2023,2023-01-16,Dan Kelly,1998-06-01,1,wikipedia/rugbypass
6N 2023,2023-01-16,Joe Marchant,1996-07-16,13,wikipedia/rugbypass
6N 2023,2023-01-16,Henry Slade,1993-03-19,52,wikipedia/rugbypass
6N 2023,2023-01-16,Manu Tuilagi,1991-05-18,50,wikipedia/rugbypass
6N 2023,2023-01-16,Ollie Hassell-Collins,1999-10-13,0,wikipedia/rugbypass
6N 2023,2023-01-16,Max Malins,1997-01-07,14,wikipedia/rugbypass
6N 2023,2023-01-16,Cadan Murley,1999-01-31,0,wikipedia/rugbypass
6N 2023,2023-01-16,Tommy Freeman,2001-03-05,3,wikipedia/rugbypass
6N 2023,2023-01-16,Freddie Steward,2000-12-05,17,wikipedia/rugbypass
RWC 2023,2023-08-14,Theo Dan,2000-12-26,2,derived_from_lineups
RWC 2023,2023-08-14,Jamie George,1990-10-20,78,derived_from_lineups
RWC 2023,2023-08-14,Jack Walker,1998-04-07,5,derived_from_lineups
RWC 2023,2023-08-14,Dan Cole,1987-05-09,101,derived_from_lineups
RWC 2023,2023-08-14,Ellis Genge,1995-02-16,50,derived_from_lineups
RWC 2023,2023-08-14,Joe Marler,1990-07-07,80,derived_from_lineups
RWC 2023,2023-08-14,Bevan Rodd,2000-08-26,3,derived_from_lineups
RWC 2023,2023-08-14,Kyle Sinckler,1993-09-14,62,derived_from_lineups
RWC 2023,2023-08-14,Will Stuart,1996-07-12,27,derived_from_lineups
RWC 2023,2023-08-14,Ollie Chessum,2000-09-06,9,derived_from_lineups
RWC 2023,2023-08-14,Maro Itoje,1994-10-28,68,derived_from_lineups
RWC 2023,2023-08-14,Courtney Lawes,1989-02-25,98,derived_from_lineups
RWC 2023,2023-08-14,George Martin,2001-06-18,3,derived_from_lineups
RWC 2023,2023-08-14,David Ribbans,1994-10-10,2,estimated
RWC 2023,2023-08-14,Tom Curry,1998-06-15,45,derived_from_lineups
RWC 2023,2023-08-14,Ben Earl,1998-01-07,16,derived_from_lineups
RWC 2023,2023-08-14,Lewis Ludlam,1995-12-08,20,derived_from_lineups
RWC 2023,2023-08-14,Billy Vunipola,1992-11-05,65,estimated
RWC 2023,2023-08-14,Jack Willis,1996-12-24,12,derived_from_lineups
RWC 2023,2023-08-14,Danny Care,1987-01-09,88,derived_from_lineups
RWC 2023,2023-08-14,Alex Mitchell,1997-05-25,5,derived_from_lineups
RWC 2023,2023-08-14,Ben Youngs,1989-08-05,123,derived_from_lineups
RWC 2023,2023-08-14,Owen Farrell,1991-09-24,107,derived_from_lineups
RWC 2023,2023-08-14,George Ford,1993-03-16,82,derived_from_lineups
RWC 2023,2023-08-14,Marcus Smith,1999-02-14,20,derived_from_lineups
RWC 2023,2023-08-14,Elliot Daly,1992-10-08,58,derived_from_lineups
RWC 2023,2023-08-14,Ollie Lawrence,1999-09-18,12,derived_from_lineups
RWC 2023,2023-08-14,Joe Marchant,1996-07-16,17,derived_from_lineups
RWC 2023,2023-08-14,Manu Tuilagi,1991-05-18,51,derived_from_lineups
RWC 2023,2023-08-14,Henry Arundell,2002-11-08,8,derived_from_lineups
RWC 2023,2023-08-14,Jonny May,1990-04-01,76,estimated
RWC 2023,2023-08-14,Max Malins,1997-01-07,20,derived_from_lineups
RWC 2023,2023-08-14,Freddie Steward,2000-12-05,24,derived_from_lineups
6N 2024,2024-01-17,Luke Cowan-Dickie,1993-06-20,41,wikipedia/rugbypass
6N 2024,2024-01-17,Theo Dan,2000-12-26,11,derived_from_lineups
6N 2024,2024-01-17,Jamie George,1990-10-20,85,wikipedia/rugbypass
6N 2024,2024-01-17,Dan Cole,1987-05-09,107,wikipedia/rugbypass
6N 2024,2024-01-17,Ellis Genge,1995-02-16,58,wikipedia/rugbypass
6N 2024,2024-01-17,Joe Heyes,1999-04-13,7,wikipedia/rugbypass
6N 2024,2024-01-17,Joe Marler,1990-07-07,88,wikipedia/rugbypass
