squad_id,announcement_date,competition,player_name,position,club,captain
6N 2023,2023-01-16,Six Nations 2023,Jamie George,Hooker,Saracens,
6N 2023,2023-01-16,Six Nations 2023,George McGuigan,Hooker,Gloucester Rugby,
6N 2023,2023-01-16,Six Nations 2023,Jack Walker,Hooker,Harlequins,
6N 2023,2023-01-16,Six Nations 2023,Dan Cole,Prop,Leicester Tigers,
6N 2023,2023-01-16,Six Nations 2023,Ellis Genge,Prop,Bristol Bears,
6N 2023,2023-01-16,Six Nations 2023,Joe Heyes,Prop,Leicester Tigers,
6N 2023,2023-01-16,Six Nations 2023,Bevan Rodd,Prop,Sale Sharks,
6N 2023,2023-01-16,Six Nations 2023,Kyle Sinckler,Prop,Bristol Bears,
6N 2023,2023-01-16,Six Nations 2023,Mako Vunipola,Prop,Saracens,
6N 2023,2023-01-16,Six Nations 2023,Ollie Chessum,Lock,Leicester Tigers,
6N 2023,2023-01-16,Six Nations 2023,Jonny Hill,Lock,Sale Sharks,
6N 2023,2023-01-16,Six Nations 2023,Nick Isiekwe,Lock,Saracens,
6N 2023,2023-01-16,Six Nations 2023,Maro Itoje,Lock,Saracens,
6N 2023,2023-01-16,Six Nations 2023,Ben Curry,Back Row,Sale Sharks,
6N 2023,2023-01-16,Six Nations 2023,Ben Earl,Back Row,Saracens,
6N 2023,2023-01-16,Six Nations 2023,Courtney Lawes,Back Row,Northampton Saints,
6N 2023,2023-01-16,Six Nations 2023,Lewis Ludlam,Back Row,Northampton Saints,
6N 2023,2023-01-16,Six Nations 2023,Jack Willis,Back Row,Toulouse,
6N 2023,2023-01-16,Six Nations 2023,Alex Dombrandt,Back Row,Harlequins,
6N 2023,2023-01-16,Six Nations 2023,Sam Simmonds,Back Row,Exeter Chiefs,
6N 2023,2023-01-16,Six Nations 2023,Alex Mitchell,Scrum Half,Northampton Saints,
6N 2023,2023-01-16,Six Nations 2023,Jack van Poortvliet,Scrum Half,Leicester Tigers,
6N 2023,2023-01-16,Six Nations 2023,Ben Youngs,Scrum Half,Leicester Tigers,
6N 2023,2023-01-16,Six Nations 2023,Owen Farrell,Fly Half,Saracens,
6N 2023,2023-01-16,Six Nations 2023,Fin Smith,Fly Half,Northampton Saints,
6N 2023,2023-01-16,Six Nations 2023,Marcus Smith,Fly Half,Harlequins,
6N 2023,2023-01-16,Six Nations 2023,Elliot Daly,Centre,Saracens,
6N 2023,2023-01-16,Six Nations 2023,Dan Kelly,Centre,Leicester Tigers,
6N 2023,2023-01-16,Six Nations 2023,Joe Marchant,Centre,Harlequins,
6N 2023,2023-01-16,Six Nations 2023,Henry Slade,Centre,Exeter Chiefs,
6N 2023,2023-01-16,Six Nations 2023,Manu Tuilagi,Centre,Sale Sharks,
6N 2023,2023-01-16,Six Nations 2023,Ollie Hassell-Collins,Winger,London Irish,
6N 2023,2023-01-16,Six Nations 2023,Max Malins,Winger,Saracens,
6N 2023,2023-01-16,Six Nations 2023,Cadan Murley,Winger,Harlequins,
6N 2023,2023-01-16,Six Nations 2023,Tommy Freeman,Full Back,Northampton Saints,
6N 2023,2023-01-16,Six Nations 2023,Freddie Steward,Full Back,Leicester Tigers,
RWC 2023,2023-08-14,Rugby World Cup 2023,Theo Dan,Hooker,Saracens,
RWC 2023,2023-08-14,Rugby World Cup 2023,Jamie George,Hooker,Saracens,
RWC 2023,2023-08-14,Rugby World Cup 2023,Jack Walker,Hooker,Harlequins,
RWC 2023,2023-08-14,Rugby World Cup 2023,Dan Cole,Prop,Leicester Tigers,
RWC 2023,2023-08-14,Rugby World Cup 2023,Ellis Genge,Prop,Bristol Bears,C
RWC 2023,2023-08-14,Rugby World Cup 2023,Joe Marler,Prop,Harlequins,
RWC 2023,2023-08-14,Rugby World Cup 2023,Bevan Rodd,Prop,Sale Sharks,
RWC 2023,2023-08-14,Rugby World Cup 2023,Kyle Sinckler,Prop,Bristol Bears,
RWC 2023,2023-08-14,Rugby World Cup 2023,Will Stuart,Prop,Bath Rugby,
RWC 2023,2023-08-14,Rugby World Cup 2023,Ollie Chessum,Lock,Leicester Tigers,
RWC 2023,2023-08-14,Rugby World Cup 2023,Maro Itoje,Lock,Saracens,
RWC 2023,2023-08-14,Rugby World Cup 2023,Courtney Lawes,Lock,Northampton Saints,C
RWC 2023,2023-08-14,Rugby World Cup 2023,George Martin,Lock,Leicester Tigers,
RWC 2023,2023-08-14,Rugby World Cup 2023,David Ribbans,Lock,Northampton Saints,
RWC 2023,2023-08-14,Rugby World Cup 2023,Tom Curry,Back Row,Sale Sharks,
RWC 2023,2023-08-14,Rugby World Cup 2023,Ben Earl,Back Row,Saracens,
