player_name,position,6N 2023,RWC 2023,6N 2024,Summer 2024,Autumn 2024,6N 2025,Summer 2025,Autumn 2025,6N 2026,Summer NC 2026
Announcement date,,2023-01-16,2023-08-14,2024-01-23,2024-06-10,2024-10-07,2025-01-23,2025-06-24,2025-10-13,2026-01-27,2026-06-23
── PROP ──,,,,,,,,,,,
Dan Cole,Prop,✓,✓,✓,✓,✓,,,,,
Ellis Genge,Prop,✓,C,✓,,✓,✓,,✓,✓,✓
Joe Heyes,Prop,✓,,✓,✓,,✓,✓,✓,✓,✓
Bevan Rodd,Prop,✓,✓,,✓,,✓,✓,,✓,
Kyle Sinckler,Prop,✓,✓,,,,,,,,
Mako Vunipola,Prop,✓,,,,,,,,,
Joe Marler,Prop,,✓,✓,✓,✓,,,,,
Will Stuart,Prop,,✓,✓,✓,✓,✓,,✓,,
Beno Obano,Prop,,,✓,,,,,,,✓
Fin Baxter,Prop,,,,✓,✓,✓,✓,✓,,
Emmanuel Iyogun,Prop,,,,✓,,,✓,,✓,
Asher Opoku-Fordjour,Prop,,,,,,✓,✓,✓,,✓
Trevor Davison,Prop,,,,,,,✓,,✓,
Vilikesa Sela,Prop,,,,,,,,,✓,✓
George Kloska,Prop,,,,,,,,,,✓
── HOOKER ──,,,,,,,,,,,
Jamie George,Hooker,✓,✓,C,C,✓,✓,C,✓,✓,C
George McGuigan,Hooker,✓,,,,,,,,,
Jack Walker,Hooker,✓,✓,,,,,,,,
Theo Dan,Hooker,,✓,✓,✓,✓,✓,C,✓,✓,✓
Luke Cowan-Dickie,Hooker,,,✓,,✓,✓,,✓,✓,✓
Gabriel Oghre,Hooker,,,,✓,,,,,,
Curtis Langdon,Hooker,,,,,,,✓,,,
── LOCK ──,,,,,,,,,,,
Ollie Chessum,Lock,✓,✓,✓,,✓,✓,,✓,✓,✓
Jonny Hill,Lock,✓,,,,,,,,,
Nick Isiekwe,Lock,✓,,✓,✓,✓,,✓,✓,,
Maro Itoje,Lock,✓,✓,✓,✓,✓,C,,✓,C,
Courtney Lawes,Lock,✓,C,,,,,,,,
George Martin,Lock,,✓,,✓,✓,✓,,,,✓
David Ribbans,Lock,,✓,,,,,,,,
Alex Coles,Lock,,,✓,✓,✓,✓,✓,✓,✓,✓
Charlie Ewels,Lock,,,,✓,,,✓,,,✓
Arthur Clark,Lock,,,,,,,✓,,✓,✓
── BACK ROW ──,,,,,,,,,,,
Ben Curry,Back Row,✓,,✓,✓,✓,✓,✓,,,
Ben Earl,Back Row,✓,✓,✓,✓,✓,✓,,✓,✓,✓
Lewis Ludlam,Back Row,✓,✓,,,,,,,,
Jack Willis,Back Row,✓,✓,,,,,,,,
Alex Dombrandt,Back Row,✓,,✓,✓,✓,✓,✓,,,
Sam Simmonds,Back Row,✓,,,,,,,,,
Tom Curry,Back Row,,✓,,✓,✓,✓,,✓,✓,✓
Billy Vunipola,Back Row,,✓,,,,,,,,
Chandler Cunningham-South,Back Row,,,✓,✓,✓,✓,✓,✓,✓,
Tom Pearson,Back Row,,,✓,,,,,,,
Ethan Roots,Back Row,,,✓,✓,✓,,,,,
Sam Underhill,Back Row,,,✓,✓,✓,,✓,✓,✓,
Ted Hill,Back Row,,,,,,✓,✓,,,✓
Tom Willis,Back Row,,,,,,✓,✓,,,
Guy Pepper,Back Row,,,,,,,✓,✓,✓,✓
