playerId,firstName,lastName,dateOfBirth,birthPlace,height,weight,country,nationalTeamId,nationalTeamName,teamId,teamName
140708,Tom,Gordon,1997-01-30,Rotorua,180,102,New Zealand,,,2038,Newcastle Falcons
168872,Callum,Chick,1996-11-25,Newcastle-upon-Tyne,193,115,England,1,England,3436,Newcastle Falcons
205702,Brett,Connon,1996-08-29,Carlisle,175,89,England,,,2038,Newcastle Falcons
219782,Freddie,Lockwood,2000-12-31,Malton,188,116,England,,,2038,Newcastle Falcons
239563,Ben,Redshaw,2005-01-10,Leeds,185,80,England,,,4293,Newcastle Falcons
207081,Ollie,Fletcher,2002-09-09,Hexham,183,106,England,,,2038,Newcastle Falcons
200621,Richard,Palframan,1993-12-20,East London,185,120,South Africa,,,2038,Newcastle Falcons
205585,Murray,McCallum,1996-03-16,Kirkcaldy,185,126,Scotland,2,Scotland,2038,Newcastle Falcons
143607,Luan,de Bruin,1993-02-13,Pretoria,183,128,South Africa,,,2038,Newcastle Falcons
137624,Sam,Stuart,1991-09-27,Cheltenham,173,83,England,,,2038,Newcastle Falcons
164792,Adam,Brocklebank,1995-09-06,Ormskirk,188,125,England,,,2038,Newcastle Falcons
190680,Ollie,Leatherbarrow,2002-04-08,Macclesfield,183,105,England,,,2038,Newcastle Falcons
145014,Elliott,Obatoyinbo,1998-10-09,,185,89,England,,,2038,Newcastle Falcons
221884,Adam,Radwan,1997-12-30,Osmotherly,178,89,England,1,England,1711,Newcastle Falcons
188156,Adam,Scott,2001-11-27,Newcastle-upon-Tyne,198,110,England,,,2038,Newcastle Falcons
160415,Jamie,Blamire,1997-12-22,Whitehaven,185,112,England,1,England,1711,Newcastle Falcons
108863,Sammy,Arnold,1996-04-08,,183,102,England,4,Ireland,2038,Newcastle Falcons
112066,Fitz,Harding,1999-04-26,Kensington,188,105,England,,,4581,Bristol Bears
106402,Jake,Woolmore,1990-12-07,Hammersmith,183,124,England,,,4581,Bristol Bears
245732,Benjamin,Grondona,2003-10-19,,191,100,,10,Argentina,4581,Bristol Bears
156903,James,Williams,1997-02-24,Dorchester,178,96,England,,,4581,Bristol Bears
199272,James,Dun,1999-07-07,Bath,193,111,England,,,4581,Bristol Bears
212999,AJ,MacGinty,1990-02-26,Dublin,180,95,Ireland,136,United States,4581,Bristol Bears
217606,Benhard,Janse van Rensburg,1997-01-14,Pretoria,185,86,South Africa,,,4581,Bristol Bears
211692,Max,Malins,1997-01-07,Cambridge,180,88,England,1,England,2581,Bristol Bears
163209,George,Kloska,1999-11-16,Bristol,183,117,England,,,4581,Bristol Bears
165007,Ellis,Genge,1995-02-16,Bristol,185,116,England,1,England,4581,Bristol Bears
195214,Harry,Randall,1997-12-18,Slough,170,72,England,1,England,4581,Bristol Bears
142481,Steven,Luatua,1991-04-29,Auckland,196,116,New Zealand,222,Samoa,4581,Bristol Bears
243442,Joe,Jenkins,2003-10-13,Halifax,191,97,England,,,4581,Bristol Bears
131218,Gabriel,Ibitoye,1998-03-05,Lambeth,178,99,England,,,4581,Bristol Bears
147794,Joe,Batley,1996-06-27,Portsmouth,201,120,England,,,4581,Bristol Bears
216599,Rich,Lane,1993-07-21,Bedford,178,89,England,,,4581,Bristol Bears
210010,Kieran,Marmion,1992-02-11,Barking,178,86,England,4,Ireland,4581,Bristol Bears
130811,Max,Lahiff,1989-12-09,London,185,115,England,,,4581,Bristol Bears
127101,Gabriel,Oghre,1998-05-25,Westminster,173,103,England,1,England,4581,Bristol Bears
210178,Will,Butt,2000-01-15,Winchester,191,105,England,,,2448,Bath Rugby
