url,match_id,competition,season,home_team,away_team,tries_home,tries_away,metres_gained_home,metres_gained_away,carries_home,carries_away,defenders_beaten_home,defenders_beaten_away,clean_breaks_home,clean_breaks_away,passes_home,passes_away,offloads_home,offloads_away,turnovers_conceded_home,turnovers_conceded_away
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2026-france-v-england-match-centre#stats,947118,209,2026,France,England,6,7,323,419,123,117,25,19,10,6,154,129,18,6,11,12
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2025-england-v-scotland-match-centre#stats,941796,209,2025,England,Scotland,1,3,322,517,78,160,10,35,2,9,102,252,3,10,12,18
https://www.englandrugby.com/fixtures-and-results/match-centre/rwc23-england-chile#stats,102321,210,2024,England,Chile,11,0,685,256,132,91,28,18,15,3,202,100,8,8,11,20
https://www.englandrugby.com/fixtures-and-results/match-centre/191122-england-new-zealand-autumn-match-centre#stats,930023,3,2023,England,N Zealand,3,3,490,389,121,88,18,23,6,6,152,107,3,6,10,8
https://www.englandrugby.com/fixtures-and-results/match-centre/20220702-australia-england-tour-match-centre#stats,931078,3,2022,Australia,England,3,3,267,370,94,109,17,22,2,4,113,158,10,5,9,8
https://www.englandrugby.com/fixtures-and-results/match-centre/20220226-england-vs-wales#stats,921093,209,2022,England,Wales,1,3,414,461,132,153,19,20,2,5,162,226,6,14,12,12
https://www.englandrugby.com/fixtures-and-results/match-centre/20191102-england-south-africa-world-cup-final#stats,101596,210,2020,England,S Africa,0,2,201,369,123,89,14,12,2,11,153,97,12,4,14,9
https://www.englandrugby.com/fixtures-and-results/match-centre-elite?matchId=7470&competitionId=3&seasonId=2015#stats,7470,3,2015,England,New Zealand,1,3,207,477,92,155,16,23,4,9,94,188,6,15,13,16
https://www.englandrugby.com/fixtures-and-results/match-centre-elite?matchId=7555&competitionId=3&seasonId=2016#stats,7555,3,2016,Australia,England,1,2,501,226,188,66,31,9,13,4,224,62,11,4,24,10
https://www.englandrugby.com/fixtures-and-results/match-centre-elite?matchId=913023&competitionId=209&seasonId=2013#stats,913023,209,2013,Ireland,England,0,0,221,178,85,58,13,3,2,0,88,61,1,1,15,6
