date,opposition,shirt,player,dob,age_on_matchday
16/05/2015,Uruguay,2,Matias Cortese,1985-10-01,29.62
16/05/2015,Uruguay,8,Facundo Isa,1993-09-21,21.65
16/05/2015,Uruguay,5,Geronimo Albertario,1987-11-24,27.47
16/05/2015,Uruguay,14,Matias Orlando,1991-11-14,23.5
16/05/2015,Uruguay,1,Bruno Postiglioni,1987-04-08,28.1
16/05/2015,Uruguay,19,Lisandro Ahualli De Chazal,1988-12-29,26.38
16/05/2015,Uruguay,9,Martín Landajo,1988-06-14,26.92
16/05/2015,Uruguay,20,Tomas Lezana,1994-02-16,21.24
16/05/2015,Uruguay,11,Manuel Montero,1991-11-20,23.49
16/05/2015,Uruguay,6,Pablo Matera,1993-07-18,21.83
16/05/2015,Uruguay,18,Santiago Garcia Botta,1992-06-19,22.91
16/05/2015,Uruguay,13,Jeronimo de la Fuente,1991-02-24,24.22
16/05/2015,Uruguay,10,Santiago Gonzalez Iglesias,1988-06-16,26.91
16/05/2015,Uruguay,12,Gabriel Ascarate,1987-10-20,27.57
16/05/2015,Uruguay,22,Juan Leon Novillo,1992-07-08,22.85
16/05/2015,Uruguay,4,Guido Petti Pagadizabal,1994-11-17,20.49
16/05/2015,Uruguay,3,Matias Diaz,1993-02-16,22.24
16/05/2015,Uruguay,16,Julian Montoya,1993-10-29,21.54
16/05/2015,Uruguay,15,Santiago Cordero,1993-12-06,21.44
16/05/2015,Uruguay,7,Javier Ortega Desio,1990-06-14,24.92
16/05/2015,Uruguay,17,Lucas Noguera,1993-10-05,21.61
16/05/2015,Uruguay,23,Joaquin Paz,1993-01-11,22.34
16/05/2015,Uruguay,21,Gregorio Del Prete,1995-03-21,20.15
23/05/2015,Paraguay,16,Matias Cortese,1985-10-01,29.64
23/05/2015,Paraguay,8,Facundo Isa,1993-09-21,21.67
23/05/2015,Paraguay,5,Geronimo Albertario,1987-11-24,27.49
23/05/2015,Paraguay,14,Tomas Carrio,1989-03-10,26.2
23/05/2015,Paraguay,18,Bruno Postiglioni,1987-04-08,28.12
23/05/2015,Paraguay,20,Lisandro Ahualli De Chazal,1988-12-29,26.4
23/05/2015,Paraguay,9,Martín Landajo,1988-06-14,26.94
23/05/2015,Paraguay,6,Tomas Lezana,1994-02-16,21.26
23/05/2015,Paraguay,3,Santiago Garcia Botta,1992-06-19,22.92
23/05/2015,Paraguay,13,Jeronimo de la Fuente,1991-02-24,24.24
23/05/2015,Paraguay,2,Santiago Iglesias Valdez,1993-05-22,22.0
23/05/2015,Paraguay,22,Santiago Gonzalez Iglesias,1988-06-16,26.93
23/05/2015,Paraguay,23,Gabriel Ascarate,1987-10-20,27.59
23/05/2015,Paraguay,21,Gonzalo Bertranou,1993-12-31,21.39
23/05/2015,Paraguay,10,Juan Leon Novillo,1992-07-08,22.87
23/05/2015,Paraguay,4,Guido Petti Pagadizabal,1994-11-17,20.51
23/05/2015,Paraguay,17,Julian Montoya,1993-10-29,21.56
23/05/2015,Paraguay,19,Manuel Plaza,1996-01-04,19.38
