date,opposition,shirt,player,started,minutes
16/05/2015,Uruguay,2,Matias Cortese,y,0
16/05/2015,Uruguay,8,Facundo Isa,y,80
16/05/2015,Uruguay,5,Geronimo Albertario,y,0
16/05/2015,Uruguay,14,Matias Orlando,y,80
16/05/2015,Uruguay,1,Bruno Postiglioni,y,0
16/05/2015,Uruguay,19,Lisandro Ahualli De Chazal,n,80
16/05/2015,Uruguay,9,Martín Landajo,y,0
16/05/2015,Uruguay,20,Tomas Lezana,n,80
16/05/2015,Uruguay,11,Manuel Montero,y,0
16/05/2015,Uruguay,6,Pablo Matera,y,0
16/05/2015,Uruguay,18,Santiago Garcia Botta,n,80
16/05/2015,Uruguay,13,Jeronimo de la Fuente,y,80
16/05/2015,Uruguay,10,Santiago Gonzalez Iglesias,y,80
16/05/2015,Uruguay,12,Gabriel Ascarate,y,80
16/05/2015,Uruguay,22,Juan Leon Novillo,n,80
16/05/2015,Uruguay,4,Guido Petti Pagadizabal,y,80
16/05/2015,Uruguay,3,Matias Diaz,y,0
16/05/2015,Uruguay,16,Julian Montoya,n,80
16/05/2015,Uruguay,15,Santiago Cordero,y,0
16/05/2015,Uruguay,7,Javier Ortega Desio,y,80
16/05/2015,Uruguay,17,Lucas Noguera,n,80
16/05/2015,Uruguay,23,Joaquin Paz,n,80
16/05/2015,Uruguay,21,Gregorio Del Prete,n,80
17/07/2015,New Zealand,8,Facundo Isa,y,80
17/07/2015,New Zealand,13,Marcelo Bosch,y,80
17/07/2015,New Zealand,1,Marcos Ayerza,y,63
17/07/2015,New Zealand,3,Ramiro Herrera,y,55
17/07/2015,New Zealand,7,Juan Martín Fernandez Lobbe,y,80
17/07/2015,New Zealand,9,Tomas Cubelli,y,56
17/07/2015,New Zealand,21,Martín Landajo,n,24
17/07/2015,New Zealand,18,Nahuel Tetaz Chaparro,n,25
17/07/2015,New Zealand,10,Nicolas Sanchez,y,80
17/07/2015,New Zealand,15,Joaquin Tuculet,y,56
17/07/2015,New Zealand,12,Jeronimo de la Fuente,y,69
17/07/2015,New Zealand,5,Manuel Carizza,y,80
17/07/2015,New Zealand,22,Santiago Gonzalez Iglesias,n,11
17/07/2015,New Zealand,23,Lucas Gonzalez Amorosino,n,24
17/07/2015,New Zealand,6,Juan Manuel Leguizamon,y,50
17/07/2015,New Zealand,4,Guido Petti Pagadizabal,y,63
17/07/2015,New Zealand,16,Julian Montoya,n,17
17/07/2015,New Zealand,11,Santiago Cordero,y,80
17/07/2015,New Zealand,20,Javier Ortega Desio,n,30
17/07/2015,New Zealand,17,Lucas Noguera,n,17
17/07/2015,New Zealand,19,Benjamin Macome,n,17
17/07/2015,New Zealand,14,Horacio Agulla,y,80
17/07/2015,New Zealand,2,Agustín Creevy,y,63
25/07/2015,Australia,4,Manuel Carizza,y,80
25/07/2015,Australia,22,Santiago Gonzalez Iglesias,n,13
25/07/2015,Australia,14,Gonzalo Camacho,y,56
25/07/2015,Australia,23,Lucas Gonzalez Amorosino,n,24
25/07/2015,Australia,18,Matias Diaz,n,13
25/07/2015,Australia,19,Matias Alemanno,n,13
25/07/2015,Australia,15,Santiago Cordero,y,80
25/07/2015,Australia,6,Javier Ortega Desio,y,80
25/07/2015,Australia,12,Juan Pablo Socino,y,80
25/07/2015,Australia,2,Agustín Creevy,y,73
25/07/2015,Australia,8,Facundo Isa,y,64
25/07/2015,Australia,1,Marcos Ayerza,y,67
25/07/2015,Australia,3,Ramiro Herrera,y,54
25/07/2015,Australia,7,Juan Martín Fernandez Lobbe,y,80
25/07/2015,Australia,21,Tomas Cubelli,n,18
25/07/2015,Australia,11,Juan Imhoff,y,80
25/07/2015,Australia,13,Matias Moroni,y,80
25/07/2015,Australia,9,Martín Landajo,y,62
25/07/2015,Australia,17,Nahuel Tetaz Chaparro,n,26
25/07/2015,Australia,10,Nicolas Sanchez,y,67
25/07/2015,Australia,16,Santiago Iglesias Valdez,n,7
25/07/2015,Australia,5,Tomas Lavanini,y,67
25/07/2015,Australia,20,Leonardo Senatore,n,16
08/08/2015,South Africa,13,Marcelo Bosch,y,80
08/08/2015,South Africa,1,Marcos Ayerza,y,53
08/08/2015,South Africa,9,Tomas Cubelli,y,66
08/08/2015,South Africa,11,Juan Imhoff,y,80
08/08/2015,South Africa,21,Martín Landajo,n,14
08/08/2015,South Africa,3,Nahuel Tetaz Chaparro,y,71
08/08/2015,South Africa,20,Tomas Lezana,n,14
08/08/2015,South Africa,15,Joaquin Tuculet,y,80
08/08/2015,South Africa,6,Pablo Matera,y,80
08/08/2015,South Africa,10,Juan Martín Hernández,y,63
08/08/2015,South Africa,12,Jeronimo de la Fuente,y,56
08/08/2015,South Africa,5,Tomas Lavanini,y,80
08/08/2015,South Africa,8,Leonardo Senatore,y,80
08/08/2015,South Africa,22,Santiago Gonzalez Iglesias,n,24
08/08/2015,South Africa,23,Lucas Gonzalez Amorosino,n,17
08/08/2015,South Africa,7,Juan Manuel Leguizamon,y,66
08/08/2015,South Africa,4,Guido Petti Pagadizabal,y,57
08/08/2015,South Africa,18,Matias Diaz,n,9
08/08/2015,South Africa,19,Matias Alemanno,n,23
08/08/2015,South Africa,16,Julian Montoya,n,12
08/08/2015,South Africa,17,Lucas Noguera,n,27
08/08/2015,South Africa,14,Horacio Agulla,y,80
08/08/2015,South Africa,2,Agustín Creevy,y,68
15/08/2015,South Africa,7,Juan Martín Fernandez Lobbe,y,80
15/08/2015,South Africa,21,Tomas Cubelli,n,21
15/08/2015,South Africa,11,Juan Imhoff,y,80
15/08/2015,South Africa,13,Matias Moroni,y,75
15/08/2015,South Africa,9,Martín Landajo,y,59
15/08/2015,South Africa,3,Nahuel Tetaz Chaparro,y,53
15/08/2015,South Africa,10,Nicolas Sanchez,y,80
15/08/2015,South Africa,6,Tomas Lezana,y,80
15/08/2015,South Africa,15,Joaquin Tuculet,y,59
15/08/2015,South Africa,20,Pablo Matera,n,28
15/08/2015,South Africa,17,Santiago Garcia Botta,n,6
15/08/2015,South Africa,5,Tomas Lavanini,y,80
15/08/2015,South Africa,22,Santiago Gonzalez Iglesias,n,5
15/08/2015,South Africa,23,Lucas Gonzalez Amorosino,n,21
15/08/2015,South Africa,8,Juan Manuel Leguizamon,y,52
15/08/2015,South Africa,18,Juan Pablo Orlandi,n,27
15/08/2015,South Africa,19,Matias Alemanno,n,28
15/08/2015,South Africa,16,Julian Montoya,n,40
15/08/2015,South Africa,14,Santiago Cordero,y,80
15/08/2015,South Africa,1,Lucas Noguera,y,74
15/08/2015,South Africa,4,Benjamin Macome,y,52
15/08/2015,South Africa,12,Juan Pablo Socino,y,80
15/08/2015,South Africa,2,Agustín Creevy,y,40
20/09/2015,New Zealand,13,Marcelo Bosch,y,80
20/09/2015,New Zealand,1,Marcos Ayerza,y,80
20/09/2015,New Zealand,18,Ramiro Herrera,n,26
20/09/2015,New Zealand,7,Juan Martín Fernandez Lobbe,y,80
20/09/2015,New Zealand,9,Tomas Cubelli,y,61
20/09/2015,New Zealand,11,Juan Imhoff,y,80
20/09/2015,New Zealand,19,Mariano Galarza,n,58
20/09/2015,New Zealand,21,Martín Landajo,n,19
20/09/2015,New Zealand,3,Nahuel Tetaz Chaparro,y,54
20/09/2015,New Zealand,10,Nicolas Sanchez,y,68
20/09/2015,New Zealand,15,Joaquin Tuculet,y,69
20/09/2015,New Zealand,6,Pablo Matera,y,58
20/09/2015,New Zealand,12,Juan Martín Hernández,y,80
20/09/2015,New Zealand,22,Jeronimo de la Fuente,n,12
20/09/2015,New Zealand,5,Tomas Lavanini,y,80
20/09/2015,New Zealand,8,Leonardo Senatore,y,64
20/09/2015,New Zealand,23,Lucas Gonzalez Amorosino,n,11
20/09/2015,New Zealand,20,Juan Manuel Leguizamon,n,22
20/09/2015,New Zealand,4,Guido Petti Pagadizabal,y,22
20/09/2015,New Zealand,16,Julian Montoya,n,16
20/09/2015,New Zealand,14,Santiago Cordero,y,80
20/09/2015,New Zealand,17,Lucas Noguera,n,11
20/09/2015,New Zealand,2,Agustín Creevy,y,69
25/09/2015,Georgia,8,Facundo Isa,y,80
25/09/2015,Georgia,13,Marcelo Bosch,y,80
25/09/2015,Georgia,1,Marcos Ayerza,y,68
25/09/2015,Georgia,18,Ramiro Herrera,n,22
25/09/2015,Georgia,7,Juan Martín Fernandez Lobbe,y,65
25/09/2015,Georgia,9,Tomas Cubelli,y,58
25/09/2015,Georgia,11,Juan Imhoff,y,80
