player,dob,caps,position_last_seen,shirt_last_seen,last_match_date,last_opposition
Agustín Creevy,1985-03-15,110,Replacement,16,31/08/2024,Australia
Antonio Ahualli De Chazal,1987-09-06,4,Replacement,20,20/06/2015,French Barbarians
Augustin Moyano,2003-06-12,10,Replacement,21,29/08/2026,Australia
Bautista Bernasconi,2001-09-14,3,Replacement,16,19/07/2025,Uruguay
Bautista Delguy,1997-04-22,42,Wing,14,18/07/2026,England
Bautista Ezcurra,1995-04-21,5,Centre,12,01/12/2018,Barbarians
Benjamin Elizalde,2004-06-14,4,Replacement,23,06/09/2025,Australia
Benjamin Grondona,2003-10-19,4,Flanker,7,29/08/2026,Australia
Benjamin Macome,1986-01-10,26,Replacement,20,18/11/2017,Italy
Benjamin Urdapilleta,1986-03-11,17,Replacement,22,24/09/2022,South Africa
Boris Wenger,2002-07-01,10,Prop,1,29/08/2026,Australia
Bruno Postiglioni,1987-04-08,18,Replacement,19,20/06/2015,French Barbarians
Carlos Muzzio,1984-08-21,3,Replacement,17,18/09/2021,New Zealand
Diego Fortuny,1991-09-27,1,Replacement,16,18/08/2018,South Africa
Domingo Miotti,1996-05-22,9,Replacement,22,09/07/2022,Scotland
Eduardo Bello,1995-11-27,21,Replacement,18,31/08/2024,Australia
Efrain Elias,2004-04-30,5,Replacement,19,29/08/2026,Australia
Eliseo Morales,1998-03-11,1,Replacement,21,12/11/2022,Wales
Emiliano Boffelli,1995-01-16,59,Wing,14,27/10/2023,England
Enrique Pieretto Heiland,1994-12-15,29,Prop,3,02/10/2021,Australia
Facundo Bosch,1991-08-08,11,Replacement,16,21/11/2021,Ireland
Facundo Cordero,1998-07-31,1,Replacement,23,21/11/2021,Ireland
Facundo Gigena,1994-09-15,7,Prop,1,25/09/2021,Australia
Facundo Isa,1993-09-21,53,Replacement,20,12/07/2025,England
Faustino Sanchez Valarolo,2004-07-08,4,Centre,12,29/08/2026,Australia
Felipe Arregui,1994-06-09,1,Replacement,17,27/08/2016,South Africa
Felipe Ezcurra,1993-04-15,14,Replacement,21,09/07/2022,Scotland
Francisco Coria Marchetti,2000-10-07,9,Replacement,18,11/07/2026,Wales
Francisco Gomez Kodela,1985-07-03,41,Prop,3,19/07/2025,Uruguay
Francisco Gorrissen,1994-08-30,3,Replacement,20,02/10/2021,Australia
