date,year,coach,opposition,tournament,test,h / a,argentina irb,opp irb,irb difference,higher / lower,result,points scored ,points conceded,difference,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
16/05/2015,2015,ml,uruguay,friendly,yes,a,8,21,13,,w,36,14,22,postiglioni,cortese,"diaz, m",petti,albertario,matera,ortega desio,isa,landajo,gonzalez iglesias,montero,ascarate,de la fuente,orlando,"cordero, s",montoya,noguera,garcia botta,"ahualli de chazal, l",lezana,del prete,novillo,paz
17/07/2015,2015,ml,nz,rc,yes,a,8,1,-7,,l,18,39,-21,ayerza,creevy,herrera,petti,carizza,leguizamon,fernandez lobbe,isa,cubelli,sanchez,"cordero, s",de la fuente,"bosch, m",agulla,tuculet,montoya,noguera,tetaz chaparro,macome,ortega desio,landajo,gonzalez iglesias,gonzalez amorosino
25/07/2015,2015,ml,australia,rc,yes,h,8,5,-3,,l,9,34,-25,ayerza,creevy,herrera,carizza,lavanini,ortega desio,fernandez lobbe,isa,landajo,sanchez,imhoff,"socino, j",moroni,camacho,"cordero, s",iglesias valdez,tetaz chaparro,"diaz, m",alemanno,senatore,cubelli,gonzalez iglesias,gonzalez amorosino
08/08/2015,2015,ml,sa,rc,yes,a,8,2,-6,,w,37,25,12,ayerza,creevy,tetaz chaparro,petti,lavanini,matera,leguizamon,senatore,cubelli,hernandez,imhoff,de la fuente,"bosch, m",agulla,tuculet,montoya,noguera,"diaz, m",alemanno,lezana,landajo,gonzalez iglesias,gonzalez amorosino
15/08/2015,2015,ml,sa,rc,yes,h,8,5,-3,,l,12,26,-14,noguera,creevy,tetaz chaparro,macome,lavanini,lezana,fernandez lobbe,leguizamon,landajo,sanchez,imhoff,"socino, j",moroni,"cordero, s",tuculet,montoya,garcia botta,orlandi,alemanno,matera,cubelli,gonzalez iglesias,gonzalez amorosino
20/09/2015,2015,ml,nz,wc,yes,n,8,1,-7,,l,16,26,-10,ayerza,creevy,tetaz chaparro,petti,lavanini,matera,fernandez lobbe,senatore,cubelli,sanchez,imhoff,hernandez,"bosch, m","cordero, s",tuculet,montoya,noguera,herrera,galarza,leguizamon,landajo,de la fuente,gonzalez amorosino
25/09/2015,2015,ml,georgia,wc,yes,n,8,13,5,,w,54,9,45,ayerza,creevy,tetaz chaparro,alemanno,lavanini,leguizamon,fernandez lobbe,isa,cubelli,sanchez,imhoff,hernandez,"bosch, m","cordero, s",tuculet,montoya,noguera,herrera,ortega desio,matera,landajo,de la fuente,gonzalez amorosino
04/10/2015,2015,ml,tonga,wc,yes,n,8,13,5,,w,45,16,29,ayerza,creevy,herrera,petti,lavanini,matera,fernandez lobbe,senatore,landajo,sanchez,imhoff,de la fuente,moroni,"cordero, s",tuculet,montoya,noguera,orlandi,alemanno,isa,cubelli,gonzalez iglesias,agulla
11/10/2015,2015,ml,namibia,wc,yes,n,7,19,12,,w,64,19,45,noguera,montoya,orlandi,petti,alemanno,matera,ortega desio,isa,landajo,hernandez,agulla,"socino, j",gonzalez iglesias,moroni,gonzalez amorosino,creevy,ayerza,herrera,senatore,fernandez lobbe,cubelli,"bosch, m",imhoff
18/10/2015,2015,ml,ireland,wc,yes,n,6,3,-3,,w,43,20,23,ayerza,creevy,herrera,petti,lavanini,matera,fernandez lobbe,senatore,landajo,sanchez,imhoff,hernandez,moroni,"cordero, s",tuculet,montoya,noguera,orlandi,alemanno,isa,cubelli,de la fuente,gonzalez amorosino
25/10/2015,2015,ml,australia,wc,yes,n,4,2,-2,,l,15,29,-14,ayerza,creevy,herrera,petti,lavanini,matera,fernandez lobbe,senatore,landajo,sanchez,imhoff,hernandez,"bosch, m","cordero, s",tuculet,montoya,noguera,figallo,alemanno,isa,cubelli,de la fuente,gonzalez amorosino
30/10/2015,2015,ml,sa,wc,yes,n,4,3,-1,,l,13,24,-11,figallo,montoya,herrera,alemanno,lavanini,ortega desio,fernandez lobbe,leguizamon,cubelli,sanchez,agulla,de la fuente,moroni,"cordero, s",gonzalez amorosino,noguera,orlandi,garcia botta,petti,isa,landajo,gonzalez iglesias,"socino, j"
11/06/2016,2016,ml,italy,tour,yes,h,5,14,9,,w,30,24,6,garcia botta,creevy,tetaz chaparro,petti,alemanno,matera,lezana,isa,landajo,sanchez,montero,hernandez,moroni,"cordero, s",tuculet,montoya,arregui,pieretto heiland,ortega desio,leguizamon,cubelli,de la fuente,"moyano, r"
19/06/2016,2016,ml,france,tour,yes,h,5,8,3,,w,30,19,11,tetaz chaparro,creevy,herrera,petti,ortega desio,matera,lezana,isa,landajo,sanchez,montero,hernandez,moroni,"cordero, s",tuculet,montoya,garcia botta,pieretto heiland,larrague,leguizamon,cubelli,gonzalez iglesias,"moyano, r"
25/06/2016,2016,ml,france,tour,yes,h,5,9,4,,l,0,27,-27,tetaz chaparro,creevy,herrera,petti,lavanini,matera,ortega desio,isa,cubelli,sanchez,montero,de la fuente,moroni,"cordero, s",tuculet,montoya,garcia botta,pieretto heiland,lezana,leguizamon,landajo,orlando,gonzalez amorosino
20/08/2016,2016,ml,sa,rc,yes,a,9,3,-6,,l,23,30,-7,tetaz chaparro,creevy,herrera,alemanno,lavanini,matera,leguizamon,isa,landajo,sanchez,montero,hernandez,orlando,"cordero, s",tuculet,montoya,arregui,pieretto heiland,petti,ortega desio,cubelli,gonzalez iglesias,"moyano, r"
27/08/2016,2016,ml,sa,rc,yes,h,9,3,-6,,w,26,24,2,tetaz chaparro,creevy,herrera,alemanno,lavanini,matera,leguizamon,isa,landajo,sanchez,montero,hernandez,orlando,"cordero, s",tuculet,montoya,arregui,pieretto heiland,petti,ortega desio,cubelli,gonzalez iglesias,gonzalez amorosino
10/09/2016,2016,ml,nz,rc,yes,a,7,1,-6,,l,22,57,-35,tetaz chaparro,creevy,herrera,petti,alemanno,matera,ortega desio,isa,landajo,sanchez,"cordero, s",hernandez,orlando,moroni,tuculet,montoya,noguera,pieretto heiland,kremer,senatore,cubelli,gonzalez iglesias,"moyano, r"
17/09/2016,2016,ml,australia,rc,yes,a,7,3,-4,,l,20,36,-16,tetaz chaparro,creevy,herrera,ortega desio,alemanno,matera,leguizamon,isa,cubelli,sanchez,gonzalez amorosino,gonzalez iglesias,moroni,"cordero, s",tuculet,montoya,noguera,pieretto heiland,kremer,senatore,landajo,ascarate,orlando
01/10/2016,2016,ml,nz,rc,yes,h,7,1,-6,,l,17,36,-19,tetaz chaparro,creevy,herrera,petti,alemanno,matera,ortega desio,isa,landajo,sanchez,"moyano, r",gonzalez iglesias,moroni,"cordero, s",tuculet,montoya,noguera,pieretto heiland,leguizamon,senatore,cubelli,de la fuente,orlando
08/10/2016,2016,ml,australia,rc,yes,a,7,4,-3,,l,21,33,-12,noguera,creevy,herrera,petti,alemanno,matera,ortega desio,senatore,landajo,gonzalez iglesias,"moyano, r",de la fuente,orlando,moroni,tuculet,montoya,garcia botta,pieretto heiland,kremer,cubelli,leguizamon,ascarate,gonzalez amorosino
05/11/2016,2016,ml,japan,tour,yes,a,9,12,3,,w,54,20,34,noguera,creevy,herrera,petti,alemanno,lezana,ortega desio,isa,landajo,sanchez,"cordero, s",de la fuente,orlando,moroni,tuculet,montoya,garcia botta,pieretto heiland,senatore,leguizamon,cubelli,gonzalez iglesias,"moyano, r"
12/11/2016,2016,ml,wales,tour,yes,a,6,7,1,,l,20,24,-4,noguera,creevy,herrera,petti,alemanno,matera,ortega desio,isa,landajo,sanchez,"cordero, s",hernandez,orlando,moroni,tuculet,montoya,garcia botta,pieretto heiland,senatore,lezana,cubelli,gonzalez iglesias,de la fuente
19/11/2016,2016,ml,scotland,tour,yes,a,8,9,1,,l,16,19,-3,noguera,creevy,herrera,petti,alemanno,matera,ortega desio,isa,landajo,sanchez,"cordero, s",hernandez,orlando,moroni,tuculet,montoya,garcia botta,pieretto heiland,senatore,leguizamon,cubelli,de la fuente,estelles
26/11/2016,2016,ml,england,tour,yes,a,9,2,-7,,l,14,27,-13,noguera,creevy,herrera,petti,alemanno,matera,ortega desio,senatore,cubelli,hernandez,estelles,gonzalez iglesias,moroni,orlando,"cordero, s",montoya,garcia botta,pieretto heiland,isa,lezana,landajo,de la fuente,ascarate
10/06/2017,2017,ml,england,tour,yes,h,9,2,-7,,l,34,38,-4,noguera,creevy,pieretto heiland,alemanno,lavanini,matera,ortega desio,leguizamon,landajo,sanchez,boffelli,de la fuente,orlando,moroni,tuculet,montoya,garcia botta,tetaz chaparro,petti,senatore,bertranou,hernandez,"moyano, r"
17/06/2017,2017,ml,england,tour,yes,h,9,2,-7,,l,25,35,-10,noguera,creevy,pieretto heiland,alemanno,lavanini,matera,ortega desio,leguizamon,landajo,sanchez,boffelli,de la fuente,orlando,"moyano, r",tuculet,montoya,tetaz chaparro,herrera,petti,lezana,bertranou,hernandez,moroni
24/06/2017,2017,ml,georgia,tour,yes,h,9,12,3,,w,45,29,16,tetaz chaparro,creevy,pieretto heiland,petti,alemanno,lezana,baez,senatore,landajo,sanchez,"moyano, r",de la fuente,orlando,moroni,tuculet,montoya,noguera,herrera,matera,macome,bertranou,gonzalez iglesias,schulz
19/08/2017,2017,ml,sa,rc,yes,a,9,5,-4,,l,15,37,-22,tetaz chaparro,creevy,pieretto heiland,petti,lavanini,matera,lezana,senatore,landajo,sanchez,boffelli,de la fuente,orlando,"moyano, r",tuculet,montoya,noguera,herrera,kremer,ortega desio,cubelli,hernandez,moroni
26/08/2017,2017,ml,sa,rc,yes,h,10,4,-6,,l,23,41,-18,noguera,creevy,herrera,alemanno,lavanini,matera,lezana,leguizamon,cubelli,hernandez,boffelli,de la fuente,orlando,"moyano, r",tuculet,montoya,garcia botta,pieretto heiland,kremer,ortega desio,landajo,sanchez,moroni
09/09/2017,2017,ml,nz,rc,yes,a,10,1,-9,,l,22,39,-17,noguera,creevy,tetaz chaparro,petti,alemanno,matera,ortega desio,macome,cubelli,sanchez,boffelli,de la fuente,moroni,"cordero, s",tuculet,montoya,garcia botta,pieretto heiland,kremer,lezana,landajo,gonzalez iglesias,orlando
16/09/2017,2017,ml,australia,rc,yes,a,10,5,-5,,l,20,45,-25,noguera,creevy,tetaz chaparro,petti,alemanno,matera,ortega desio,lezana,landajo,sanchez,"moyano, r",de la fuente,orlando,moroni,boffelli,montoya,garcia botta,pieretto heiland,kremer,leguizamon,cubelli,gonzalez iglesias,montero
30/09/2017,2017,ml,nz,rc,yes,h,10,1,-9,,l,10,36,-26,noguera,creevy,tetaz chaparro,petti,lavanini,matera,lezana,leguizamon,cubelli,sanchez,boffelli,de la fuente,orlando,moroni,tuculet,montoya,garcia botta,herrera,kremer,ortega desio,landajo,hernandez,"cordero, s"
07/10/2017,2017,ml,australia,rc,yes,h,10,5,-5,,l,20,37,-17,noguera,creevy,tetaz chaparro,kremer,alemanno,matera,ortega desio,lezana,landajo,sanchez,boffelli,gonzalez iglesias,orlando,moroni,tuculet,montoya,garcia botta,pieretto heiland,macome,senatore,bertranou,hernandez,"cordero, s"
11/11/2017,2017,ml,england,tour,yes,a,10,2,-8,,l,8,21,-13,garcia botta,creevy,tetaz chaparro,alemanno,lavanini,matera,kremer,lezana,landajo,hernandez,boffelli,gonzalez iglesias,moroni,"moyano, r",tuculet,montoya,noguera,pieretto heiland,macome,senatore,bertranou,sanchez,cancelliere
18/11/2017,2017,ml,italy,tour,yes,a,10,13,3,,w,31,15,16,garcia botta,creevy,tetaz chaparro,alemanno,lavanini,matera,kremer,leguizamon,landajo,sanchez,boffelli,gonzalez iglesias,orlando,cancelliere,tuculet,montoya,noguera,pieretto heiland,petti,macome,bertranou,hernandez,moroni
