date,opposition,shirt,player,dob,age_on_matchday
18/07/2015,South Africa,12,Matt Giteau,1982-09-29,32.8
18/07/2015,South Africa,20,David Pocock,1988-04-23,27.23
18/07/2015,South Africa,13,Tevita Kuridrani,1991-03-31,24.3
18/07/2015,South Africa,10,Quade Cooper,1988-04-05,27.28
18/07/2015,South Africa,14,Adam Ashley-Cooper,1984-03-27,31.31
18/07/2015,South Africa,21,Nick Phipps,1989-01-09,26.52
18/07/2015,South Africa,9,Will Genia,1988-01-17,27.5
18/07/2015,South Africa,16,Tatafu Polota-Nau,1985-07-26,29.98
18/07/2015,South Africa,5,Rob Simmons,1989-04-19,26.25
18/07/2015,South Africa,4,Will Skelton,1992-05-03,23.21
18/07/2015,South Africa,15,Israel Folau,1989-04-03,26.29
18/07/2015,South Africa,2,Stephen Moore,1983-01-20,32.49
18/07/2015,South Africa,18,Greg Holmes,1983-06-11,32.1
18/07/2015,South Africa,23,Drew Mitchell,1984-03-26,31.31
18/07/2015,South Africa,8,Scott Higginbotham,1986-09-05,28.87
18/07/2015,South Africa,6,Scott Fardy,1984-07-05,31.03
18/07/2015,South Africa,11,Rob Horne,1989-08-15,25.92
18/07/2015,South Africa,1,James Slipper,1989-06-06,26.11
18/07/2015,South Africa,7,Michael Hooper,1991-10-29,23.72
18/07/2015,South Africa,17,Scott Sio,1991-10-16,23.75
18/07/2015,South Africa,19,James Horwill,1985-05-29,30.14
18/07/2015,South Africa,22,Matt Toomua,1990-01-02,25.54
18/07/2015,South Africa,3,Sekope Kepu,1986-02-05,29.45
25/07/2015,Argentina,21,Nic White,1990-06-13,25.11
25/07/2015,Argentina,7,David Pocock,1988-04-23,27.25
25/07/2015,Argentina,13,Tevita Kuridrani,1991-03-31,24.32
25/07/2015,Argentina,22,Quade Cooper,1988-04-05,27.3
25/07/2015,Argentina,14,Adam Ashley-Cooper,1984-03-27,31.33
25/07/2015,Argentina,8,Ben McCalman,1988-03-18,27.35
25/07/2015,Argentina,9,Nick Phipps,1989-01-09,26.54
25/07/2015,Argentina,10,Bernard Foley,1989-09-08,25.88
25/07/2015,Argentina,11,Joseph Tomane,1990-02-11,25.45
25/07/2015,Argentina,23,Kurtley Beale,1989-01-06,26.55
25/07/2015,Argentina,16,Tatafu Polota-Nau,1985-07-26,30.0
25/07/2015,Argentina,5,Rob Simmons,1989-04-19,26.26
25/07/2015,Argentina,4,Will Skelton,1992-05-03,23.23
25/07/2015,Argentina,15,Israel Folau,1989-04-03,26.31
25/07/2015,Argentina,2,Stephen Moore,1983-01-20,32.51
25/07/2015,Argentina,3,Greg Holmes,1983-06-11,32.12
25/07/2015,Argentina,6,Scott Fardy,1984-07-05,31.05
25/07/2015,Argentina,1,James Slipper,1989-06-06,26.13
25/07/2015,Argentina,20,Michael Hooper,1991-10-29,23.74
25/07/2015,Argentina,17,Scott Sio,1991-10-16,23.77
25/07/2015,Argentina,12,Matt Toomua,1990-01-02,25.56
25/07/2015,Argentina,19,Dean Mumm,1984-03-05,31.39
25/07/2015,Argentina,18,Sekope Kepu,1986-02-05,29.47
08/08/2015,New Zealand,12,Matt Giteau,1982-09-29,32.86
08/08/2015,New Zealand,21,Nic White,1990-06-13,25.15
08/08/2015,New Zealand,8,David Pocock,1988-04-23,27.29
08/08/2015,New Zealand,13,Tevita Kuridrani,1991-03-31,24.36
08/08/2015,New Zealand,14,Adam Ashley-Cooper,1984-03-27,31.37
08/08/2015,New Zealand,20,Ben McCalman,1988-03-18,27.39
08/08/2015,New Zealand,9,Nick Phipps,1989-01-09,26.58
08/08/2015,New Zealand,10,Bernard Foley,1989-09-08,25.91
08/08/2015,New Zealand,23,Kurtley Beale,1989-01-06,26.59
08/08/2015,New Zealand,16,Tatafu Polota-Nau,1985-07-26,30.03
08/08/2015,New Zealand,19,Will Skelton,1992-05-03,23.26
08/08/2015,New Zealand,15,Israel Folau,1989-04-03,26.35
08/08/2015,New Zealand,2,Stephen Moore,1983-01-20,32.55
08/08/2015,New Zealand,18,Greg Holmes,1983-06-11,32.16
08/08/2015,New Zealand,11,Drew Mitchell,1984-03-26,31.37
08/08/2015,New Zealand,6,Scott Fardy,1984-07-05,31.09
08/08/2015,New Zealand,17,James Slipper,1989-06-06,26.17
08/08/2015,New Zealand,7,Michael Hooper,1991-10-29,23.78
08/08/2015,New Zealand,1,Scott Sio,1991-10-16,23.81
08/08/2015,New Zealand,5,James Horwill,1985-05-29,30.19
08/08/2015,New Zealand,22,Matt Toomua,1990-01-02,25.6
08/08/2015,New Zealand,4,Dean Mumm,1984-03-05,31.43
08/08/2015,New Zealand,3,Sekope Kepu,1986-02-05,29.5
15/08/2015,New Zealand,22,Matt Giteau,1982-09-29,32.88
15/08/2015,New Zealand,20,Kane Douglas,1989-06-01,26.2
15/08/2015,New Zealand,9,Nic White,1990-06-13,25.17
15/08/2015,New Zealand,21,David Pocock,1988-04-23,27.31
15/08/2015,New Zealand,13,Tevita Kuridrani,1991-03-31,24.38
15/08/2015,New Zealand,10,Quade Cooper,1988-04-05,27.36
15/08/2015,New Zealand,11,Adam Ashley-Cooper,1984-03-27,31.38
15/08/2015,New Zealand,23,Kurtley Beale,1989-01-06,26.6
15/08/2015,New Zealand,16,Tatafu Polota-Nau,1985-07-26,30.05
15/08/2015,New Zealand,4,Will Skelton,1992-05-03,23.28
15/08/2015,New Zealand,15,Israel Folau,1989-04-03,26.37
15/08/2015,New Zealand,2,Stephen Moore,1983-01-20,32.57
15/08/2015,New Zealand,18,Greg Holmes,1983-06-11,32.18
15/08/2015,New Zealand,14,Henry Speight,1988-03-24,27.39
15/08/2015,New Zealand,6,Scott Fardy,1984-07-05,31.11
15/08/2015,New Zealand,17,James Slipper,1989-06-06,26.19
15/08/2015,New Zealand,7,Michael Hooper,1991-10-29,23.8
15/08/2015,New Zealand,1,Scott Sio,1991-10-16,23.83
15/08/2015,New Zealand,5,James Horwill,1985-05-29,30.21
15/08/2015,New Zealand,12,Matt Toomua,1990-01-02,25.62
15/08/2015,New Zealand,8,Wycliff Palu,1982-07-27,33.05
15/08/2015,New Zealand,19,Dean Mumm,1984-03-05,31.44
15/08/2015,New Zealand,3,Sekope Kepu,1986-02-05,29.52
05/09/2015,USA,12,Matt Giteau,1982-09-29,32.93
05/09/2015,USA,4,Kane Douglas,1989-06-01,26.26
05/09/2015,USA,18,Toby Smith,1988-10-10,26.9
05/09/2015,USA,22,Quade Cooper,1988-04-05,27.42
05/09/2015,USA,6,Ben McCalman,1988-03-18,27.47
05/09/2015,USA,9,Nick Phipps,1989-01-09,26.65
05/09/2015,USA,19,Sam Carter,1989-09-10,25.99
05/09/2015,USA,10,Bernard Foley,1989-09-08,25.99
05/09/2015,USA,14,Joseph Tomane,1990-02-11,25.56
05/09/2015,USA,21,Will Genia,1988-01-17,27.63
05/09/2015,USA,16,James Hanson,1988-09-15,26.97
05/09/2015,USA,15,Kurtley Beale,1989-01-06,26.66
05/09/2015,USA,2,Tatafu Polota-Nau,1985-07-26,30.11
05/09/2015,USA,5,Rob Simmons,1989-04-19,26.38
05/09/2015,USA,7,Sean McMahon,1994-06-18,21.22
05/09/2015,USA,23,Taqele Naiyaravoro,1991-12-07,23.75
05/09/2015,USA,3,Greg Holmes,1983-06-11,32.24
05/09/2015,USA,13,Henry Speight,1988-03-24,27.45
05/09/2015,USA,11,Rob Horne,1989-08-15,26.06
05/09/2015,USA,1,James Slipper,1989-06-06,26.25
05/09/2015,USA,17,Scott Sio,1991-10-16,23.89
05/09/2015,USA,8,Wycliff Palu,1982-07-27,33.11
05/09/2015,USA,20,Dean Mumm,1984-03-05,31.5
23/09/2015,Fiji,12,Matt Giteau,1982-09-29,32.98
23/09/2015,Fiji,4,Kane Douglas,1989-06-01,26.31
23/09/2015,Fiji,8,David Pocock,1988-04-23,27.42
23/09/2015,Fiji,13,Tevita Kuridrani,1991-03-31,24.48
23/09/2015,Fiji,14,Adam Ashley-Cooper,1984-03-27,31.49
23/09/2015,Fiji,21,Nick Phipps,1989-01-09,26.7
23/09/2015,Fiji,10,Bernard Foley,1989-09-08,26.04
23/09/2015,Fiji,9,Will Genia,1988-01-17,27.68
23/09/2015,Fiji,23,Kurtley Beale,1989-01-06,26.71
23/09/2015,Fiji,16,Tatafu Polota-Nau,1985-07-26,30.16
23/09/2015,Fiji,5,Rob Simmons,1989-04-19,26.43
23/09/2015,Fiji,19,Will Skelton,1992-05-03,23.39
23/09/2015,Fiji,15,Israel Folau,1989-04-03,26.47
23/09/2015,Fiji,2,Stephen Moore,1983-01-20,32.67
23/09/2015,Fiji,18,Greg Holmes,1983-06-11,32.29
23/09/2015,Fiji,6,Scott Fardy,1984-07-05,31.22
23/09/2015,Fiji,11,Rob Horne,1989-08-15,26.11
23/09/2015,Fiji,17,James Slipper,1989-06-06,26.3
23/09/2015,Fiji,7,Michael Hooper,1991-10-29,23.9
23/09/2015,Fiji,1,Scott Sio,1991-10-16,23.94
23/09/2015,Fiji,22,Matt Toomua,1990-01-02,25.72
23/09/2015,Fiji,20,Dean Mumm,1984-03-05,31.55
23/09/2015,Fiji,3,Sekope Kepu,1986-02-05,29.63
27/09/2015,Uruguay,19,Kane Douglas,1989-06-01,26.32
27/09/2015,Uruguay,23,Tevita Kuridrani,1991-03-31,24.49
