player,dob,caps,position_last_seen,shirt_last_seen,last_match_date,last_opposition
Adam Ashley-Cooper,1984-03-27,121,Replacement,23,05/10/2019,Uruguay
Adam Coleman,1991-10-07,43,Replacement,19,19/10/2019,England
Aidan Ross,1995-10-25,6,Replacement,17,15/08/2026,Japan
Alex Hodgman,1993-07-16,5,Replacement,17,20/07/2024,Georgia
Allan Alaalatoa,1994-01-28,92,Prop,3,08/08/2026,Japan
Andrew Kellaway,1995-10-12,49,Replacement,23,15/11/2025,Ireland
Angus Bell,2000-10-04,55,Prop,1,15/08/2026,Japan
Angus Blyth,1998-03-04,4,Lock,4,17/08/2024,South Africa
Ben Donaldson,1999-04-04,23,Replacement,22,15/08/2026,Japan
Ben McCalman,1988-03-18,53,Flanker,6,25/11/2017,Scotland
Bernard Foley,1989-09-08,76,Fly Half,10,19/11/2022,Ireland
Billy Meakes,1991-02-23,0,Centre,12,28/10/2017,Barbarians
Billy Pollard,2001-12-09,22,Replacement,16,08/08/2026,Japan
Blake Enever,1991-10-12,2,Lock,5,25/11/2017,Scotland
Blake Schoupp,1998-03-28,5,Replacement,17,01/10/2023,Portugal
Brandon Paenga-Amosa,1995-12-25,29,Replacement,16,15/08/2026,Japan
Cadeyrn Neville,1988-11-09,8,Lock,5,26/11/2022,Wales
Caleb Timu,1994-02-22,2,Replacement,20,06/10/2018,Argentina
Carlo Tizzano,2000-02-02,16,Flanker,7,15/08/2026,Japan
Carter Gordon,2001-01-29,11,Fly Half,10,15/08/2026,Japan
Charlie Cale,2000-10-06,4,Flanker,6,15/08/2026,Japan
Christian Leali'ifano,1987-09-24,35,Fly Half,10,19/10/2019,England
Connal McInerney,1995-03-02,2,Replacement,16,07/11/2021,Scotland
Corey Toole,2000-03-07,6,Wing,14,08/11/2025,Italy
Curtis Rona,1992-05-26,3,Replacement,23,04/11/2017,Japan
Dane Haylett-Petty,1989-06-18,38,Full Back,15,31/10/2020,New Zealand
Darby Lancaster,2003-04-23,1,Wing,11,20/07/2024,Georgia
Darcy Swain,1997-07-05,17,Lock,4,12/11/2022,Italy
David Pocock,1988-04-23,83,Flanker,6,19/10/2019,England
David Porecki,1992-10-23,21,Hooker,2,26/07/2025,British & Irish Lions
Dean Mumm,1984-03-05,57,Replacement,19,03/12/2016,England
Declan Meredith,1999-06-28,3,Fly Half,10,08/08/2026,Japan
Drew Mitchell,1984-03-26,71,Replacement,23,10/09/2016,South Africa
Duncan Paia'aua,1995-01-20,16,Fly Half,10,28/10/2017,Barbarians
Dylan Pietsch,1998-04-23,11,Wing,11,11/07/2026,France
Eto Nabuli,1988-08-24,1,Wing,11,17/06/2017,Scotland
Feleti Kaitu'u,1994-12-30,3,Replacement,16,25/09/2021,Argentina
Filipo Daugunu,1995-03-04,23,Replacement,23,15/08/2026,Japan
Folau Fainga'a,1995-05-05,38,Hooker,2,26/11/2022,Wales
Fraser McReight,1999-02-19,44,Replacement,20,15/08/2026,Japan
Greg Holmes,1983-06-11,28,Replacement,18,02/10/2021,Argentina
Hamish Stewart,1998-03-03,4,Replacement,22,22/11/2025,France
Harry Johnson-Holmes,1997-03-02,1,Replacement,17,20/07/2019,South Africa
Harry Potter,1997-12-15,14,Wing,11,15/08/2026,Japan
Harry Wilson,1999-11-22,41,Number 8,8,15/08/2026,Japan
Henry Speight,1988-03-24,19,Replacement,23,25/11/2017,Scotland
Hunter Paisami,1998-04-10,37,Centre,12,15/08/2026,Japan
Irae Simone,1995-07-10,3,Replacement,22,13/08/2022,Argentina
Isaac Aedo Kailea,2000-07-13,8,Replacement,17,30/11/2024,Ireland
Isaac Henry,1999-03-08,2,Centre,13,15/08/2026,Japan
Isi Naisarani,1995-02-14,11,Number 8,8,17/07/2021,France
Israel Folau,1989-04-03,74,Full Back,15,24/11/2018,England
Issak Fines-Leleiwasa,1995-10-02,3,Replacement,21,01/10/2023,Portugal
Izack Rodda,1996-08-20,34,Lock,5,20/11/2021,Wales
Izaia Perese,1997-05-17,6,Centre,13,01/10/2023,Portugal
Jack Dempsey,1994-04-12,49,Flanker,6,11/10/2019,Georgia
Jack Maddocks,1997-02-05,7,Wing,11,24/11/2018,England
Jake Gordon,1993-07-06,37,Scrum Half,9,22/11/2025,France
James Hanson,1988-09-15,12,Replacement,16,22/10/2016,New Zealand
James Horwill,1985-05-29,62,Replacement,19,11/06/2016,England
James O'Connor,1990-07-05,70,Fly Half,10,15/11/2025,Ireland
James Slipper,1989-06-06,154,Replacement,17,18/07/2026,Italy
Jed Holloway,1992-11-02,12,Flanker,6,29/07/2023,New Zealand
Jeremy Williams,2000-12-02,29,Replacement,19,15/08/2026,Japan
Jermaine Ainsley,1995-08-08,4,Replacement,17,24/11/2018,England
