date,year,coach,opposition,tournament,test,h / a,aus irb,opp irb,irb difference,higher / lower,result,points scored ,points conceded,difference,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
20/07/2019,2019,,sa,rc,yes,a,6,5,-1,,l,17,35,-18,slipper,"fainga'a, f",kepu,rodda,"arnold, ro",salakaia-loto,"hooper, m",naisarani,white,foley,hodge,kerevi,kuridrani,haylet-petty,banks,uelese,johnson-holmes,tupou,simmons,dempsey,genia,to'omua,beale
27/07/2019,2019,,argentina,rc,yes,h,6,10,4,,w,16,10,6,sio,"fainga'a, f",kepu,rodda,"arnold, ro",salakaia-loto,"hooper, m",naisarani,genia,leali'ifano,koroibete,kerevi,kuridrani,hodge,beale,latu,slipper,tupou,simmons,"jones, l",white,to'omua,o'connor
10/08/2019,2019,,nz,rc,yes,h,6,1,-5,,w,47,26,21,sio,latu,alaalatoa,rodda,"arnold, ro",salakaia-loto,"hooper, m",naisarani,white,leali'ifano,koroibete,kerevi,o'connor,hodge,beale,"fainga'a, f",slipper,tupou,coleman,"jones, l",genia,to'omua,banks
17/08/2019,2019,,nz,rc,yes,a,6,1,-5,,l,0,36,-36,sio,latu,alaalatoa,rodda,coleman,salakaia-loto,"hooper, m",naisarani,white,leali'ifano,koroibete,kerevi,o'connor,hodge,beale,"fainga'a, f",slipper,tupou,simmons,wright,genia,to'omua,ashley-cooper
07/09/2019,2019,,samoa,friendly,yes,h,6,16,10,,w,34,15,19,slipper,uelese,kepu,simmons,coleman,salakaia-loto,pocock,dempsey,genia,foley,koroibete,to'omua,ashley-cooper,haylet-petty,banks,polota-nau,sio,tupou,"jones, l",wright,valetini,phipps,o'connor
21/09/2019,2019,,fiji,wc,yes,n,6,9,3,,w,39,21,18,sio,latu,alaalatoa,rodda,"arnold, ro",pocock,"hooper, m",naisarani,white,leali'ifano,koroibete,kerevi,o'connor,hodge,beale,uelese,slipper,kepu,coleman,salakaia-loto,genia,to'omua,haylet-petty
29/09/2019,2019,,wales,wc,yes,n,6,4,-2,,l,25,29,-4,sio,latu,alaalatoa,rodda,"arnold, ro",pocock,"hooper, m",naisarani,genia,foley,koroibete,kerevi,o'connor,ashley-cooper,haylet-petty,uelese,slipper,kepu,coleman,salakaia-loto,white,to'omua,beale
05/10/2019,2019,,uruguay,wc,yes,n,6,18,12,,w,45,10,35,slipper,"fainga'a, f",alaalatoa,simmons,coleman,dempsey,"hooper, m",salakaia-loto,white,leali'ifano,petaia,to'omua,kuridrani,haylet-petty,beale,uelese,kepu,tupou,"arnnold, ro",pocock,genia,kerevi,ashley-cooper
11/10/2019,2019,,georgia,wc,yes,n,6,14,8,,w,27,8,19,sio,latu,kepu,rodda,"arnold, ro",dempsey,pocock,naisarani,white,to'omua,koroibete,kerevi,o'connor,petaia,beale,uelese,slipper,tupou,simmons,salakaia-loto,genia,leali'ifano,haylet-petty
19/10/2019,2019,,england,wc,yes,n,6,3,-3,,l,16,40,-24,sio,latu,alaalatoa,rodda,"arnold, ro",pocock,"hooper, m",naisarani,genia,leali'ifano,koroibete,kerevi,petaia,hodge,beale,uelese,slipper,tupou,coleman,salakaia-loto,white,to'omua,o'connor
