date,opposition,shirt,player,dob,age_on_matchday
06/02/2015,Wales,13,Jonathan Joseph,1991-05-21,23.72
06/02/2015,Wales,11,Jonny May,1990-04-01,24.85
06/02/2015,Wales,9,Ben Youngs,1989-09-05,25.42
06/02/2015,Wales,17,Mako Vunipola,1991-01-14,24.06
06/02/2015,Wales,8,Billy Vunipola,1992-11-03,22.26
06/02/2015,Wales,7,Chris Robshaw,1986-06-04,28.68
06/02/2015,Wales,10,George Ford,1993-03-16,21.9
06/02/2015,Wales,3,Dan Cole,1987-05-09,27.75
06/02/2015,Wales,20,Tom Croft,1985-11-07,29.25
06/02/2015,Wales,2,Dylan Hartley,1986-03-24,28.87
06/02/2015,Wales,19,Nick Easter,1978-08-15,36.48
06/02/2015,Wales,12,Luther Burrell,1987-12-06,27.17
06/02/2015,Wales,14,Anthony Watson,1994-02-26,20.94
06/02/2015,Wales,18,Kieran Brookes,1990-08-29,24.44
06/02/2015,Wales,16,Tom Youngs,1987-01-28,28.03
06/02/2015,Wales,21,Richard Wigglesworth,1983-06-09,31.66
06/02/2015,Wales,1,Joe Marler,1990-07-07,24.59
06/02/2015,Wales,6,James Haskell,1985-04-02,29.85
06/02/2015,Wales,22,Danny Cipriani,1987-11-02,27.26
06/02/2015,Wales,15,Mike Brown,1985-09-04,29.42
06/02/2015,Wales,23,Billy Twelvetrees,1988-11-15,26.23
06/02/2015,Wales,4,David Attwood,1987-04-05,27.84
06/02/2015,Wales,5,George Kruis,1990-02-22,24.96
14/02/2015,Italy,13,Jonathan Joseph,1991-05-21,23.74
14/02/2015,Italy,11,Jonny May,1990-04-01,24.87
14/02/2015,Italy,9,Ben Youngs,1989-09-05,25.44
14/02/2015,Italy,17,Mako Vunipola,1991-01-14,24.09
14/02/2015,Italy,8,Billy Vunipola,1992-11-03,22.28
14/02/2015,Italy,7,Chris Robshaw,1986-06-04,28.7
14/02/2015,Italy,10,George Ford,1993-03-16,21.92
14/02/2015,Italy,3,Dan Cole,1987-05-09,27.77
14/02/2015,Italy,20,Tom Croft,1985-11-07,29.27
14/02/2015,Italy,2,Dylan Hartley,1986-03-24,28.9
14/02/2015,Italy,19,Nick Easter,1978-08-15,36.5
14/02/2015,Italy,12,Luther Burrell,1987-12-06,27.19
14/02/2015,Italy,14,Anthony Watson,1994-02-26,20.97
14/02/2015,Italy,18,Kieran Brookes,1990-08-29,24.46
14/02/2015,Italy,16,Tom Youngs,1987-01-28,28.05
14/02/2015,Italy,21,Richard Wigglesworth,1983-06-09,31.69
14/02/2015,Italy,1,Joe Marler,1990-07-07,24.61
14/02/2015,Italy,6,James Haskell,1985-04-02,29.87
14/02/2015,Italy,22,Danny Cipriani,1987-11-02,27.29
14/02/2015,Italy,15,Mike Brown,1985-09-04,29.45
14/02/2015,Italy,23,Billy Twelvetrees,1988-11-15,26.25
14/02/2015,Italy,4,David Attwood,1987-04-05,27.86
14/02/2015,Italy,5,George Kruis,1990-02-22,24.98
01/03/2015,Ireland,13,Jonathan Joseph,1991-05-21,23.78
01/03/2015,Ireland,9,Ben Youngs,1989-09-05,25.48
01/03/2015,Ireland,17,Mako Vunipola,1991-01-14,24.13
01/03/2015,Ireland,8,Billy Vunipola,1992-11-03,22.32
01/03/2015,Ireland,7,Chris Robshaw,1986-06-04,28.74
01/03/2015,Ireland,10,George Ford,1993-03-16,21.96
01/03/2015,Ireland,3,Dan Cole,1987-05-09,27.81
01/03/2015,Ireland,11,Jack Nowell,1993-04-11,21.89
01/03/2015,Ireland,20,Tom Croft,1985-11-07,29.31
01/03/2015,Ireland,2,Dylan Hartley,1986-03-24,28.94
01/03/2015,Ireland,19,Nick Easter,1978-08-15,36.54
01/03/2015,Ireland,12,Luther Burrell,1987-12-06,27.23
01/03/2015,Ireland,14,Anthony Watson,1994-02-26,21.01
01/03/2015,Ireland,16,Tom Youngs,1987-01-28,28.09
01/03/2015,Ireland,21,Richard Wigglesworth,1983-06-09,31.73
01/03/2015,Ireland,1,Joe Marler,1990-07-07,24.65
01/03/2015,Ireland,18,Henry Thomas,1991-10-30,23.34
01/03/2015,Ireland,6,James Haskell,1985-04-02,29.91
01/03/2015,Ireland,22,Danny Cipriani,1987-11-02,27.33
01/03/2015,Ireland,23,Billy Twelvetrees,1988-11-15,26.29
01/03/2015,Ireland,4,David Attwood,1987-04-05,27.9
01/03/2015,Ireland,15,Alex Goode,1988-05-07,26.82
01/03/2015,Ireland,5,George Kruis,1990-02-22,25.02
14/03/2015,Scotland,13,Jonathan Joseph,1991-05-21,23.81
14/03/2015,Scotland,9,Ben Youngs,1989-09-05,25.52
14/03/2015,Scotland,17,Mako Vunipola,1991-01-14,24.16
14/03/2015,Scotland,8,Billy Vunipola,1992-11-03,22.36
14/03/2015,Scotland,7,Chris Robshaw,1986-06-04,28.78
14/03/2015,Scotland,10,George Ford,1993-03-16,21.99
14/03/2015,Scotland,3,Dan Cole,1987-05-09,27.85
14/03/2015,Scotland,11,Jack Nowell,1993-04-11,21.92
14/03/2015,Scotland,5,Courtney Lawes,1989-02-23,26.05
14/03/2015,Scotland,20,Tom Wood,1986-11-03,28.36
14/03/2015,Scotland,2,Dylan Hartley,1986-03-24,28.97
14/03/2015,Scotland,12,Luther Burrell,1987-12-06,27.27
14/03/2015,Scotland,19,Geoff Parling,1983-10-28,31.38
14/03/2015,Scotland,14,Anthony Watson,1994-02-26,21.04
14/03/2015,Scotland,18,Kieran Brookes,1990-08-29,24.54
14/03/2015,Scotland,16,Tom Youngs,1987-01-28,28.12
14/03/2015,Scotland,21,Richard Wigglesworth,1983-06-09,31.76
14/03/2015,Scotland,1,Joe Marler,1990-07-07,24.68
14/03/2015,Scotland,6,James Haskell,1985-04-02,29.95
14/03/2015,Scotland,22,Danny Cipriani,1987-11-02,27.36
14/03/2015,Scotland,15,Mike Brown,1985-09-04,29.52
14/03/2015,Scotland,23,Billy Twelvetrees,1988-11-15,26.32
14/03/2015,Scotland,4,David Attwood,1987-04-05,27.94
21/03/2015,France,4,Geoff Parling,1983-10-28,31.4
21/03/2015,France,14,Anthony Watson,1994-02-26,21.06
21/03/2015,France,18,Kieran Brookes,1990-08-29,24.56
21/03/2015,France,16,Tom Youngs,1987-01-28,28.14
21/03/2015,France,21,Richard Wigglesworth,1983-06-09,31.78
21/03/2015,France,1,Joe Marler,1990-07-07,24.7
21/03/2015,France,6,James Haskell,1985-04-02,29.97
21/03/2015,France,22,Danny Cipriani,1987-11-02,27.38
21/03/2015,France,15,Mike Brown,1985-09-04,29.54
21/03/2015,France,23,Billy Twelvetrees,1988-11-15,26.34
21/03/2015,France,13,Jonathan Joseph,1991-05-21,23.83
21/03/2015,France,9,Ben Youngs,1989-09-05,25.54
21/03/2015,France,17,Mako Vunipola,1991-01-14,24.18
21/03/2015,France,8,Billy Vunipola,1992-11-03,22.38
21/03/2015,France,7,Chris Robshaw,1986-06-04,28.79
21/03/2015,France,10,George Ford,1993-03-16,22.01
21/03/2015,France,3,Dan Cole,1987-05-09,27.87
21/03/2015,France,11,Jack Nowell,1993-04-11,21.94
21/03/2015,France,5,Courtney Lawes,1989-02-23,26.07
21/03/2015,France,20,Tom Wood,1986-11-03,28.38
21/03/2015,France,2,Dylan Hartley,1986-03-24,28.99
21/03/2015,France,19,Nick Easter,1978-08-15,36.6
21/03/2015,France,12,Luther Burrell,1987-12-06,27.29
15/08/2015,France,12,Sam Burgess,1988-12-14,26.67
15/08/2015,France,11,Jonny May,1990-04-01,25.37
15/08/2015,France,10,Owen Farrell,1991-09-24,23.89
15/08/2015,France,1,Mako Vunipola,1991-01-14,24.58
15/08/2015,France,6,Tom Wood,1986-11-03,28.78
15/08/2015,France,7,Calum Clark,1989-06-10,26.18
15/08/2015,France,21,Danny Care,1987-01-02,28.62
15/08/2015,France,5,Geoff Parling,1983-10-28,31.8
15/08/2015,France,14,Anthony Watson,1994-02-26,21.47
15/08/2015,France,13,Henry Slade,1993-03-19,22.41
15/08/2015,France,3,Kieran Brookes,1990-08-29,24.96
15/08/2015,France,2,Rob Webber,1986-08-01,29.04
15/08/2015,France,18,David Wilson,1985-04-09,30.35
15/08/2015,France,9,Richard Wigglesworth,1983-06-09,32.18
15/08/2015,France,20,James Haskell,1985-04-02,30.37
15/08/2015,France,17,Alex Corbisiero,1988-08-30,26.96
15/08/2015,France,22,Danny Cipriani,1987-11-02,27.78
15/08/2015,France,23,Billy Twelvetrees,1988-11-15,26.75
15/08/2015,France,19,David Attwood,1987-04-05,28.36
15/08/2015,France,15,Alex Goode,1988-05-07,27.27
15/08/2015,France,16,Luke Cowan-Dickie,1993-06-20,22.15
15/08/2015,France,8,Ben Morgan,1989-02-18,26.49
15/08/2015,France,4,George Kruis,1990-02-22,25.48
22/08/2015,France,13,Jonathan Joseph,1991-05-21,24.26
22/08/2015,France,11,Jonny May,1990-04-01,25.39
22/08/2015,France,9,Ben Youngs,1989-09-05,25.96
22/08/2015,France,17,Mako Vunipola,1991-01-14,24.6
22/08/2015,France,8,Billy Vunipola,1992-11-03,22.8
22/08/2015,France,7,Chris Robshaw,1986-06-04,29.22
22/08/2015,France,10,George Ford,1993-03-16,22.43
22/08/2015,France,3,Dan Cole,1987-05-09,28.29
22/08/2015,France,4,Joe Launchbury,1991-04-12,24.36
22/08/2015,France,14,Jack Nowell,1993-04-11,22.36
22/08/2015,France,5,Courtney Lawes,1989-02-23,26.49
22/08/2015,France,21,Danny Care,1987-01-02,28.64
22/08/2015,France,20,Nick Easter,1978-08-15,37.02
22/08/2015,France,12,Luther Burrell,1987-12-06,27.71
22/08/2015,France,2,Tom Youngs,1987-01-28,28.56
22/08/2015,France,18,David Wilson,1985-04-09,30.37
22/08/2015,France,16,Jamie George,1990-10-20,24.84
22/08/2015,France,1,Joe Marler,1990-07-07,25.13
22/08/2015,France,6,James Haskell,1985-04-02,30.39
22/08/2015,France,22,Danny Cipriani,1987-11-02,27.8
22/08/2015,France,15,Mike Brown,1985-09-04,29.96
22/08/2015,France,23,Billy Twelvetrees,1988-11-15,26.77
22/08/2015,France,19,David Attwood,1987-04-05,28.38
05/09/2015,Ireland,13,Jonathan Joseph,1991-05-21,24.29
05/09/2015,Ireland,23,Sam Burgess,1988-12-14,26.72
05/09/2015,Ireland,11,Jonny May,1990-04-01,25.43
05/09/2015,Ireland,22,Owen Farrell,1991-09-24,23.95
05/09/2015,Ireland,9,Ben Youngs,1989-09-05,26.0
05/09/2015,Ireland,17,Mako Vunipola,1991-01-14,24.64
05/09/2015,Ireland,20,Billy Vunipola,1992-11-03,22.84
05/09/2015,Ireland,7,Chris Robshaw,1986-06-04,29.25
05/09/2015,Ireland,10,George Ford,1993-03-16,22.47
05/09/2015,Ireland,3,Dan Cole,1987-05-09,28.33
05/09/2015,Ireland,12,Brad Barritt,1986-08-07,29.08
05/09/2015,Ireland,19,Joe Launchbury,1991-04-12,24.4
05/09/2015,Ireland,5,Courtney Lawes,1989-02-23,26.53
05/09/2015,Ireland,6,Tom Wood,1986-11-03,28.84
05/09/2015,Ireland,4,Geoff Parling,1983-10-28,31.86
05/09/2015,Ireland,14,Anthony Watson,1994-02-26,21.52
05/09/2015,Ireland,18,Kieran Brookes,1990-08-29,25.02
05/09/2015,Ireland,2,Tom Youngs,1987-01-28,28.6
05/09/2015,Ireland,21,Richard Wigglesworth,1983-06-09,32.24
05/09/2015,Ireland,16,Jamie George,1990-10-20,24.88
05/09/2015,Ireland,1,Joe Marler,1990-07-07,25.16
05/09/2015,Ireland,15,Mike Brown,1985-09-04,30.0
05/09/2015,Ireland,8,Ben Morgan,1989-02-18,26.54
18/09/2015,Fiji,13,Jonathan Joseph,1991-05-21,24.33
18/09/2015,Fiji,23,Sam Burgess,1988-12-14,26.76
18/09/2015,Fiji,11,Jonny May,1990-04-01,25.47
18/09/2015,Fiji,22,Owen Farrell,1991-09-24,23.98
18/09/2015,Fiji,9,Ben Youngs,1989-09-05,26.03
18/09/2015,Fiji,17,Mako Vunipola,1991-01-14,24.68
18/09/2015,Fiji,20,Billy Vunipola,1992-11-03,22.87
18/09/2015,Fiji,7,Chris Robshaw,1986-06-04,29.29
18/09/2015,Fiji,10,George Ford,1993-03-16,22.51
18/09/2015,Fiji,3,Dan Cole,1987-05-09,28.36
18/09/2015,Fiji,12,Brad Barritt,1986-08-07,29.11
18/09/2015,Fiji,19,Joe Launchbury,1991-04-12,24.44
18/09/2015,Fiji,5,Courtney Lawes,1989-02-23,26.57
18/09/2015,Fiji,6,Tom Wood,1986-11-03,28.87
18/09/2015,Fiji,4,Geoff Parling,1983-10-28,31.89
18/09/2015,Fiji,14,Anthony Watson,1994-02-26,21.56
18/09/2015,Fiji,18,Kieran Brookes,1990-08-29,25.05
18/09/2015,Fiji,2,Tom Youngs,1987-01-28,28.64
18/09/2015,Fiji,16,Rob Webber,1986-08-01,29.13
18/09/2015,Fiji,21,Richard Wigglesworth,1983-06-09,32.28
18/09/2015,Fiji,1,Joe Marler,1990-07-07,25.2
18/09/2015,Fiji,15,Mike Brown,1985-09-04,30.04
18/09/2015,Fiji,8,Ben Morgan,1989-02-18,26.58
26/09/2015,Wales,12,Sam Burgess,1988-12-14,26.78
26/09/2015,Wales,11,Jonny May,1990-04-01,25.49
26/09/2015,Wales,10,Owen Farrell,1991-09-24,24.01
26/09/2015,Wales,9,Ben Youngs,1989-09-05,26.06
26/09/2015,Wales,17,Mako Vunipola,1991-01-14,24.7
26/09/2015,Wales,8,Billy Vunipola,1992-11-03,22.89
26/09/2015,Wales,7,Chris Robshaw,1986-06-04,29.31
26/09/2015,Wales,22,George Ford,1993-03-16,22.53
26/09/2015,Wales,3,Dan Cole,1987-05-09,28.38
26/09/2015,Wales,13,Brad Barritt,1986-08-07,29.14
26/09/2015,Wales,19,Joe Launchbury,1991-04-12,24.46
26/09/2015,Wales,5,Courtney Lawes,1989-02-23,26.59
26/09/2015,Wales,6,Tom Wood,1986-11-03,28.9
26/09/2015,Wales,4,Geoff Parling,1983-10-28,31.91
26/09/2015,Wales,14,Anthony Watson,1994-02-26,21.58
26/09/2015,Wales,18,Kieran Brookes,1990-08-29,25.08
26/09/2015,Wales,2,Tom Youngs,1987-01-28,28.66
26/09/2015,Wales,16,Rob Webber,1986-08-01,29.15
26/09/2015,Wales,21,Richard Wigglesworth,1983-06-09,32.3
26/09/2015,Wales,1,Joe Marler,1990-07-07,25.22
26/09/2015,Wales,20,James Haskell,1985-04-02,30.48
26/09/2015,Wales,15,Mike Brown,1985-09-04,30.06
26/09/2015,Wales,23,Alex Goode,1988-05-07,27.39
03/10/2015,Australia,13,Jonathan Joseph,1991-05-21,24.37
03/10/2015,Australia,23,Sam Burgess,1988-12-14,26.8
03/10/2015,Australia,11,Jonny May,1990-04-01,25.51
03/10/2015,Australia,10,Owen Farrell,1991-09-24,24.03
03/10/2015,Australia,9,Ben Youngs,1989-09-05,26.08
03/10/2015,Australia,17,Mako Vunipola,1991-01-14,24.72
03/10/2015,Australia,7,Chris Robshaw,1986-06-04,29.33
03/10/2015,Australia,22,George Ford,1993-03-16,22.55
03/10/2015,Australia,3,Dan Cole,1987-05-09,28.4
03/10/2015,Australia,12,Brad Barritt,1986-08-07,29.16
03/10/2015,Australia,4,Joe Launchbury,1991-04-12,24.48
03/10/2015,Australia,6,Tom Wood,1986-11-03,28.92
03/10/2015,Australia,20,Nick Easter,1978-08-15,37.13
03/10/2015,Australia,5,Geoff Parling,1983-10-28,31.93
03/10/2015,Australia,14,Anthony Watson,1994-02-26,21.6
03/10/2015,Australia,18,Kieran Brookes,1990-08-29,25.1
03/10/2015,Australia,2,Tom Youngs,1987-01-28,28.68
03/10/2015,Australia,16,Rob Webber,1986-08-01,29.17
03/10/2015,Australia,21,Richard Wigglesworth,1983-06-09,32.32
03/10/2015,Australia,1,Joe Marler,1990-07-07,25.24
03/10/2015,Australia,15,Mike Brown,1985-09-04,30.08
03/10/2015,Australia,8,Ben Morgan,1989-02-18,26.62
03/10/2015,Australia,19,George Kruis,1990-02-22,25.61
10/10/2015,Uruguay,22,Jonathan Joseph,1991-05-21,24.39
10/10/2015,Uruguay,12,Owen Farrell,1991-09-24,24.04
10/10/2015,Uruguay,1,Mako Vunipola,1991-01-14,24.74
10/10/2015,Uruguay,7,Chris Robshaw,1986-06-04,29.35
10/10/2015,Uruguay,10,George Ford,1993-03-16,22.57
10/10/2015,Uruguay,3,Dan Cole,1987-05-09,28.42
10/10/2015,Uruguay,4,Joe Launchbury,1991-04-12,24.5
