date,opposition,shirt,player,started,minutes
02/02/2019,Ireland,11,Jonny May,y,80
02/02/2019,Ireland,10,Owen Farrell,y,80
02/02/2019,Ireland,9,Ben Youngs,y,80
02/02/2019,Ireland,18,Harry Williams,n,16
02/02/2019,Ireland,1,Mako Vunipola,y,78
02/02/2019,Ireland,8,Billy Vunipola,y,80
02/02/2019,Ireland,22,George Ford,n,2
02/02/2019,Ireland,7,Tom Curry,y,80
02/02/2019,Ireland,20,Nathan Hughes,n,26
02/02/2019,Ireland,21,Dan Robson,n,0
02/02/2019,Ireland,14,Jack Nowell,y,74
02/02/2019,Ireland,19,Courtney Lawes,n,28
02/02/2019,Ireland,4,Maro Itoje,y,54
02/02/2019,Ireland,6,Mark Wilson,y,80
02/02/2019,Ireland,17,Ellis Genge,n,2
02/02/2019,Ireland,12,Manu Tuilagi,y,78
02/02/2019,Ireland,13,Henry Slade,y,80
02/02/2019,Ireland,2,Jamie George,y,78
02/02/2019,Ireland,3,Kyle Sinckler,y,64
02/02/2019,Ireland,23,Chris Ashton,n,6
02/02/2019,Ireland,15,Elliot Daly,y,80
02/02/2019,Ireland,16,Luke Cowan-Dickie,n,2
02/02/2019,Ireland,5,George Kruis,y,52
10/02/2019,France,11,Jonny May,y,80
10/02/2019,France,10,Owen Farrell,y,80
10/02/2019,France,9,Ben Youngs,y,70
10/02/2019,France,1,Mako Vunipola,y,44
10/02/2019,France,8,Billy Vunipola,y,65
10/02/2019,France,22,George Ford,n,18
10/02/2019,France,18,Dan Cole,n,23
10/02/2019,France,7,Tom Curry,y,75
10/02/2019,France,20,Nathan Hughes,n,20
10/02/2019,France,19,Joe Launchbury,n,33
10/02/2019,France,21,Dan Robson,n,10
10/02/2019,France,17,Ben Moon,n,36
10/02/2019,France,23,Jack Nowell,n,28
10/02/2019,France,4,Courtney Lawes,y,80
10/02/2019,France,6,Mark Wilson,y,80
10/02/2019,France,12,Manu Tuilagi,y,62
10/02/2019,France,13,Henry Slade,y,80
10/02/2019,France,2,Jamie George,y,62
10/02/2019,France,3,Kyle Sinckler,y,57
10/02/2019,France,14,Chris Ashton,y,52
10/02/2019,France,15,Elliot Daly,y,80
10/02/2019,France,16,Luke Cowan-Dickie,n,18
10/02/2019,France,5,George Kruis,y,47
23/02/2019,Wales,11,Jonny May,y,69
23/02/2019,Wales,10,Owen Farrell,y,80
23/02/2019,Wales,9,Ben Youngs,y,80
23/02/2019,Wales,18,Harry Williams,n,23
23/02/2019,Wales,8,Billy Vunipola,y,80
23/02/2019,Wales,22,George Ford,n,0
