player,dob,caps,position_last_seen,shirt_last_seen,last_match_date,last_opposition
Adam Radwan,1997-12-30,2,Wing,14,06/11/2021,Tonga
Alex Coles,1999-09-21,22,Lock,4,18/07/2026,Argentina
Alex Dombrandt,1997-04-29,23,Number 8,8,19/07/2025,USA
Alex Mitchell,1997-05-25,34,Replacement,21,11/07/2026,Fiji
Anthony Watson,1994-02-26,62,Wing,14,19/08/2023,Ireland
Arthur Clark,2001-12-19,1,Lock,5,19/07/2025,USA
Asher Opoku-Fordjour,2004-07-16,8,Replacement,17,11/07/2026,Fiji
Ben Curry,1998-06-15,14,Replacement,20,19/07/2025,USA
Ben Earl,1998-01-07,56,Number 8,8,18/07/2026,Argentina
Ben Loader,1998-09-08,0,Replacement,23,02/06/2019,Barbarians
Ben Moon,1989-07-14,8,Prop,1,16/03/2019,Scotland
Ben Spencer,1992-07-31,19,Replacement,21,18/07/2026,Argentina
Ben Te'o,1987-01-27,20,Replacement,23,16/03/2019,Scotland
Ben White,1998-05-27,38,Replacement,21,02/06/2019,Barbarians
Ben Youngs,1989-09-05,129,Scrum Half,9,27/10/2023,Argentina
Benhard van Rensburg,1997-01-14,2,Replacement,22,18/07/2026,Argentina
Beno Obano,1994-10-24,5,Replacement,17,04/07/2026,South Africa
Bevan Rodd,2000-08-26,15,Replacement,17,14/03/2026,France
Billy Vunipola,1992-11-03,75,Replacement,20,21/10/2023,South Africa
Brad Shields,1991-04-02,8,Replacement,19,16/03/2019,Scotland
Cadan Murley,1999-07-31,7,Wing,11,04/07/2026,South Africa
Callum Chick,1996-11-25,2,Number 8,8,19/06/2022,Barbarians
Callum Sheedy,1995-10-28,17,Replacement,22,02/06/2019,Barbarians
Chandler Cunningham-South,2002-02-14,22,Replacement,19,14/03/2026,France
Charlie Atkinson,2001-10-06,1,Replacement,22,19/07/2025,USA
Charlie Ewels,1995-06-29,35,Replacement,19,04/07/2026,South Africa
Chris Ashton,1987-03-29,44,Wing,14,10/02/2019,France
Courtney Lawes,1989-02-23,111,Flanker,6,21/10/2023,South Africa
Curtis Langdon,1997-08-03,4,Hooker,2,19/07/2025,USA
Dan Cole,1987-05-09,121,Replacement,18,16/11/2024,South Africa
Dan Kelly,2001-06-16,1,Centre,12,10/07/2021,Canada
Dan Robson,1992-03-14,14,Replacement,21,10/07/2021,Canada
Danny Care,1987-01-02,101,Replacement,21,16/03/2024,France
