date,year,opposition,h / a,eng irb,opp irb,irb difference,,higher/ lower,result,pts scored,pts conceded,difference,,tries scored,tries conceded,higher / lower,kick % success,eng cbs,opp cbs,higher / lower,eng dbs,opp dbs,higher / lower,eng off-loads,opp off-loads,higher / lower,eng kfh,opp kfh,higher / lower,eng penalties,opp penalties,higher / lower,coach,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
,,wales,a,,,,,,w,,,,,,,,,,,,,,,,,,,,,,,,mj,,sheridan,hartley,cole,deacon,palmer,wood,haskell,8,9,10,cueto,hape,tindall,ashton,foden,,,,,,,,
,,italy,h,,,,,,w,,,,,,,,,,,,,,,,,,,,,,,,mj,,corbisiero,hartley,cole,deacon,palmer,wood,haskell,8,9,10,cueto,hape,tindall,ashton,foden,,,,,,,,
,,france,h,,,,,,w,,,,,,,,,,,,,,,,,,,,,,,,mj,,sheridan,hartley,cole,deacon,palmer,wood,haskell,8,9,10,cueto,hape,tindall,ashton,foden,,,,,,,,
,,scotland,h,,,,,,w,,,,,,,,,,,,,,,,,,,,,,,,mj,,corbisiero,hartley,cole,deacon,palmer,wood,haskell,8,9,10,cueto,hape,tindall,ashton,foden,,,,,,,,
,,ireland,a,,,,,,l,,,,,,,,,,,,,,,,,,,,,,,,mj,,corbisiero,hartley,cole,deacon,palmer,wood,haskell,8,9,10,cueto,hape,banahan,ashton,foden,,,,,,,,
,,wales,h,,,,,,w,,,,,,,,,,,,,,,,,,,,,,,,mj,,corbisiero,hartley,stevens,shaw,palmer,croft,moody,8,9,10,cueto,flutey,tuilagi,banahan,armitage,,,,,,,,
,,wales,a,,,,,,l,,,,,,,,,,,,,,,,,,,,,,,,mj,,corbisiero,thompson,cole,deacon,lawes,wood,fourie,8,9,10,cueto,hape,tuilagi,banahan,foden,,,,,,,,
,,ireland,a,,,,,,l,,,,,,,,,,,,,,,,,,,,,,,,mj,,sheridan,thompson,cole,deacon,lawes,croft,fourie,8,9,10,cueto,tindall,tuilagi,ashton,foden,,,,,,,,
,,argentina,n,,,,,,w,,,,,,,,,,,,,,,,,,,,,,,,mj,,sheridan,thompson,cole,deacon,lawes,croft,haskell,8,9,10,"armitage, d",tindall,tuilagi,ashton,foden,,,,,,,,
,,georgia,n,,,,,,w,,,,,,,,,,,,,,,,,,,,,,,,mj,,stevens,hartley,cole,shaw,palmer,wood,moody,8,9,10,"armitage, d",hape,tuilagi,ashton,foden,,,,,,,,
,,romania,n,,,,,,w,,,,,,,,,,,,,,,,,,,,,,,,mj,,corbisiero,thompson,cole,deacon,palmer,croft,moody,8,9,10,cueto,tindall,tuilagi,ashton,foden,,,,,,,,
,,scotland,n,,,,,,w,,,,,,,,,,,,,,,,,,,,,,,,mj,,stevens,thompson,cole,deacon,lawes,croft,moody,8,9,10,"armitage, d",tindall,tuilagi,ashton,foden,,,,,,,,
,,france,n,,,,,,l,,,,,,,,,,,,,,,,,,,,,,,,mj,,stevens,thompson,cole,deacon,palmer,croft,moody,8,9,10,cueto,flood,tuilagi,ashton,foden,,,,,,,,
,,scotland,a,,,,,,w,,,,,,,,,,,,,,,,,,,,,,,,sl,,corbisiero,hartley,cole,botha,palmer,croft,robshaw,8,9,10,strettle,farrell,barritt,ashton,foden,,,,,,,,
,,italy,a,,,,,,w,,,,,,,,,,,,,,,,,,,,,,,,sl,,corbisiero,hartley,cole,botha,palmer,croft,robshaw,8,9,10,strettle,farrell,barritt,ashton,foden,,,,,,,,
,,wales,h,,,,,,l,,,,,,,,,,,,,,,,,,,,,,,,sl,,corbisiero,hartley,cole,botha,parling,croft,robshaw,8,9,10,strettle,barritt,tuilagi,ashton,foden,,,,,,,,
,,france,a,,,,,,w,,,,,,,,,,,,,,,,,,,,,,,,sl,,corbisiero,hartley,cole,botha,parling,croft,robshaw,8,9,10,sharples,barritt,tuilagi,ashton,foden,,,,,,,,
,,ireland,h,,,,,,w,,,,,,,,,,,,,,,,,,,,,,,,sl,,corbisiero,hartley,cole,botha,parling,croft,robshaw,8,9,10,strettle,barritt,tuilagi,ashton,foden,,,,,,,,
,,sa,a,,,,,,l,,,,,,,,,,,,,,,,,,,,,,,,sl,,marler,hartley,cole,botha,parling,johnson,robshaw,8,9,10,foden,barritt,tuilagi,ashton,brown,,,,,,,,
,,sa,a,,,,,,l,,,,,,,,,,,,,,,,,,,,,,,,sl,,marler,hartley,cole,botha,parling,johnson,robshaw,8,9,10,strettle,tuilagi,joseph,ashton,foden,,,,,,,,
,,sa,a,,,,,,d,,,,,,,,,,,,,,,,,,,,,,,,sl,,marler,hartley,cole,palmer,parling,johnson,haskell,8,9,10,foden,tuilagi,joseph,ashton,goode,,,,,,,,
,,fiji,a,,,,,,w,,,,,,,,,,,,,,,,,,,,,,,,sl,,marler,"youngs, t",cole,palmer,parling,johnson,robshaw,8,9,10,monye,barritt,tuilagi,sharples,goode,,,,,,,,
,,australia,h,,,,,,l,,,,,,,,,,,,,,,,,,,,,,,,sl,,marler,"youngs, t",cole,palmer,parling,johnson,robshaw,8,9,10,sharples,barritt,tuilagi,ashton,goode,,,,,,,,
,,sa,h,,,,,,l,,,,,,,,,,,,,,,,,,,,,,,,sl,,corbisiero,"youngs, t",cole,launchbury,parling,wood,robshaw,8,9,10,brown,barritt,tuilagi,ashton,goode,,,,,,,,
,,nz,h,,,,,,w,,,,,,,,,,,,,,,,,,,,,,,,sl,,corbisiero,"youngs, t",cole,launchbury,parling,wood,robshaw,8,9,10,brown,barritt,tuilagi,ashton,goode,,,,,,,,
,,scotland,h,,,,,,w,,,,,,,,,,,,,,,,,,,,,,,,sl,,marler,"youngs, t",cole,launchbury,parling,wood,robshaw,8,9,10,brown,twelvetrees,barritt,ashton,goode,,,,,,,,
,,ireland,a,,,,,,w,,,,,,,,,,,,,,,,,,,,,,,,sl,,marler,"youngs, t",cole,launchbury,parling,haskell,robshaw,8,9,10,brown,twelvetrees,barritt,ashton,goode,,,,,,,,
,,france,h,,,,,,w,,,,,,,,,,,,,,,,,,,,,,,,sl,,marler,hartley,cole,launchbury,parling,lawes,robshaw,8,9,10,brown,barritt,tuilagi,ashton,goode,,,,,,,,
,,italy,h,,,,,,w,,,,,,,,,,,,,,,,,,,,,,,,sl,,"vunipola, m","youngs, t",cole,launchbury,parling,haskell,robshaw,8,9,10,brown,barritt,tuilagi,ashton,goode,,,,,,,,
,,wales,a,,,,,,l,,,,,,,,,,,,,,,,,,,,,,,,sl,,"vunipola, m","youngs, t",cole,launchbury,parling,croft,robshaw,8,9,10,brown,barritt,tuilagi,ashton,goode,,,,,,,,
,,argentina,a,,,,,,w,,,,,,,,,,,,,,,,,,,,,,,,sl,,marler,webber,wilson,launchbury,attwood,wood,kvesic,8,9,10,strettle,twelvetrees,joseph,wade,brown,,,,,,,,
