date,opposition,shirt,player,dob,age_on_matchday
07/02/2015,Scotland,15,Scott Spedding,1986-05-04,28.76
07/02/2015,Scotland,1,Alexandre Menini,1983-08-05,31.51
07/02/2015,Scotland,11,Teddy Thomas,1993-09-18,21.39
07/02/2015,Scotland,16,Benjamin Kayser,1984-07-26,30.54
07/02/2015,Scotland,6,Thierry Dusautoir,1981-11-18,33.22
07/02/2015,Scotland,4,Pascal Pape,1980-10-05,34.34
07/02/2015,Scotland,7,Bernard Le Roux,1989-06-04,25.68
07/02/2015,Scotland,20,Loann Goujon,1989-04-23,25.79
07/02/2015,Scotland,8,Damien Chouly,1985-11-27,29.2
07/02/2015,Scotland,21,Morgan Parra,1988-11-15,26.23
07/02/2015,Scotland,12,Wesley Fofana,1988-01-20,27.05
07/02/2015,Scotland,23,Remi Lamerat,1990-01-14,25.07
07/02/2015,Scotland,10,Camille Lopez,1989-04-03,25.85
07/02/2015,Scotland,2,Guilhem Guirado,1986-06-17,28.64
07/02/2015,Scotland,3,Rabah Slimani,1989-10-18,25.31
07/02/2015,Scotland,5,Yoann Maestri,1988-01-14,27.07
07/02/2015,Scotland,13,Mathieu Bastareaud,1988-09-17,26.39
07/02/2015,Scotland,17,Uini Atonio,1990-03-26,24.87
07/02/2015,Scotland,14,Yoann Huget,1987-06-02,27.69
07/02/2015,Scotland,18,Eddy Ben Arous,1990-08-25,24.45
07/02/2015,Scotland,19,Romain Taofifenua,1990-09-14,24.4
07/02/2015,Scotland,22,Remi Tales,1984-05-02,30.77
07/02/2015,Scotland,9,Rory Kockott,1986-06-25,28.62
14/02/2015,Ireland,15,Scott Spedding,1986-05-04,28.78
14/02/2015,Ireland,11,Teddy Thomas,1993-09-18,21.41
14/02/2015,Ireland,16,Benjamin Kayser,1984-07-26,30.56
14/02/2015,Ireland,6,Thierry Dusautoir,1981-11-18,33.24
14/02/2015,Ireland,4,Pascal Pape,1980-10-05,34.36
14/02/2015,Ireland,7,Bernard Le Roux,1989-06-04,25.7
14/02/2015,Ireland,20,Loann Goujon,1989-04-23,25.81
14/02/2015,Ireland,8,Damien Chouly,1985-11-27,29.22
14/02/2015,Ireland,21,Morgan Parra,1988-11-15,26.25
14/02/2015,Ireland,12,Wesley Fofana,1988-01-20,27.07
14/02/2015,Ireland,23,Remi Lamerat,1990-01-14,25.08
14/02/2015,Ireland,10,Camille Lopez,1989-04-03,25.87
14/02/2015,Ireland,2,Guilhem Guirado,1986-06-17,28.66
14/02/2015,Ireland,3,Rabah Slimani,1989-10-18,25.33
14/02/2015,Ireland,5,Yoann Maestri,1988-01-14,27.09
14/02/2015,Ireland,13,Mathieu Bastareaud,1988-09-17,26.41
14/02/2015,Ireland,18,Vincent Debaty,1981-10-02,33.37
14/02/2015,Ireland,17,Uini Atonio,1990-03-26,24.89
14/02/2015,Ireland,14,Yoann Huget,1987-06-02,27.7
14/02/2015,Ireland,1,Eddy Ben Arous,1990-08-25,24.47
14/02/2015,Ireland,19,Romain Taofifenua,1990-09-14,24.42
14/02/2015,Ireland,22,Remi Tales,1984-05-02,30.79
14/02/2015,Ireland,9,Rory Kockott,1986-06-25,28.64
28/02/2015,Wales,21,Sebastien Tillous-Borde,1985-04-29,29.83
28/02/2015,Wales,16,Benjamin Kayser,1984-07-26,30.59
28/02/2015,Wales,6,Thierry Dusautoir,1981-11-18,33.28
28/02/2015,Wales,7,Bernard Le Roux,1989-06-04,25.74
28/02/2015,Wales,20,Loann Goujon,1989-04-23,25.85
28/02/2015,Wales,8,Damien Chouly,1985-11-27,29.25
28/02/2015,Wales,9,Morgan Parra,1988-11-15,26.29
28/02/2015,Wales,12,Wesley Fofana,1988-01-20,27.11
28/02/2015,Wales,13,Remi Lamerat,1990-01-14,25.12
28/02/2015,Wales,15,Brice Dulin,1990-04-13,24.88
28/02/2015,Wales,10,Camille Lopez,1989-04-03,25.91
28/02/2015,Wales,2,Guilhem Guirado,1986-06-17,28.7
28/02/2015,Wales,3,Rabah Slimani,1989-10-18,25.36
28/02/2015,Wales,5,Yoann Maestri,1988-01-14,27.12
28/02/2015,Wales,23,Mathieu Bastareaud,1988-09-17,26.45
28/02/2015,Wales,18,Vincent Debaty,1981-10-02,33.41
28/02/2015,Wales,17,Uini Atonio,1990-03-26,24.93
28/02/2015,Wales,14,Yoann Huget,1987-06-02,27.74
28/02/2015,Wales,11,Sofiane Guitoune,1989-03-27,25.93
28/02/2015,Wales,1,Eddy Ben Arous,1990-08-25,24.51
28/02/2015,Wales,19,Jocelino Suta,1982-11-18,32.28
28/02/2015,Wales,4,Romain Taofifenua,1990-09-14,24.46
28/02/2015,Wales,22,Remi Tales,1984-05-02,30.83
15/03/2015,Italy,9,Sebastien Tillous-Borde,1985-04-29,29.88
15/03/2015,Italy,4,Alexandre Flanquart,1989-10-09,25.43
15/03/2015,Italy,3,Nicolas Mas,1980-05-23,34.81
15/03/2015,Italy,15,Scott Spedding,1986-05-04,28.86
15/03/2015,Italy,22,Jules Plisson,1991-08-20,23.57
15/03/2015,Italy,16,Benjamin Kayser,1984-07-26,30.63
15/03/2015,Italy,6,Thierry Dusautoir,1981-11-18,33.32
15/03/2015,Italy,13,Gael Fickou,1994-03-26,20.97
15/03/2015,Italy,7,Bernard Le Roux,1989-06-04,25.78
15/03/2015,Italy,8,Loann Goujon,1989-04-23,25.89
15/03/2015,Italy,20,Damien Chouly,1985-11-27,29.3
15/03/2015,Italy,12,Maxime Mermoz,1986-07-28,28.63
15/03/2015,Italy,10,Camille Lopez,1989-04-03,25.95
15/03/2015,Italy,2,Guilhem Guirado,1986-06-17,28.74
15/03/2015,Italy,17,Rabah Slimani,1989-10-18,25.41
15/03/2015,Italy,5,Yoann Maestri,1988-01-14,27.17
15/03/2015,Italy,23,Mathieu Bastareaud,1988-09-17,26.49
15/03/2015,Italy,18,Vincent Debaty,1981-10-02,33.45
15/03/2015,Italy,14,Yoann Huget,1987-06-02,27.78
15/03/2015,Italy,1,Eddy Ben Arous,1990-08-25,24.55
15/03/2015,Italy,19,Romain Taofifenua,1990-09-14,24.5
15/03/2015,Italy,21,Rory Kockott,1986-06-25,28.72
15/03/2015,Italy,11,Noa Nakaitaci,1990-07-11,24.68
21/03/2015,England,9,Sebastien Tillous-Borde,1985-04-29,29.89
21/03/2015,England,4,Alexandre Flanquart,1989-10-09,25.45
21/03/2015,England,3,Nicolas Mas,1980-05-23,34.83
21/03/2015,England,15,Scott Spedding,1986-05-04,28.88
21/03/2015,England,10,Jules Plisson,1991-08-20,23.58
21/03/2015,England,16,Benjamin Kayser,1984-07-26,30.65
21/03/2015,England,6,Thierry Dusautoir,1981-11-18,33.34
21/03/2015,England,13,Gael Fickou,1994-03-26,20.99
21/03/2015,England,7,Bernard Le Roux,1989-06-04,25.79
21/03/2015,England,8,Loann Goujon,1989-04-23,25.91
21/03/2015,England,20,Damien Chouly,1985-11-27,29.31
21/03/2015,England,12,Maxime Mermoz,1986-07-28,28.65
21/03/2015,England,2,Guilhem Guirado,1986-06-17,28.76
21/03/2015,England,17,Rabah Slimani,1989-10-18,25.42
21/03/2015,England,5,Yoann Maestri,1988-01-14,27.18
21/03/2015,England,23,Mathieu Bastareaud,1988-09-17,26.51
21/03/2015,England,1,Vincent Debaty,1981-10-02,33.47
21/03/2015,England,18,Uini Atonio,1990-03-26,24.99
21/03/2015,England,14,Yoann Huget,1987-06-02,27.8
21/03/2015,England,19,Romain Taofifenua,1990-09-14,24.52
21/03/2015,England,22,Remi Tales,1984-05-02,30.88
21/03/2015,England,21,Rory Kockott,1986-06-25,28.74
21/03/2015,England,11,Noa Nakaitaci,1990-07-11,24.69
15/08/2015,England,4,Alexandre Flanquart,1989-10-09,25.85
15/08/2015,England,3,Nicolas Mas,1980-05-23,35.23
15/08/2015,England,15,Scott Spedding,1986-05-04,29.28
15/08/2015,England,12,Alexandre Dumoulin,1989-08-24,25.97
15/08/2015,England,19,Sebastien Vahaamahina,1991-10-21,23.82
15/08/2015,England,23,Gael Fickou,1994-03-26,21.39
15/08/2015,England,20,Loann Goujon,1989-04-23,26.31
15/08/2015,England,6,Yannick Nyanga,1983-12-19,31.66
15/08/2015,England,9,Morgan Parra,1988-11-15,26.75
15/08/2015,England,13,Remi Lamerat,1990-01-14,25.58
15/08/2015,England,11,Brice Dulin,1990-04-13,25.34
15/08/2015,England,16,Guilhem Guirado,1986-06-17,29.16
15/08/2015,England,8,Louis Picamoles,1986-02-05,29.52
15/08/2015,England,5,Yoann Maestri,1988-01-14,27.58
15/08/2015,England,17,Xavier Chiocci,1990-02-13,25.5
15/08/2015,England,1,Vincent Debaty,1981-10-02,33.87
15/08/2015,England,18,Uini Atonio,1990-03-26,25.39
15/08/2015,England,14,Sofiane Guitoune,1989-03-27,26.39
15/08/2015,England,22,Remi Tales,1984-05-02,31.29
15/08/2015,England,2,Dimitri Szarzewski,1983-01-26,32.55
15/08/2015,England,21,Rory Kockott,1986-06-25,29.14
15/08/2015,England,10,Francois Trinh-Duc,1986-11-11,28.76
15/08/2015,England,7,Fulgence Ouedraogo,1986-07-21,29.07
22/08/2015,England,9,Sebastien Tillous-Borde,1985-04-29,30.31
22/08/2015,England,19,Alexandre Flanquart,1989-10-09,25.87
22/08/2015,England,15,Scott Spedding,1986-05-04,29.3
22/08/2015,England,16,Benjamin Kayser,1984-07-26,31.07
22/08/2015,England,4,Pascal Pape,1980-10-05,34.88
22/08/2015,England,23,Gael Fickou,1994-03-26,21.41
22/08/2015,England,7,Bernard Le Roux,1989-06-04,26.22
22/08/2015,England,6,Damien Chouly,1985-11-27,29.73
22/08/2015,England,20,Yannick Nyanga,1983-12-19,31.67
22/08/2015,England,10,Frederic Michalak,1982-10-16,32.85
22/08/2015,England,12,Wesley Fofana,1988-01-20,27.59
22/08/2015,England,2,Guilhem Guirado,1986-06-17,29.18
22/08/2015,England,3,Rabah Slimani,1989-10-18,25.84
22/08/2015,England,8,Louis Picamoles,1986-02-05,29.54
22/08/2015,England,5,Yoann Maestri,1988-01-14,27.6
22/08/2015,England,13,Mathieu Bastareaud,1988-09-17,26.93
22/08/2015,England,17,Vincent Debaty,1981-10-02,33.89
22/08/2015,England,18,Uini Atonio,1990-03-26,25.41
22/08/2015,England,14,Yoann Huget,1987-06-02,28.22
22/08/2015,England,1,Eddy Ben Arous,1990-08-25,24.99
22/08/2015,England,22,Remi Tales,1984-05-02,31.31
22/08/2015,England,21,Rory Kockott,1986-06-25,29.16
22/08/2015,England,11,Noa Nakaitaci,1990-07-11,25.11
05/09/2015,Scotland,9,Sebastien Tillous-Borde,1985-04-29,30.35
05/09/2015,Scotland,5,Alexandre Flanquart,1989-10-09,25.91
05/09/2015,Scotland,18,Nicolas Mas,1980-05-23,35.29
05/09/2015,Scotland,15,Scott Spedding,1986-05-04,29.34
05/09/2015,Scotland,23,Alexandre Dumoulin,1989-08-24,26.03
05/09/2015,Scotland,6,Thierry Dusautoir,1981-11-18,33.8
05/09/2015,Scotland,4,Pascal Pape,1980-10-05,34.92
05/09/2015,Scotland,19,Bernard Le Roux,1989-06-04,26.25
05/09/2015,Scotland,7,Damien Chouly,1985-11-27,29.77
05/09/2015,Scotland,20,Yannick Nyanga,1983-12-19,31.71
05/09/2015,Scotland,21,Morgan Parra,1988-11-15,26.8
05/09/2015,Scotland,10,Frederic Michalak,1982-10-16,32.89
05/09/2015,Scotland,12,Wesley Fofana,1988-01-20,27.63
05/09/2015,Scotland,2,Guilhem Guirado,1986-06-17,29.22
05/09/2015,Scotland,3,Rabah Slimani,1989-10-18,25.88
05/09/2015,Scotland,8,Louis Picamoles,1986-02-05,29.58
05/09/2015,Scotland,13,Mathieu Bastareaud,1988-09-17,26.97
05/09/2015,Scotland,17,Vincent Debaty,1981-10-02,33.93
05/09/2015,Scotland,14,Yoann Huget,1987-06-02,28.26
05/09/2015,Scotland,1,Eddy Ben Arous,1990-08-25,25.03
05/09/2015,Scotland,22,Remi Tales,1984-05-02,31.34
05/09/2015,Scotland,16,Dimitri Szarzewski,1983-01-26,32.61
05/09/2015,Scotland,11,Noa Nakaitaci,1990-07-11,25.15
19/09/2015,Italy,9,Sebastien Tillous-Borde,1985-04-29,30.39
19/09/2015,Italy,20,Alexandre Flanquart,1989-10-09,25.94
19/09/2015,Italy,18,Nicolas Mas,1980-05-23,35.32
19/09/2015,Italy,15,Scott Spedding,1986-05-04,29.38
19/09/2015,Italy,12,Alexandre Dumoulin,1989-08-24,26.07
19/09/2015,Italy,16,Benjamin Kayser,1984-07-26,31.15
19/09/2015,Italy,6,Thierry Dusautoir,1981-11-18,33.84
19/09/2015,Italy,4,Pascal Pape,1980-10-05,34.95
19/09/2015,Italy,23,Gael Fickou,1994-03-26,21.48
19/09/2015,Italy,19,Bernard Le Roux,1989-06-04,26.29
19/09/2015,Italy,7,Damien Chouly,1985-11-27,29.81
19/09/2015,Italy,21,Morgan Parra,1988-11-15,26.84
19/09/2015,Italy,10,Frederic Michalak,1982-10-16,32.93
19/09/2015,Italy,2,Guilhem Guirado,1986-06-17,29.26
19/09/2015,Italy,3,Rabah Slimani,1989-10-18,25.92
19/09/2015,Italy,8,Louis Picamoles,1986-02-05,29.62
19/09/2015,Italy,5,Yoann Maestri,1988-01-14,27.68
19/09/2015,Italy,13,Mathieu Bastareaud,1988-09-17,27.0
19/09/2015,Italy,17,Vincent Debaty,1981-10-02,33.96
19/09/2015,Italy,14,Yoann Huget,1987-06-02,28.3
19/09/2015,Italy,1,Eddy Ben Arous,1990-08-25,25.07
19/09/2015,Italy,22,Remi Tales,1984-05-02,31.38
19/09/2015,Italy,11,Noa Nakaitaci,1990-07-11,25.19
23/09/2015,Romania,5,Alexandre Flanquart,1989-10-09,25.96
23/09/2015,Romania,18,Nicolas Mas,1980-05-23,35.34
23/09/2015,Romania,16,Benjamin Kayser,1984-07-26,31.16
23/09/2015,Romania,13,Gael Fickou,1994-03-26,21.5
23/09/2015,Romania,4,Bernard Le Roux,1989-06-04,26.3
23/09/2015,Romania,20,Damien Chouly,1985-11-27,29.82
23/09/2015,Romania,6,Yannick Nyanga,1983-12-19,31.76
23/09/2015,Romania,9,Morgan Parra,1988-11-15,26.85
23/09/2015,Romania,22,Frederic Michalak,1982-10-16,32.94
23/09/2015,Romania,12,Wesley Fofana,1988-01-20,27.67
23/09/2015,Romania,15,Brice Dulin,1990-04-13,25.45
23/09/2015,Romania,8,Louis Picamoles,1986-02-05,29.63
23/09/2015,Romania,19,Yoann Maestri,1988-01-14,27.69
