date,opposition,shirt,player,started,minutes
01/02/2019,Wales,14,Damian Penaud,y,63
01/02/2019,Wales,23,Geoffrey Doumayrou,n,13
01/02/2019,Wales,16,Julien Marchand,n,22
01/02/2019,Wales,4,Sebastien Vahaamahina,y,80
01/02/2019,Wales,13,Romain Ntamack,y,80
01/02/2019,Wales,22,Gael Fickou,n,17
01/02/2019,Wales,18,Demba Bamba,n,32
01/02/2019,Wales,21,Baptiste Serin,n,22
01/02/2019,Wales,9,Morgan Parra,y,58
01/02/2019,Wales,12,Wesley Fofana,y,67
01/02/2019,Wales,10,Camille Lopez,y,80
01/02/2019,Wales,2,Guilhem Guirado,y,58
01/02/2019,Wales,8,Louis Picamoles,y,71
01/02/2019,Wales,3,Uini Atonio,y,48
01/02/2019,Wales,11,Yoann Huget,y,80
01/02/2019,Wales,20,Gregory Alldritt,n,9
01/02/2019,Wales,7,Arthur Iturria,y,80
01/02/2019,Wales,6,Wenceslas Lauret,y,80
01/02/2019,Wales,19,Felix Lambey,n,22
01/02/2019,Wales,1,Jefferson Poirot,y,61
01/02/2019,Wales,17,Dany Priso,n,19
01/02/2019,Wales,5,Paul Willemse,y,58
01/02/2019,Wales,15,Maxime Medard,y,80
10/02/2019,England,14,Damian Penaud,y,70
10/02/2019,England,13,Geoffrey Doumayrou,y,80
10/02/2019,England,5,Sebastien Vahaamahina,y,57
10/02/2019,England,22,Romain Ntamack,n,33
10/02/2019,England,21,Antoine Dupont,n,33
10/02/2019,England,11,Gael Fickou,y,80
10/02/2019,England,3,Demba Bamba,y,57
10/02/2019,England,18,Dorian Aldegheri,n,23
10/02/2019,England,9,Morgan Parra,y,47
10/02/2019,England,10,Camille Lopez,y,57
10/02/2019,England,2,Guilhem Guirado,y,76
10/02/2019,England,8,Louis Picamoles,y,80
10/02/2019,England,12,Mathieu Bastareaud,y,80
10/02/2019,England,16,Pierre Bourgarit,n,4
10/02/2019,England,15,Yoann Huget,y,40
10/02/2019,England,20,Gregory Alldritt,n,10
10/02/2019,England,7,Arthur Iturria,y,80
10/02/2019,England,23,Thomas Ramos,n,40
10/02/2019,England,6,Yacouba Camara,y,80
10/02/2019,England,4,Felix Lambey,y,70
10/02/2019,England,1,Jefferson Poirot,y,75
10/02/2019,England,17,Dany Priso,n,5
10/02/2019,England,19,Paul Willemse,n,23
23/02/2019,Scotland,14,Damian Penaud,y,80
23/02/2019,Scotland,16,Camille Chat,n,10
23/02/2019,Scotland,17,Etienne Falgoux,n,10
23/02/2019,Scotland,4,Sebastien Vahaamahina,y,80
23/02/2019,Scotland,10,Romain Ntamack,y,76
23/02/2019,Scotland,9,Antoine Dupont,y,69
23/02/2019,Scotland,12,Gael Fickou,y,80
23/02/2019,Scotland,3,Demba Bamba,y,69
23/02/2019,Scotland,18,Dorian Aldegheri,n,11
23/02/2019,Scotland,21,Baptiste Serin,n,11
23/02/2019,Scotland,2,Guilhem Guirado,y,70
23/02/2019,Scotland,22,Anthony Belleau,n,4
23/02/2019,Scotland,8,Louis Picamoles,y,69
23/02/2019,Scotland,13,Mathieu Bastareaud,y,80
23/02/2019,Scotland,11,Yoann Huget,y,80
23/02/2019,Scotland,20,Gregory Alldritt,n,11
23/02/2019,Scotland,7,Arthur Iturria,y,80
23/02/2019,Scotland,15,Thomas Ramos,y,70
23/02/2019,Scotland,6,Wenceslas Lauret,y,80
23/02/2019,Scotland,5,Felix Lambey,y,68
23/02/2019,Scotland,1,Jefferson Poirot,y,70
23/02/2019,Scotland,19,Paul Willemse,n,12
23/02/2019,Scotland,23,Maxime Medard,n,10
10/03/2019,Ireland,14,Damian Penaud,y,80
10/03/2019,Ireland,16,Camille Chat,n,8
10/03/2019,Ireland,17,Etienne Falgoux,n,63
10/03/2019,Ireland,4,Sebastien Vahaamahina,y,80
10/03/2019,Ireland,10,Romain Ntamack,y,76
10/03/2019,Ireland,9,Antoine Dupont,y,72
10/03/2019,Ireland,12,Gael Fickou,y,80
10/03/2019,Ireland,3,Demba Bamba,y,55
10/03/2019,Ireland,18,Dorian Aldegheri,n,25
10/03/2019,Ireland,21,Baptiste Serin,n,8
10/03/2019,Ireland,2,Guilhem Guirado,y,72
10/03/2019,Ireland,22,Anthony Belleau,n,4
10/03/2019,Ireland,8,Louis Picamoles,y,80
10/03/2019,Ireland,13,Mathieu Bastareaud,y,80
10/03/2019,Ireland,11,Yoann Huget,y,80
10/03/2019,Ireland,20,Gregory Alldritt,n,69
10/03/2019,Ireland,7,Arthur Iturria,y,80
10/03/2019,Ireland,15,Thomas Ramos,y,63
10/03/2019,Ireland,6,Wenceslas Lauret,y,11
10/03/2019,Ireland,5,Felix Lambey,y,63
10/03/2019,Ireland,1,Jefferson Poirot,y,17
10/03/2019,Ireland,19,Paul Willemse,n,17
10/03/2019,Ireland,23,Maxime Medard,n,17
16/03/2019,Italy,14,Damian Penaud,y,80
16/03/2019,Italy,16,Camille Chat,n,62
16/03/2019,Italy,1,Etienne Falgoux,y,65
16/03/2019,Italy,12,Geoffrey Doumayrou,y,80
16/03/2019,Italy,10,Romain Ntamack,y,80
16/03/2019,Italy,9,Antoine Dupont,y,57
16/03/2019,Italy,3,Demba Bamba,y,80
16/03/2019,Italy,18,Dorian Aldegheri,n,5
16/03/2019,Italy,21,Baptiste Serin,n,23
16/03/2019,Italy,19,Paul Gabrillagues,n,20
16/03/2019,Italy,22,Camille Lopez,n,0
16/03/2019,Italy,2,Guilhem Guirado,y,18
16/03/2019,Italy,8,Louis Picamoles,y,80
16/03/2019,Italy,13,Mathieu Bastareaud,y,80
16/03/2019,Italy,11,Yoann Huget,y,68
16/03/2019,Italy,6,Gregory Alldritt,y,58
16/03/2019,Italy,20,Arthur Iturria,n,22
16/03/2019,Italy,23,Thomas Ramos,n,12
16/03/2019,Italy,7,Yacouba Camara,y,75
16/03/2019,Italy,4,Felix Lambey,y,80
16/03/2019,Italy,17,Dany Priso,n,15
16/03/2019,Italy,5,Paul Willemse,y,60
16/03/2019,Italy,15,Maxime Medard,y,80
17/08/2019,Scotland,14,Damian Penaud,y,65
17/08/2019,Scotland,16,Peato Mauvaka,n,24
17/08/2019,Scotland,2,Camille Chat,y,56
17/08/2019,Scotland,6,Francois Cros,y,80
17/08/2019,Scotland,5,Sebastien Vahaamahina,y,80
17/08/2019,Scotland,22,Romain Ntamack,n,13
17/08/2019,Scotland,9,Antoine Dupont,y,65
17/08/2019,Scotland,13,Gael Fickou,y,80
17/08/2019,Scotland,21,Baptiste Serin,n,15
17/08/2019,Scotland,4,Paul Gabrillagues,y,71
17/08/2019,Scotland,12,Wesley Fofana,y,67
17/08/2019,Scotland,10,Camille Lopez,y,80
17/08/2019,Scotland,3,Rabah Slimani,y,56
17/08/2019,Scotland,20,Louis Picamoles,n,22
17/08/2019,Scotland,18,Emerick Setiano,n,24
17/08/2019,Scotland,8,Gregory Alldritt,y,58
17/08/2019,Scotland,23,Thomas Ramos,n,15
17/08/2019,Scotland,11,Alivereti Raka,y,80
17/08/2019,Scotland,19,Felix Lambey,n,9
17/08/2019,Scotland,1,Jefferson Poirot,y,56
17/08/2019,Scotland,7,Charles Ollivon,y,80
17/08/2019,Scotland,17,Dany Priso,n,24
17/08/2019,Scotland,15,Maxime Medard,y,80
24/08/2019,Scotland,14,Damian Penaud,y,80
24/08/2019,Scotland,16,Camille Chat,n,29
24/08/2019,Scotland,5,Sebastien Vahaamahina,y,52
24/08/2019,Scotland,22,Romain Ntamack,n,42
24/08/2019,Scotland,9,Antoine Dupont,y,63
24/08/2019,Scotland,12,Gael Fickou,y,80
24/08/2019,Scotland,21,Baptiste Serin,n,17
24/08/2019,Scotland,10,Camille Lopez,y,38
24/08/2019,Scotland,2,Guilhem Guirado,y,51
24/08/2019,Scotland,3,Rabah Slimani,y,63
24/08/2019,Scotland,18,Emerick Setiano,n,17
24/08/2019,Scotland,8,Gregory Alldritt,y,75
24/08/2019,Scotland,6,Arthur Iturria,y,80
24/08/2019,Scotland,15,Thomas Ramos,y,65
24/08/2019,Scotland,17,Cyril Baille,n,29
24/08/2019,Scotland,11,Alivereti Raka,y,80
24/08/2019,Scotland,20,Yacouba Camara,n,5
24/08/2019,Scotland,4,Felix Lambey,y,80
24/08/2019,Scotland,13,Sofiane Guitoune,y,80
24/08/2019,Scotland,19,Romain Taofifenua,n,28
24/08/2019,Scotland,1,Jefferson Poirot,y,51
24/08/2019,Scotland,7,Charles Ollivon,y,80
24/08/2019,Scotland,23,Maxime Medard,n,15
30/08/2019,Italy,2,Camille Chat,y,52
30/08/2019,Italy,20,Francois Cros,n,18
30/08/2019,Italy,10,Romain Ntamack,y,80
30/08/2019,Italy,9,Antoine Dupont,y,57
30/08/2019,Italy,11,Gael Fickou,y,80
30/08/2019,Italy,21,Baptiste Serin,n,23
30/08/2019,Italy,12,Wesley Fofana,y,69
30/08/2019,Italy,16,Guilhem Guirado,n,28
30/08/2019,Italy,3,Rabah Slimani,y,52
30/08/2019,Italy,8,Louis Picamoles,y,80
30/08/2019,Italy,18,Emerick Setiano,n,28
30/08/2019,Italy,14,Yoann Huget,y,80
30/08/2019,Italy,4,Arthur Iturria,y,55
30/08/2019,Italy,23,Thomas Ramos,n,11
30/08/2019,Italy,17,Cyril Baille,n,28
30/08/2019,Italy,6,Wenceslas Lauret,y,62
30/08/2019,Italy,7,Yacouba Camara,y,80
30/08/2019,Italy,19,Felix Lambey,n,25
30/08/2019,Italy,13,Sofiane Guitoune,y,57
30/08/2019,Italy,5,Romain Taofifenua,y,80
30/08/2019,Italy,1,Jefferson Poirot,y,52
30/08/2019,Italy,22,Virimi Vakatawa,n,23
30/08/2019,Italy,15,Maxime Medard,y,80
21/09/2019,Argentina,14,Damian Penaud,y,80
21/09/2019,Argentina,16,Camille Chat,n,0
21/09/2019,Argentina,5,Sebastien Vahaamahina,y,80
21/09/2019,Argentina,10,Romain Ntamack,y,80
21/09/2019,Argentina,9,Antoine Dupont,y,80
21/09/2019,Argentina,12,Gael Fickou,y,80
21/09/2019,Argentina,19,Bernard Le Roux,n,0
21/09/2019,Argentina,18,Demba Bamba,n,0
21/09/2019,Argentina,22,Camille Lopez,n,0
