player,dob,caps,position_last_seen,shirt_last_seen,last_match_date,last_opposition
Aaron Grandidier Nkanang,2000-05-18,2,Wing,11,18/07/2026,Japan
Adrien Pelissie,1990-08-07,7,Replacement,16,23/06/2018,New Zealand
Alexandre Becognee,1996-09-03,1,Replacement,20,17/07/2021,Australia
Alexandre Dumoulin,1989-08-24,8,Centre,13,17/10/2015,New Zealand
Alexandre Fischer,1998-01-19,2,Flanker,6,19/07/2025,New Zealand
Alexandre Flanquart,1989-10-09,22,Lock,4,19/03/2016,England
Alexandre Lapandry,1989-04-13,13,Replacement,20,23/06/2018,New Zealand
Alexandre Menini,1983-08-05,6,Prop,1,07/02/2015,Scotland
Alexandre Roumat,1997-06-27,11,Number 8,8,18/07/2026,Japan
Alivereti Raka,1994-12-09,5,Wing,14,06/12/2020,England
Anthony Belleau,1996-04-08,12,Replacement,22,10/03/2019,Ireland
Anthony Bouthier,1992-06-19,8,Replacement,22,17/07/2021,Australia
Anthony Etrillard,1993-03-21,3,Replacement,16,17/07/2021,Australia
Anthony Jelonch,1996-07-28,39,Number 8,8,07/03/2026,Scotland
Antoine Burban,1987-07-22,4,Flanker,7,26/02/2016,Wales
Antoine Dupont,1996-11-15,64,Scrum Half,9,14/03/2026,England
Antoine Frisch,1996-06-01,2,Centre,12,13/07/2024,Argentina
Antoine Hastoy,1997-06-04,11,Replacement,22,04/07/2026,New Zealand
Arthur Iturria,1994-05-13,15,Flanker,6,02/10/2019,USA
Arthur Retiere,1997-08-01,1,Replacement,22,31/10/2020,Ireland
Arthur Vincent,1999-09-30,19,Centre,13,10/07/2024,Uruguay
Baptiste Couilloud,1997-07-22,18,Scrum Half,9,10/07/2024,Uruguay
Baptiste Erdocio,2000-03-13,3,Prop,1,08/11/2025,South Africa
Baptiste Jauneau,2003-11-17,5,Replacement,22,22/11/2025,Australia
Baptiste Pesenti-Compagnoni,1997-07-03,6,Lock,5,13/07/2024,Argentina
Baptiste Serin,1994-06-20,50,Replacement,22,14/03/2026,England
Barnabe Massa,2004-05-13,1,Replacement,16,04/07/2026,New Zealand
Bastien Chalureau,1992-02-13,7,Replacement,19,14/09/2023,Uruguay
Bastien Vergnes,1997-06-13,1,Replacement,21,12/07/2025,New Zealand
Benjamin Fall,1989-03-03,14,Full Back,15,24/11/2018,Fiji
Benjamin Kayser,1984-07-26,37,Replacement,16,11/10/2015,Ireland
Bernard Le Roux,1989-06-04,47,Lock,4,26/03/2021,Scotland
Boris Palu,1996-02-04,2,Replacement,20,09/02/2020,Italy
Brice Dulin,1990-04-13,37,Full Back,15,05/08/2023,Scotland
Cameron Woki,1998-11-07,32,Replacement,20,12/07/2025,New Zealand
Camille Chat,1995-12-18,33,Replacement,16,26/03/2021,Scotland
Camille Lopez,1989-04-03,28,Replacement,22,20/10/2019,Wales
Cedate Gomes Sa,1993-08-07,9,Prop,3,17/11/2018,Argentina
Charles Ollivon,1993-05-11,53,Number 8,8,14/03/2026,England
Christopher Tolofua,1993-12-31,7,Replacement,16,11/03/2017,Italy
Clement Maynadier,1988-10-11,8,Replacement,16,18/11/2017,South Africa
Cyril Baille,1993-09-15,57,Replacement,17,15/03/2025,Scotland
Cyril Cazeaux,1995-02-10,5,Lock,4,17/07/2021,Australia
Damian Penaud,1996-09-25,60,Wing,14,04/07/2026,New Zealand
Damien Chouly,1985-11-27,46,Replacement,20,18/03/2017,Wales
Daniel Kotze,1987-03-28,4,Replacement,18,25/11/2017,Japan
Dany Priso,1994-01-02,18,Replacement,17,20/11/2022,Japan
Demba Bamba,1998-03-17,34,Prop,3,11/07/2026,Australia
Dimitri Szarzewski,1983-01-26,83,Replacement,16,17/10/2015,New Zealand
Djibril Camara,1989-06-22,4,Replacement,23,25/02/2017,Ireland
Dorian Aldegheri,1993-08-04,28,Prop,3,14/03/2026,England
Dylan Cretin,1997-05-04,22,Flanker,7,19/08/2023,Fiji
Eddy Ben Arous,1990-08-25,20,Replacement,17,11/02/2018,Scotland
Emerick Setiano,1996-07-19,6,Replacement,18,20/10/2019,Wales
Emilien Gailleton,2003-07-13,13,Replacement,23,14/03/2026,England
Emmanuel Meafou,1998-07-12,18,Lock,5,18/07/2026,Japan
Enzo Forletta,1995-06-15,2,Prop,1,17/07/2021,Australia
Esteban Abadie,1997-12-01,2,Number 8,8,12/07/2025,New Zealand
Ethan Dumortier,2000-12-29,7,Wing,11,05/08/2023,Scotland
Etienne Falgoux,1993-01-19,3,Prop,1,16/03/2019,Italy
Fabien Brau-Boirie,2005-12-19,5,Centre,13,18/07/2026,Japan
Fabien Sanconnie,1995-02-21,4,Flanker,7,09/06/2018,New Zealand
Fabrice Metz,1991-01-23,1,Replacement,19,19/06/2016,Argentina
Felix Lambey,1994-03-15,10,Replacement,19,30/08/2019,Italy
Florent Vanverberghe,2000-07-22,1,Lock,5,10/07/2024,Uruguay
Florian Verhaeghe,1997-04-27,5,Lock,4,18/07/2026,Japan
Francois Cros,1994-03-25,44,Flanker,6,14/03/2026,England
Francois Trinh-Duc,1986-11-11,66,Fly Half,10,17/03/2018,Wales
Frederic Michalak,1982-10-16,78,Wing,14,19/06/2016,Argentina
Fulgence Ouedraogo,1986-07-21,39,Replacement,20,01/10/2015,Canada
Gabin Villiere,1995-12-13,20,Wing,11,19/07/2025,New Zealand
Gabriel Lacroix,1993-10-19,1,Wing,11,25/11/2017,Japan
Gael Drean,2000-10-22,1,Wing,14,22/02/2026,Italy
Gael Fickou,1994-03-26,98,Centre,12,22/11/2025,Australia
Gaetan Barlot,1997-04-13,12,Replacement,16,19/07/2025,New Zealand
Geoffrey Doumayrou,1989-09-16,13,Centre,12,16/03/2019,Italy
Geoffrey Palis,1991-07-08,2,Replacement,23,17/03/2018,Wales
Georges-Henri Colombe,1998-04-09,11,Replacement,18,22/02/2026,Italy
Giorgi Beria,1999-11-11,2,Prop,1,05/07/2025,New Zealand
Gregory Alldritt,1997-03-23,58,Number 8,8,22/11/2025,Australia
Guilhem Guirado,1986-06-17,74,Hooker,2,20/10/2019,Wales
Guillaume Cramont,2000-12-29,1,Replacement,16,08/11/2025,South Africa
Guillaume Ducat,1996-05-25,1,Replacement,19,06/12/2020,England
Hassane Kolingar,1998-03-06,3,Replacement,17,14/02/2021,Ireland
Henry Chavancy,1988-05-22,4,Centre,12,03/02/2018,Ireland
Hugo Auradou,2003-07-20,15,Replacement,19,18/07/2026,Japan
Hugo Bonneval,1990-11-19,11,Full Back,15,10/03/2018,England
Ibrahim Diallo,1998-01-23,4,Flanker,6,10/07/2024,Uruguay
Jacobus Van Tonder,1998-03-03,2,Flanker,7,12/07/2025,New Zealand
Janick Tarrit,1998-10-29,1,Replacement,16,10/07/2024,Uruguay
Jean Marc Doussain,1991-02-12,17,Replacement,22,17/06/2017,South Africa
Jean Pascal Barraque,1991-04-24,1,Centre,13,28/11/2020,Italy
Jean-Baptiste Gros,1999-05-29,45,Prop,1,14/03/2026,England
Jefferson Poirot,1992-11-01,39,Prop,1,18/07/2026,Japan
Jimi Maximin,1999-04-03,1,Replacement,19,15/11/2025,Fiji
Jocelino Suta,1982-11-18,6,Replacement,19,28/02/2015,Wales
Jonathan Danty,1992-10-07,29,Centre,12,25/02/2024,Italy
Jordan Joseph,2000-07-31,2,Number 8,8,13/07/2024,Argentina
Joris Jurand,1995-11-11,1,Wing,11,10/07/2024,Uruguay
Joris Segonds,2007-04-06,3,Fly Half,10,12/07/2025,New Zealand
Joshua Brennan,2001-11-28,3,Replacement,21,14/03/2026,England
Judicael Cancoriet,1996-04-25,5,Flanker,7,13/07/2024,Argentina
Jules Favre,1999-03-22,1,Wing,14,10/07/2024,Uruguay
Jules Plisson,1991-08-20,18,Replacement,22,23/06/2018,New Zealand
Julien Heriteau,1994-09-12,1,Replacement,23,17/07/2021,Australia
Julien Le Devedec,1986-06-04,11,Replacement,19,17/06/2017,South Africa
Julien Marchand,1995-05-10,53,Hooker,2,14/03/2026,England
Julien Rey,1986-09-01,2,Replacement,23,25/06/2016,Argentina
Kalvin Gourgues,2005-03-27,4,Replacement,23,18/07/2026,Japan
Kelian Galletier,1992-03-18,6,Replacement,20,24/11/2018,Fiji
Kevin Gourdon,1990-01-23,19,Number 8,8,23/06/2018,New Zealand
Killian Geraci,1999-03-25,5,Replacement,19,13/07/2021,Australia
Killian Tixeront,2002-01-22,7,Replacement,21,18/07/2026,Japan
Lenni Nouchi,2003-11-24,8,Flanker,6,18/07/2026,Japan
Leo Barre,2002-08-20,9,Full Back,15,19/07/2025,New Zealand
Leo Berdeu,1998-06-13,2,Replacement,23,13/07/2024,Argentina
Leon Darricarrere,2004-06-04,1,Centre,12,10/07/2024,Uruguay
Lester Etien,1995-06-21,2,Wing,11,13/07/2024,Argentina
Lionel Beauxis,1985-10-24,24,Replacement,22,17/03/2018,Wales
Loann Goujon,1989-04-23,17,Replacement,20,24/06/2017,South Africa
