date,year,coach,opposition,tournament,test,h / a,france irb,opp irb,irb difference,higher / lower,result,points scored ,points conceded,difference,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
02/02/2020,2020,fg,england,6n,yes,h,7,3,-4,,w,24,17,7,baille,marchand,haouas,le roux,willemse,cros,ollivon,alldritt,dupont,ntamack,rattez,fickou,vakatawa,thomas,bouthier,mauvaka,poirot,bamba,palu,woki,serin,jalibert,vincent
09/02/2020,2020,fg,italy,6n,yes,h,6,12,6,,w,35,22,13,baille,marchand,haouas,le roux,willemse,cros,ollivon,alldritt,dupont,ntamack,rattez,fickou,vincent,thomas,bouthier,mauvaka,poirot,bamba,"taofifenua, ro",palu,woki,serin,jalibert
22/02/2020,2020,fg,wales,6n,yes,a,6,5,-1,,w,27,23,4,baille,marchand,haouas,le roux,willemse,cros,ollivon,alldritt,dupont,ntamack,fickou,vincent,vakatawa,thomas,bouthier,chat,gros,bamba,"taofifenua, ro",cretin,serin,jalibert,ramos
08/03/2020,2020,fg,scotland,6n,yes,a,5,8,3,,l,17,28,-11,poirot,marchand,haouas,le roux,willemse,cros,ollivon,alldritt,dupont,ntamack,fickou,vincent,vakatawa,penaud,bouthier,mauvaka,gros,bamba,"taofifenua, ro",cretin,serin,jalibert,ramos
24/10/2020,2020,fg,wales,6n,yes,h,6,7,1,,w,38,21,17,baille,marchand,haouas,le roux,willemse,cros,ollivon,alldritt,dupont,ntamack,rattez,fickou,vakatawa,thomas,bouthier,chat,gros,bamba,"taofifenua, ro",cretin,serin,vincent,ramos
31/10/2020,2020,fg,ireland,6n,yes,h,5,4,-1,,w,35,27,8,baille,marchand,haouas,le roux,willemse,cros,ollivon,alldritt,dupont,ntamack,fickou,vincent,vakatawa,rattez,bouthier,chat,gros,bamba,"taofifenua, ro",cretin,serin,retiere,ramos
22/11/2020,2020,fg,scotland,,yes,a,4,7,3,,w,22,15,7,gros,chat,bamba,le roux,"taofifenua, ro",cretin,ollivon,alldritt,dupont,jalibert,rattez,fickou,vakatawa,thomas,ramos,marchand,baille,haouas,willemse,woki,couilloud,carbonel,vincent
28/11/2020,2020,fg,italy,,yes,h,4,14,10,,w,36,5,31,neti,mauvaka,aldegheri,geraci,pesent,woki,macalou,jelonch,serin,jalibert,villiere,danty,barraque,thomas,dulin,baubigny,kolingar,atonio,cazeaux,rebbadj,couilloud,carbonel,moefana
06/12/2020,2020,fg,england,,yes,a,4,2,-2,,l,19,22,-3,kolingar,bourgarit,aldegheri,geraci,pesent,woki,jelonch,"tolofua, s",couilloud,jalibert,villiere,danty,moefana,raka,dulin,mauvaka,neti,atonio,ducat,macalou,bezy,carbonel,barassi
06/02/2021,2021,fg,italy,6n,yes,a,4,14,10,,w,50,10,40,baille,marchand,haouas,le roux,willemse,cretin,ollivon,alldritt,dupont,jalibert,villiere,fickou,vincent,thomas,dulin,bourgarit,gros,aldegheri,"taofifenua, ro",jelonch,serin,carbonel,penaud
14/02/2021,2021,fg,ireland,6n,yes,a,4,5,1,,w,15,13,2,baille,marchand,haouas,le roux,willemse,jelonch,ollivon,alldritt,dupont,jalibert,villiere,fickou,vincent,penaud,dulin,bourgarit,kolingar,atonio,"taofifenua, ro",cretin,serin,bouthier,thomas
13/03/2021,2021,fg,england,6n,yes,a,3,4,1,,l,20,23,-3,baille,marchand,haouas,"taofifenua, ro",willemse,cretin,ollivon,alldritt,dupont,jalibert,penaud,fickou,vakatawa,thomas,dulin,chat,gros,aldegheri,cazeaux,woki,jelonch,serin,ntamack
20/03/2021,2021,fg,wales,6n,yes,h,4,5,1,,w,32,30,2,baille,marchand,haouas,"taofifenua, ro",willemse,cretin,ollivon,alldritt,dupont,jalibert,penaud,fickou,vakatawa,thomas,dulin,chat,gros,atonio,rebbadj,jelonch,serin,ntamack,vincent
