date,opposition,shirt,player,dob,age_on_matchday
07/02/2015,Italy,17,James Cronin,1990-11-23,24.21
07/02/2015,Italy,8,Jordi Murphy,1991-04-22,23.8
07/02/2015,Italy,15,Rob Kearney,1986-03-26,28.87
07/02/2015,Italy,23,Felix Jones,1987-08-05,27.51
07/02/2015,Italy,7,Tommy O'Donnell,1987-05-21,27.72
07/02/2015,Italy,10,Ian Keatley,1987-04-01,27.86
07/02/2015,Italy,4,Devin Toner,1986-06-29,28.61
07/02/2015,Italy,19,Iain Henderson,1992-02-21,22.96
07/02/2015,Italy,3,Mike Ross,1979-12-21,35.13
07/02/2015,Italy,16,Sean Cronin,1986-05-06,28.76
07/02/2015,Italy,14,Tommy Bowe,1984-02-22,30.96
07/02/2015,Italy,20,Robbie Diack,1985-11-12,29.24
07/02/2015,Italy,11,Simon Zebo,1990-03-16,24.9
07/02/2015,Italy,2,Rory Best,1982-08-15,32.48
07/02/2015,Italy,9,Conor Murray,1989-04-20,25.8
07/02/2015,Italy,1,Jack McGrath,1989-10-11,25.33
07/02/2015,Italy,21,Isaac Boss,1980-04-09,34.83
07/02/2015,Italy,22,Ian Madigan,1989-03-21,25.88
07/02/2015,Italy,5,Paul O'Connell,1979-10-20,35.3
07/02/2015,Italy,12,Robbie Henshaw,1993-06-12,21.66
07/02/2015,Italy,18,Martin Moore,1991-03-01,23.94
07/02/2015,Italy,13,Jared Payne,1985-10-13,29.32
07/02/2015,Italy,6,Peter O'Mahony,1989-09-17,25.39
14/02/2015,France,8,Jamie Heaslip,1983-12-15,31.17
14/02/2015,France,17,Cian Healy,1987-10-07,27.36
14/02/2015,France,20,Jordi Murphy,1991-04-22,23.82
14/02/2015,France,15,Rob Kearney,1986-03-26,28.89
14/02/2015,France,23,Felix Jones,1987-08-05,27.53
14/02/2015,France,4,Devin Toner,1986-06-29,28.63
14/02/2015,France,19,Iain Henderson,1992-02-21,22.98
14/02/2015,France,3,Mike Ross,1979-12-21,35.15
14/02/2015,France,16,Sean Cronin,1986-05-06,28.78
14/02/2015,France,14,Tommy Bowe,1984-02-22,30.98
14/02/2015,France,11,Simon Zebo,1990-03-16,24.92
14/02/2015,France,7,Sean O'Brien,1987-02-14,28.0
14/02/2015,France,2,Rory Best,1982-08-15,32.5
14/02/2015,France,9,Conor Murray,1989-04-20,25.82
14/02/2015,France,1,Jack McGrath,1989-10-11,25.34
14/02/2015,France,21,Isaac Boss,1980-04-09,34.85
14/02/2015,France,10,Johnny Sexton,1985-07-11,29.6
14/02/2015,France,22,Ian Madigan,1989-03-21,25.9
14/02/2015,France,5,Paul O'Connell,1979-10-20,35.32
14/02/2015,France,12,Robbie Henshaw,1993-06-12,21.68
14/02/2015,France,18,Martin Moore,1991-03-01,23.96
14/02/2015,France,13,Jared Payne,1985-10-13,29.34
14/02/2015,France,6,Peter O'Mahony,1989-09-17,25.41
01/03/2015,England,17,Cian Healy,1987-10-07,27.4
01/03/2015,England,8,Jordi Murphy,1991-04-22,23.86
01/03/2015,England,15,Rob Kearney,1986-03-26,28.93
01/03/2015,England,23,Felix Jones,1987-08-05,27.57
01/03/2015,England,20,Tommy O'Donnell,1987-05-21,27.78
01/03/2015,England,4,Devin Toner,1986-06-29,28.67
01/03/2015,England,19,Iain Henderson,1992-02-21,23.02
01/03/2015,England,3,Mike Ross,1979-12-21,35.19
01/03/2015,England,16,Sean Cronin,1986-05-06,28.82
