date,opposition,shirt,player,started,minutes
07/02/2015,Italy,17,James Cronin,n,12
07/02/2015,Italy,8,Jordi Murphy,y,80
07/02/2015,Italy,15,Rob Kearney,y,80
07/02/2015,Italy,23,Felix Jones,n,12
07/02/2015,Italy,7,Tommy O'Donnell,y,80
07/02/2015,Italy,10,Ian Keatley,y,66
07/02/2015,Italy,4,Devin Toner,y,80
07/02/2015,Italy,19,Iain Henderson,n,14
07/02/2015,Italy,3,Mike Ross,y,52
07/02/2015,Italy,16,Sean Cronin,n,33
07/02/2015,Italy,14,Tommy Bowe,y,80
07/02/2015,Italy,20,Robbie Diack,n,0
07/02/2015,Italy,11,Simon Zebo,y,80
07/02/2015,Italy,2,Rory Best,y,47
07/02/2015,Italy,9,Conor Murray,y,69
07/02/2015,Italy,1,Jack McGrath,y,68
07/02/2015,Italy,21,Isaac Boss,n,11
07/02/2015,Italy,22,Ian Madigan,n,14
07/02/2015,Italy,5,Paul O'Connell,y,80
07/02/2015,Italy,12,Robbie Henshaw,y,80
07/02/2015,Italy,18,Martin Moore,n,28
07/02/2015,Italy,13,Jared Payne,y,68
07/02/2015,Italy,6,Peter O'Mahony,y,66
14/02/2015,France,8,Jamie Heaslip,y,60
14/02/2015,France,17,Cian Healy,n,17
14/02/2015,France,20,Jordi Murphy,n,20
14/02/2015,France,15,Rob Kearney,y,80
14/02/2015,France,23,Felix Jones,n,0
14/02/2015,France,4,Devin Toner,y,75
14/02/2015,France,19,Iain Henderson,n,5
14/02/2015,France,3,Mike Ross,y,63
14/02/2015,France,16,Sean Cronin,n,14
14/02/2015,France,14,Tommy Bowe,y,80
14/02/2015,France,11,Simon Zebo,y,80
14/02/2015,France,7,Sean O'Brien,y,74
14/02/2015,France,2,Rory Best,y,72
14/02/2015,France,9,Conor Murray,y,80
14/02/2015,France,1,Jack McGrath,y,63
14/02/2015,France,21,Isaac Boss,n,0
14/02/2015,France,10,Johnny Sexton,y,70
14/02/2015,France,22,Ian Madigan,n,10
14/02/2015,France,5,Paul O'Connell,y,80
14/02/2015,France,12,Robbie Henshaw,y,80
14/02/2015,France,18,Martin Moore,n,17
14/02/2015,France,13,Jared Payne,y,80
14/02/2015,France,6,Peter O'Mahony,y,80
01/03/2015,England,17,Cian Healy,n,20
01/03/2015,England,8,Jordi Murphy,y,80
01/03/2015,England,15,Rob Kearney,y,80
01/03/2015,England,23,Felix Jones,n,9
01/03/2015,England,20,Tommy O'Donnell,n,55
01/03/2015,England,4,Devin Toner,y,66
01/03/2015,England,19,Iain Henderson,n,14
01/03/2015,England,3,Mike Ross,y,58
01/03/2015,England,16,Sean Cronin,n,6
01/03/2015,England,14,Tommy Bowe,y,80
01/03/2015,England,11,Simon Zebo,y,80
01/03/2015,England,7,Sean O'Brien,y,25
01/03/2015,England,2,Rory Best,y,74
01/03/2015,England,9,Conor Murray,y,80
01/03/2015,England,1,Jack McGrath,y,60
01/03/2015,England,10,Johnny Sexton,y,54
01/03/2015,England,22,Ian Madigan,n,26
01/03/2015,England,21,Eoin Reddan,n,0
01/03/2015,England,5,Paul O'Connell,y,80
01/03/2015,England,12,Robbie Henshaw,y,80
01/03/2015,England,18,Martin Moore,n,22
01/03/2015,England,13,Jared Payne,y,71
01/03/2015,England,6,Peter O'Mahony,y,80
14/03/2015,Wales,8,Jamie Heaslip,y,72
14/03/2015,Wales,17,Cian Healy,n,23
14/03/2015,Wales,20,Jordi Murphy,n,8
14/03/2015,Wales,15,Rob Kearney,y,80
14/03/2015,Wales,23,Felix Jones,n,0
14/03/2015,Wales,4,Devin Toner,y,63
14/03/2015,Wales,19,Iain Henderson,n,17
14/03/2015,Wales,3,Mike Ross,y,63
14/03/2015,Wales,16,Sean Cronin,n,17
14/03/2015,Wales,14,Tommy Bowe,y,80
14/03/2015,Wales,11,Simon Zebo,y,80
14/03/2015,Wales,7,Sean O'Brien,y,80
14/03/2015,Wales,2,Rory Best,y,63
14/03/2015,Wales,9,Conor Murray,y,63
14/03/2015,Wales,1,Jack McGrath,y,57
14/03/2015,Wales,10,Johnny Sexton,y,75
14/03/2015,Wales,22,Ian Madigan,n,5
14/03/2015,Wales,21,Eoin Reddan,n,17
14/03/2015,Wales,5,Paul O'Connell,y,80
14/03/2015,Wales,12,Robbie Henshaw,y,80
14/03/2015,Wales,18,Martin Moore,n,17
14/03/2015,Wales,13,Jared Payne,y,80
14/03/2015,Wales,6,Peter O'Mahony,y,80
21/03/2015,Scotland,8,Jamie Heaslip,y,80
21/03/2015,Scotland,1,Cian Healy,y,53
21/03/2015,Scotland,20,Jordi Murphy,n,7
21/03/2015,Scotland,15,Rob Kearney,y,80
21/03/2015,Scotland,23,Felix Jones,n,0
21/03/2015,Scotland,4,Devin Toner,y,62
21/03/2015,Scotland,19,Iain Henderson,n,18
21/03/2015,Scotland,3,Mike Ross,y,46
21/03/2015,Scotland,16,Sean Cronin,n,18
21/03/2015,Scotland,14,Tommy Bowe,y,80
21/03/2015,Scotland,7,Sean O'Brien,y,73
21/03/2015,Scotland,2,Rory Best,y,62
21/03/2015,Scotland,9,Conor Murray,y,80
21/03/2015,Scotland,11,Luke Fitzgerald,y,80
21/03/2015,Scotland,17,Jack McGrath,n,27
21/03/2015,Scotland,10,Johnny Sexton,y,71
21/03/2015,Scotland,22,Ian Madigan,n,9
21/03/2015,Scotland,21,Eoin Reddan,n,0
21/03/2015,Scotland,5,Paul O'Connell,y,80
21/03/2015,Scotland,12,Robbie Henshaw,y,80
21/03/2015,Scotland,18,Martin Moore,n,34
21/03/2015,Scotland,13,Jared Payne,y,80
21/03/2015,Scotland,6,Peter O'Mahony,y,80
08/08/2015,Wales,8,Jamie Heaslip,y,55
08/08/2015,Wales,5,Donnacha Ryan,y,50
08/08/2015,Wales,17,Dave Kilcoyne,n,27
08/08/2015,Wales,6,Jordi Murphy,y,80
08/08/2015,Wales,10,Paddy Jackson,y,80
08/08/2015,Wales,15,Felix Jones,y,80
08/08/2015,Wales,21,Kieran Marmion,n,12
08/08/2015,Wales,11,Fergus McFadden,y,80
08/08/2015,Wales,7,Tommy O'Donnell,y,80
08/08/2015,Wales,13,Keith Earls,y,68
08/08/2015,Wales,4,Iain Henderson,y,80
08/08/2015,Wales,3,Mike Ross,y,58
08/08/2015,Wales,23,Simon Zebo,n,45
08/08/2015,Wales,14,Andrew Trimble,y,35
08/08/2015,Wales,16,Rory Best,n,25
08/08/2015,Wales,1,Jack McGrath,y,53
08/08/2015,Wales,18,Michael Bent,n,22
08/08/2015,Wales,22,Ian Madigan,n,12
08/08/2015,Wales,12,Darren Cave,y,80
08/08/2015,Wales,9,Eoin Reddan,y,68
08/08/2015,Wales,20,Chris Henry,n,25
08/08/2015,Wales,2,Richardt Strauss,y,55
08/08/2015,Wales,19,Dan Tuohy,n,30
15/08/2015,Scotland,18,Nathan White,n,28
15/08/2015,Scotland,12,Gordon D'Arcy,y,80
15/08/2015,Scotland,6,Jack Conan,y,65
15/08/2015,Scotland,1,Dave Kilcoyne,y,60
15/08/2015,Scotland,20,Jordi Murphy,n,15
15/08/2015,Scotland,23,Dave Kearney,n,20
15/08/2015,Scotland,22,Paddy Jackson,n,2
15/08/2015,Scotland,4,Devin Toner,y,80
15/08/2015,Scotland,3,Mike Ross,y,52
15/08/2015,Scotland,2,Sean Cronin,y,60
15/08/2015,Scotland,14,Tommy Bowe,y,60
15/08/2015,Scotland,15,Simon Zebo,y,78
15/08/2015,Scotland,8,Sean O'Brien,y,80
15/08/2015,Scotland,11,Luke Fitzgerald,y,80
15/08/2015,Scotland,9,Isaac Boss,y,67
15/08/2015,Scotland,17,Michael Bent,n,20
15/08/2015,Scotland,10,Ian Madigan,y,80
15/08/2015,Scotland,21,Eoin Reddan,n,13
15/08/2015,Scotland,19,Paul O'Connell,n,24
15/08/2015,Scotland,7,Chris Henry,y,80
15/08/2015,Scotland,13,Jared Payne,y,80
15/08/2015,Scotland,16,Richardt Strauss,n,20
15/08/2015,Scotland,5,Dan Tuohy,y,56
29/08/2015,Wales,3,Nathan White,y,57
29/08/2015,Wales,8,Jamie Heaslip,y,80
29/08/2015,Wales,18,Tadhg Furlong,n,23
29/08/2015,Wales,19,Donnacha Ryan,n,12
29/08/2015,Wales,17,Dave Kilcoyne,n,19
29/08/2015,Wales,7,Jordi Murphy,y,80
29/08/2015,Wales,14,Dave Kearney,y,80
29/08/2015,Wales,22,Paddy Jackson,n,16
29/08/2015,Wales,15,Rob Kearney,y,80
29/08/2015,Wales,23,Felix Jones,n,16
29/08/2015,Wales,11,Keith Earls,y,64
29/08/2015,Wales,4,Iain Henderson,y,80
29/08/2015,Wales,16,Sean Cronin,n,29
29/08/2015,Wales,20,Sean O'Brien,n,29
29/08/2015,Wales,9,Conor Murray,y,64
29/08/2015,Wales,13,Luke Fitzgerald,y,68
29/08/2015,Wales,1,Jack McGrath,y,61
29/08/2015,Wales,10,Johnny Sexton,y,64
29/08/2015,Wales,21,Eoin Reddan,n,16
29/08/2015,Wales,5,Paul O'Connell,y,80
29/08/2015,Wales,12,Robbie Henshaw,y,80
29/08/2015,Wales,2,Richardt Strauss,y,51
29/08/2015,Wales,6,Peter O'Mahony,y,51
05/09/2015,England,18,Nathan White,n,21
05/09/2015,England,8,Jamie Heaslip,y,80
05/09/2015,England,17,Tadhg Furlong,n,11
05/09/2015,England,19,Donnacha Ryan,n,15
05/09/2015,England,11,Dave Kearney,y,74
05/09/2015,England,4,Devin Toner,y,80
05/09/2015,England,3,Mike Ross,y,65
05/09/2015,England,14,Tommy Bowe,y,80
05/09/2015,England,15,Simon Zebo,y,69
05/09/2015,England,7,Sean O'Brien,y,61
05/09/2015,England,2,Rory Best,y,61
05/09/2015,England,9,Conor Murray,y,16
05/09/2015,England,1,Jack McGrath,y,74
05/09/2015,England,10,Johnny Sexton,y,65
05/09/2015,England,22,Ian Madigan,n,21
05/09/2015,England,23,Darren Cave,n,21
05/09/2015,England,21,Eoin Reddan,n,64
05/09/2015,England,5,Paul O'Connell,y,65
05/09/2015,England,12,Robbie Henshaw,y,59
05/09/2015,England,20,Chris Henry,n,19
05/09/2015,England,13,Jared Payne,y,80
05/09/2015,England,16,Richardt Strauss,n,19
05/09/2015,England,6,Peter O'Mahony,y,80
19/09/2015,Canada,18,Nathan White,n,20
19/09/2015,Canada,8,Jamie Heaslip,y,80
19/09/2015,Canada,19,Donnacha Ryan,n,7
19/09/2015,Canada,17,Cian Healy,n,20
19/09/2015,Canada,14,Dave Kearney,y,80
19/09/2015,Canada,15,Rob Kearney,y,80
19/09/2015,Canada,11,Keith Earls,y,80
19/09/2015,Canada,4,Iain Henderson,y,80
19/09/2015,Canada,3,Mike Ross,y,60
19/09/2015,Canada,16,Sean Cronin,n,20
19/09/2015,Canada,23,Simon Zebo,n,7
19/09/2015,Canada,7,Sean O'Brien,y,63
19/09/2015,Canada,2,Rory Best,y,60
19/09/2015,Canada,9,Conor Murray,y,65
19/09/2015,Canada,12,Luke Fitzgerald,y,73
19/09/2015,Canada,1,Jack McGrath,y,60
19/09/2015,Canada,10,Johnny Sexton,y,55
19/09/2015,Canada,22,Ian Madigan,n,25
19/09/2015,Canada,21,Eoin Reddan,n,15
19/09/2015,Canada,5,Paul O'Connell,y,73
19/09/2015,Canada,20,Chris Henry,n,17
19/09/2015,Canada,13,Jared Payne,y,80
19/09/2015,Canada,6,Peter O'Mahony,y,80
27/09/2015,Romania,3,Nathan White,y,63
27/09/2015,Romania,8,Jamie Heaslip,y,59
27/09/2015,Romania,18,Tadhg Furlong,n,17
27/09/2015,Romania,4,Donnacha Ryan,y,63
27/09/2015,Romania,1,Cian Healy,y,54
27/09/2015,Romania,6,Jordi Murphy,y,80
27/09/2015,Romania,22,Paddy Jackson,n,22
27/09/2015,Romania,23,Rob Kearney,n,13
27/09/2015,Romania,11,Keith Earls,y,57
27/09/2015,Romania,5,Devin Toner,y,80
27/09/2015,Romania,16,Sean Cronin,n,20
