date,opposition,shirt,player,started,minutes
04/07/2026,Australia,1,Tom O'Toole,y,72
04/07/2026,Australia,2,Dan Sheehan,y,60
04/07/2026,Australia,3,Tadhg Furlong,y,51
04/07/2026,Australia,4,Joe McCarthy,y,80
04/07/2026,Australia,5,James Ryan,y,80
04/07/2026,Australia,6,Cian Prendergast,y,51
04/07/2026,Australia,7,Josh van der Flier,y,51
04/07/2026,Australia,8,Jack Conan,y,80
04/07/2026,Australia,9,Jamison Gibson-Park,y,80
04/07/2026,Australia,10,Sam Prendergast,y,80
04/07/2026,Australia,11,Jamie Osborne,y,59
04/07/2026,Australia,12,Stuart McCloskey,y,80
04/07/2026,Australia,13,Garry Ringrose,y,59
04/07/2026,Australia,14,Jimmy O'Brien,y,80
04/07/2026,Australia,15,Hugo Keenan,y,80
04/07/2026,Australia,16,Ronan Kelleher,n,20
04/07/2026,Australia,17,Jeremy Loughman,n,8
04/07/2026,Australia,18,Tom Clarkson,n,29
04/07/2026,Australia,19,Tadhg Beirne,n,29
04/07/2026,Australia,20,Nick Timoney,n,29
04/07/2026,Australia,21,Craig Casey,n,0
04/07/2026,Australia,22,Ciaran Frawley,n,21
04/07/2026,Australia,23,Bundee Aki,n,21
11/07/2026,Japan,1,Tom O'Toole,y,55
11/07/2026,Japan,2,Ronan Kelleher,y,59
11/07/2026,Japan,3,Tom Clarkson,y,48
11/07/2026,Japan,4,Tadhg Beirne,y,80
11/07/2026,Japan,5,James Ryan,y,80
11/07/2026,Japan,6,Jack Conan,y,61
11/07/2026,Japan,7,Nick Timoney,y,80
11/07/2026,Japan,8,Sean Jansen,y,61
11/07/2026,Japan,9,Craig Casey,y,71
11/07/2026,Japan,10,Ciaran Frawley,y,80
11/07/2026,Japan,11,Jacob Stockdale,y,59
11/07/2026,Japan,12,Stuart McCloskey,y,48
11/07/2026,Japan,13,Robbie Henshaw,y,80
11/07/2026,Japan,14,Jimmy O'Brien,y,80
11/07/2026,Japan,15,Jamie Osborne,y,80
11/07/2026,Japan,16,Tom Stewart,n,21
11/07/2026,Japan,17,Billy Bohan,n,25
11/07/2026,Japan,18,Sam Illo,n,32
11/07/2026,Japan,19,Cormac Izuchukwu,n,19
11/07/2026,Japan,20,Bryn Ward,n,19
11/07/2026,Japan,21,Nathan Doak,n,9
11/07/2026,Japan,22,Harry Byrne,n,21
11/07/2026,Japan,23,Bundee Aki,n,32
18/07/2026,New Zealand,1,Tom O'Toole,y,67
18/07/2026,New Zealand,2,Dan Sheehan,y,67
18/07/2026,New Zealand,3,Tadhg Furlong,y,59
18/07/2026,New Zealand,4,Joe McCarthy,y,80
18/07/2026,New Zealand,5,James Ryan,y,57
18/07/2026,New Zealand,6,Tadhg Beirne,y,80
18/07/2026,New Zealand,7,Josh van der Flier,y,57
18/07/2026,New Zealand,8,Jack Conan,y,80
18/07/2026,New Zealand,9,Jamison Gibson-Park,y,75
18/07/2026,New Zealand,10,Sam Prendergast,y,80
18/07/2026,New Zealand,11,Jimmy O'Brien,y,49
18/07/2026,New Zealand,12,Stuart McCloskey,y,64
18/07/2026,New Zealand,13,Garry Ringrose,y,80
18/07/2026,New Zealand,14,Robert Baloucoune,y,80
18/07/2026,New Zealand,15,Hugo Keenan,y,80
18/07/2026,New Zealand,16,Ronan Kelleher,n,13
18/07/2026,New Zealand,17,Jeremy Loughman,n,13
18/07/2026,New Zealand,18,Tom Clarkson,n,21
18/07/2026,New Zealand,19,Nick Timoney,n,23
18/07/2026,New Zealand,20,Sean Jansen,n,23
18/07/2026,New Zealand,21,Craig Casey,n,5
18/07/2026,New Zealand,22,Ciaran Frawley,n,29
18/07/2026,New Zealand,23,Bundee Aki,n,18
