player,dob,caps,position_last_seen,shirt_last_seen,last_match_date,last_opposition
Adam Byrne,1994-04-10,1,Wing,14,25/11/2017,Argentina
Alex Kendellen,2001-03-01,1,Flanker,7,12/07/2025,Portugal
Andrew Conway,1991-07-11,30,Wing,14,12/03/2022,England
Andrew Porter,1996-01-16,81,Prop,1,22/11/2025,South Africa
Andrew Trimble,1984-10-20,70,Replacement,23,25/02/2017,France
Ben Murphy,2001-04-23,2,Replacement,21,12/07/2025,Portugal
Billy Bohan,2005-11-22,1,Replacement,17,11/07/2026,Japan
Billy Burns,1994-06-13,7,Replacement,22,03/07/2021,Japan
Billy Holland,1985-08-03,1,Lock,5,12/11/2016,Canada
Bryn Ward,2004-07-17,1,Replacement,20,11/07/2026,Japan
Bundee Aki,1990-04-07,76,Replacement,23,18/07/2026,New Zealand
CJ Stander,1990-04-05,52,Flanker,6,20/03/2021,England
Caelan Doris,1998-04-02,60,Number 8,8,14/03/2026,Scotland
Calvin Nash,1997-08-08,12,Replacement,23,12/07/2025,Portugal
Caolin Blade,1994-04-29,4,Replacement,21,08/11/2025,Japan
Chris Farrell,1993-03-16,15,Centre,13,03/07/2021,Japan
Chris Henry,1984-10-17,24,Flanker,7,18/10/2015,Argentina
Cian Healy,1987-10-07,136,Replacement,17,08/03/2025,France
Cian Prendergast,2000-02-23,9,Flanker,6,04/07/2026,Australia
Ciaran Frawley,1997-12-04,15,Replacement,22,18/07/2026,New Zealand
Conor Murray,1989-04-20,133,Replacement,21,15/03/2025,Italy
Cormac Izuchukwu,2000-01-28,5,Replacement,19,11/07/2026,Japan
Craig Casey,1999-04-19,30,Replacement,21,18/07/2026,New Zealand
Craig Gilroy,1991-03-11,10,Replacement,23,11/02/2017,Italy
Dan Leavy,1994-05-23,11,Replacement,20,10/11/2018,Argentina
Dan Sheehan,1998-09-17,43,Hooker,2,18/07/2026,New Zealand
Dan Tuohy,1985-06-18,11,Lock,5,15/08/2015,Scotland
Darragh Murray,2001-07-04,3,Replacement,19,14/03/2026,Scotland
Darren Cave,1987-04-05,11,Centre,12,27/09/2015,Romania
Darren Sweetnam,1993-05-05,3,Wing,11,24/11/2018,USA
Dave Heffernan,1991-01-31,7,Replacement,16,02/07/2022,New Zealand
Dave Kearney,1989-06-19,19,Replacement,23,31/08/2019,Wales
Dave Kilcoyne,1988-12-14,56,Replacement,17,14/10/2023,New Zealand
Devin Toner,1986-06-29,70,Lock,4,23/02/2020,England
Donnacha Ryan,1983-12-11,47,Lock,4,18/03/2017,England
Ed Byrne,1993-09-09,6,Replacement,17,12/07/2022,Maori All Blacks
Edwin Edogbo,2002-12-21,1,Replacement,19,14/02/2026,Italy
Eoin Reddan,1980-11-20,71,Replacement,21,25/06/2016,South Africa
Eric O'Sullivan,1995-11-30,1,Replacement,17,05/12/2020,Scotland
Felix Jones,1987-08-05,13,Replacement,23,29/08/2015,Wales
Fergus McFadden,1986-06-17,34,Replacement,23,24/02/2018,Wales
Fineen Wycherley,1997-12-11,1,Replacement,19,10/07/2021,USA
Finlay Bealham,1991-10-09,57,Replacement,18,14/03/2026,Scotland
Garry Ringrose,1995-01-26,75,Centre,13,18/07/2026,New Zealand
Gavin Coombes,1997-12-11,3,Number 8,8,05/07/2025,Georgia
Gordon D'Arcy,1980-02-10,83,Centre,12,15/08/2015,Scotland
