date,year,coach,opposition,tournament,test,h / a,ireland irb,opp irb,irb difference,higher / lower,result,points scored ,points conceded,difference,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
,2013,js,samoa,,,h,,,,,w,,,,mcgrath,best,ross,mccarthy,toner,o'mahony,henry,heaslip,murray,jackson,mcfadden,d'arcy,o'driscoll,bowe,kearney,,,,,,,,
,2013,js,australia,,,h,,,,,l,,,,healy,best,ross,toner,o'connell,o'mahony,o'brien,heaslip,reddan,sexton,mcfadden,marshall,o'driscoll,bowe,kearney,,,,,,,,
,2013,js,nz,,,h,,,,,l,,,,healy,best,ross,toner,o'connell,o'mahony,o'brien,heaslip,murray,sexton,"kearney, d",d'arcy,o'driscoll,bowe,kearney,,,,,,,,
,2014,js,scotland,,,h,,,,,w,,,,healy,best,ross,toner,tuohy,o'mahony,henry,heaslip,murray,sexton,"kearney, d",marshall,o'driscoll,trimble,kearney,,,,,,,,
,2014,js,wales,,,h,,,,,w,,,,healy,best,ross,toner,o'connell,o'mahony,henry,heaslip,murray,sexton,"kearney, d",d'arcy,o'driscoll,trimble,kearney,,,,,,,,
,2014,js,england,,,a,,,,,l,,,,healy,best,ross,toner,o'connell,o'mahony,henry,heaslip,murray,sexton,"kearney, d",d'arcy,o'driscoll,trimble,kearney,,,,,,,,
,2014,js,italy,,,h,,,,,w,,,,healy,best,ross,toner,o'connell,henderson,henry,heaslip,murray,sexton,"kearney, d",d'arcy,o'driscoll,trimble,kearney,,,,,,,,
,2014,js,france,,,a,,,,,l,,,,healy,best,ross,toner,o'connell,o'mahony,henry,heaslip,murray,sexton,"kearney, d",d'arcy,o'driscoll,trimble,kearney,,,,,,,,
,2014,js,argentina,,,a,,,,,w,,,,mcgrath,best,ross,henderson,o'connell,diack,henry,"murphy, j",murray,sexton,zebo,marshall,cave,trimble,"jones, f",,,,,,,,
,2014,js,argentina,,,a,,,,,w,,,,kilcoyne,best,ross,toner,o'connell,ruddock,henry,heaslip,reddan,sexton,zebo,cave,mcfadden,trimble,kearney,,,,,,,,
,2014,js,sa,,,h,,,,,w,,,,mcgrath,cronin,ross,toner,o'connell,o'mahony,ruddock,heaslip,murray,sexton,zebo,henshaw,payne,bowe,kearney,,,,,,,,
,2014,js,georgia,,,h,,,,,w,,,,kilcoyne,strauss,ross,foley,mccarthy,"ryan, d",o'donnell,diack,reddan,madigan,zebo,d'arcy,cave,gilroy,"jones, f",,,,,,,,
,2014,js,australia,,,h,,,,,w,,,,mcgrath,best,ross,toner,o'connell,o'mahony,ruddock,heaslip,murray,sexton,zebo,d'arcy,henshaw,bowe,kearney,,,,,,,,
,2015,js,italy,,,a,,,,,w,,,,mcgrath,best,ross,toner,o'connell,o'mahony,o'donnell,"murphy, j",murray,keatley,zebo,henshaw,payne,bowe,kearney,,,,,,,,
,2015,js,france,,,h,,,,,w,,,,mcgrath,best,ross,toner,o'connell,o'mahony,o'brien,heaslip,murray,sexton,zebo,henshaw,payne,bowe,kearney,,,,,,,,
,2015,js,england,,,h,,,,,w,,,,mcgrath,best,ross,toner,o'connell,o'mahony,o'brien,"murphy, j",murray,sexton,zebo,henshaw,payne,bowe,kearney,,,,,,,,
,2015,js,wales,,,a,,,,,l,,,,mcgrath,best,ross,toner,o'connell,o'mahony,o'brien,heaslip,murray,sexton,zebo,henshaw,payne,bowe,kearney,,,,,,,,
,2015,js,scotland,,,a,,,,,w,,,,healy,best,ross,toner,o'connell,o'mahony,o'brien,heaslip,murray,sexton,fitzgerald,henshaw,payne,bowe,kearney,,,,,,,,
,2015,js,wales,,,a,,,,,w,,,,mcgrath,strauss,ross,henderson,"ryan, d","murphy, j",o'donnell,heaslip,reddan,jackson,mcfadden,cave,earls,trimble,"jones, f",,,,,,,,
,2015,js,scotland,,,h,,,,,w,,,,kilcoyne,cronin,ross,toner,tuohy,conan,henry,o'brien,boss,madigan,fitzgerald,d'arcy,payne,bowe,zebo,,,,,,,,
,2015,js,wales,,,h,,,,,l,,,,mcgrath,strauss,white,henderson,o'connell,o'mahony,"murphy, j",heaslip,murray,sexton,earls,henshaw,fitzgerald,"kearney, d",kearney,,,,,,,,
,2015,js,england,,,a,,,,,l,,,,mcgrath,best,ross,toner,o'connell,o'mahony,o'brien,heaslip,murray,sexton,"kearney, d",henshaw,payne,bowe,zebo,,,,,,,,
,2015,js,canada,,,wc,,,,,w,,,,mcgrath,best,ross,henderson,o'connell,o'mahony,o'brien,heaslip,murray,sexton,earls,fitzgerald,payne,"kearney, d",kearney,,,,,,,,
