date,opposition,shirt,player,dob,age_on_matchday
07/02/2015,Ireland,4,George Biagi,1985-10-04,29.34
07/02/2015,Ireland,2,Leonardo Ghiraldini,1984-12-26,30.12
07/02/2015,Ireland,1,Matias Aguero,1981-02-13,33.98
07/02/2015,Ireland,17,Alberto De Marchi,1986-03-13,28.91
07/02/2015,Ireland,3,Martin Castrogiovanni,1981-10-21,33.3
07/02/2015,Ireland,16,Andrea Manici,1990-04-28,24.78
07/02/2015,Ireland,22,Tommaso Allan,1993-04-26,21.79
07/02/2015,Ireland,14,Leonardo Sarto,1992-01-15,23.06
07/02/2015,Ireland,5,Josh Furno,1989-10-21,25.3
07/02/2015,Ireland,23,Giovanbattista Venditti,1990-03-27,24.87
07/02/2015,Ireland,15,Andrea Masi,1981-03-30,33.86
07/02/2015,Ireland,10,Kelly Haimona,1986-07-30,28.53
07/02/2015,Ireland,7,Francesco Minto,1987-05-20,27.72
07/02/2015,Ireland,20,Marco Barbini,1990-10-16,24.31
07/02/2015,Ireland,18,Dario Chistolini,1988-09-14,26.4
07/02/2015,Ireland,6,Alessandro Zanni,1984-01-31,31.02
07/02/2015,Ireland,21,Guglielmo Palazzani,1991-04-11,23.83
07/02/2015,Ireland,12,Luca Morisi,1991-02-22,23.96
07/02/2015,Ireland,8,Sergio Parisse,1983-09-12,31.41
07/02/2015,Ireland,9,Edoardo Gori,1990-03-05,24.93
07/02/2015,Ireland,13,Michele Campagnaro,1993-03-13,21.91
07/02/2015,Ireland,19,Marco Fuser,1991-03-09,23.92
07/02/2015,Ireland,11,Luke McLean,1987-06-29,27.61
14/02/2015,England,23,Giulio Bisegni,1992-04-04,22.86
14/02/2015,England,20,Samuela Vunisa,1988-08-19,26.49
14/02/2015,England,4,George Biagi,1985-10-04,29.36
14/02/2015,England,2,Leonardo Ghiraldini,1984-12-26,30.14
14/02/2015,England,17,Matias Aguero,1981-02-13,34.0
14/02/2015,England,1,Alberto De Marchi,1986-03-13,28.93
14/02/2015,England,3,Martin Castrogiovanni,1981-10-21,33.32
14/02/2015,England,5,Marco Bortolami,1980-06-12,34.68
14/02/2015,England,16,Andrea Manici,1990-04-28,24.8
14/02/2015,England,22,Tommaso Allan,1993-04-26,21.8
14/02/2015,England,14,Leonardo Sarto,1992-01-15,23.08
14/02/2015,England,19,Josh Furno,1989-10-21,25.32
14/02/2015,England,11,Giovanbattista Venditti,1990-03-27,24.89
14/02/2015,England,12,Andrea Masi,1981-03-30,33.88
14/02/2015,England,10,Kelly Haimona,1986-07-30,28.55
14/02/2015,England,6,Francesco Minto,1987-05-20,27.74
14/02/2015,England,18,Dario Chistolini,1988-09-14,26.42
14/02/2015,England,7,Mauro Bergamasco,1979-05-01,35.79
14/02/2015,England,21,Guglielmo Palazzani,1991-04-11,23.85
14/02/2015,England,13,Luca Morisi,1991-02-22,23.98
14/02/2015,England,8,Sergio Parisse,1983-09-12,31.43
14/02/2015,England,9,Edoardo Gori,1990-03-05,24.95
14/02/2015,England,15,Luke McLean,1987-06-29,27.63
28/02/2015,Scotland,23,Giulio Bisegni,1992-04-04,22.9
28/02/2015,Scotland,20,Samuela Vunisa,1988-08-19,26.53
28/02/2015,Scotland,4,George Biagi,1985-10-04,29.4
28/02/2015,Scotland,2,Leonardo Ghiraldini,1984-12-26,30.17
28/02/2015,Scotland,18,Lorenzo Cittadini,1982-12-17,32.2
28/02/2015,Scotland,7,Simone Favaro,1988-11-07,26.31
28/02/2015,Scotland,1,Matias Aguero,1981-02-13,34.04
28/02/2015,Scotland,17,Alberto De Marchi,1986-03-13,28.96
28/02/2015,Scotland,14,Michele Visentin,1991-12-13,23.21
28/02/2015,Scotland,16,Andrea Manici,1990-04-28,24.84
28/02/2015,Scotland,22,Tommaso Allan,1993-04-26,21.84
28/02/2015,Scotland,5,Josh Furno,1989-10-21,25.36
28/02/2015,Scotland,11,Giovanbattista Venditti,1990-03-27,24.93
28/02/2015,Scotland,10,Kelly Haimona,1986-07-30,28.58
28/02/2015,Scotland,12,Enrico Bacchin,1992-11-28,22.25
28/02/2015,Scotland,6,Francesco Minto,1987-05-20,27.78
28/02/2015,Scotland,3,Dario Chistolini,1988-09-14,26.46
28/02/2015,Scotland,21,Guglielmo Palazzani,1991-04-11,23.89
28/02/2015,Scotland,13,Luca Morisi,1991-02-22,24.02
28/02/2015,Scotland,8,Sergio Parisse,1983-09-12,31.46
28/02/2015,Scotland,9,Edoardo Gori,1990-03-05,24.99
28/02/2015,Scotland,19,Marco Fuser,1991-03-09,23.98
28/02/2015,Scotland,15,Luke McLean,1987-06-29,27.67
15/03/2015,France,7,Samuela Vunisa,1988-08-19,26.57
15/03/2015,France,4,George Biagi,1985-10-04,29.44
15/03/2015,France,2,Leonardo Ghiraldini,1984-12-26,30.22
15/03/2015,France,18,Lorenzo Cittadini,1982-12-17,32.24
15/03/2015,France,1,Matias Aguero,1981-02-13,34.08
15/03/2015,France,17,Alberto De Marchi,1986-03-13,29.01
15/03/2015,France,19,Quintin Geldenhuys,1981-06-19,33.74
15/03/2015,France,16,Andrea Manici,1990-04-28,24.88
15/03/2015,France,10,Tommaso Allan,1993-04-26,21.88
15/03/2015,France,14,Leonardo Sarto,1992-01-15,23.16
15/03/2015,France,5,Josh Furno,1989-10-21,25.4
15/03/2015,France,11,Giovanbattista Venditti,1990-03-27,24.97
15/03/2015,France,12,Andrea Masi,1981-03-30,33.96
15/03/2015,France,23,Enrico Bacchin,1992-11-28,22.29
15/03/2015,France,6,Francesco Minto,1987-05-20,27.82
15/03/2015,France,20,Marco Barbini,1990-10-16,24.41
15/03/2015,France,3,Dario Chistolini,1988-09-14,26.5
15/03/2015,France,21,Guglielmo Palazzani,1991-04-11,23.93
15/03/2015,France,13,Luca Morisi,1991-02-22,24.06
15/03/2015,France,8,Sergio Parisse,1983-09-12,31.51
15/03/2015,France,9,Edoardo Gori,1990-03-05,25.03
15/03/2015,France,22,Luciano Orquera,1981-10-12,33.42
15/03/2015,France,15,Luke McLean,1987-06-29,27.71
21/03/2015,Wales,8,Samuela Vunisa,1988-08-19,26.59
21/03/2015,Wales,4,George Biagi,1985-10-04,29.46
21/03/2015,Wales,2,Leonardo Ghiraldini,1984-12-26,30.23
21/03/2015,Wales,20,Robert Barbieri,1984-06-05,30.79
21/03/2015,Wales,17,Alberto De Marchi,1986-03-13,29.02
21/03/2015,Wales,19,Quintin Geldenhuys,1981-06-19,33.75
21/03/2015,Wales,3,Martin Castrogiovanni,1981-10-21,33.41
21/03/2015,Wales,16,Andrea Manici,1990-04-28,24.9
21/03/2015,Wales,14,Leonardo Sarto,1992-01-15,23.18
