date,opposition,shirt,player,started,minutes
07/02/2015,Ireland,4,George Biagi,y,75
07/02/2015,Ireland,2,Leonardo Ghiraldini,y,75
07/02/2015,Ireland,1,Matias Aguero,y,53
07/02/2015,Ireland,17,Alberto De Marchi,n,27
07/02/2015,Ireland,3,Martin Castrogiovanni,y,69
07/02/2015,Ireland,16,Andrea Manici,n,11
07/02/2015,Ireland,22,Tommaso Allan,n,17
07/02/2015,Ireland,14,Leonardo Sarto,y,80
07/02/2015,Ireland,5,Josh Furno,y,80
07/02/2015,Ireland,23,Giovanbattista Venditti,n,3
07/02/2015,Ireland,15,Andrea Masi,y,77
07/02/2015,Ireland,10,Kelly Haimona,y,80
07/02/2015,Ireland,7,Francesco Minto,y,74
07/02/2015,Ireland,20,Marco Barbini,n,26
07/02/2015,Ireland,18,Dario Chistolini,n,11
07/02/2015,Ireland,6,Alessandro Zanni,y,47
07/02/2015,Ireland,21,Guglielmo Palazzani,n,0
07/02/2015,Ireland,12,Luca Morisi,y,80
07/02/2015,Ireland,8,Sergio Parisse,y,80
07/02/2015,Ireland,9,Edoardo Gori,y,80
07/02/2015,Ireland,13,Michele Campagnaro,y,63
07/02/2015,Ireland,19,Marco Fuser,n,12
07/02/2015,Ireland,11,Luke McLean,y,80
14/02/2015,England,23,Giulio Bisegni,n,2
14/02/2015,England,20,Samuela Vunisa,n,30
14/02/2015,England,4,George Biagi,y,80
14/02/2015,England,2,Leonardo Ghiraldini,y,59
14/02/2015,England,17,Matias Aguero,n,21
14/02/2015,England,1,Alberto De Marchi,y,59
14/02/2015,England,3,Martin Castrogiovanni,y,59
14/02/2015,England,5,Marco Bortolami,y,46
14/02/2015,England,16,Andrea Manici,n,21
14/02/2015,England,22,Tommaso Allan,n,10
14/02/2015,England,14,Leonardo Sarto,y,78
14/02/2015,England,19,Josh Furno,n,34
14/02/2015,England,11,Giovanbattista Venditti,y,80
14/02/2015,England,12,Andrea Masi,y,80
14/02/2015,England,10,Kelly Haimona,y,70
14/02/2015,England,6,Francesco Minto,y,71
14/02/2015,England,18,Dario Chistolini,n,21
14/02/2015,England,7,Mauro Bergamasco,y,59
14/02/2015,England,21,Guglielmo Palazzani,n,10
14/02/2015,England,13,Luca Morisi,y,80
14/02/2015,England,8,Sergio Parisse,y,80
14/02/2015,England,9,Edoardo Gori,y,70
14/02/2015,England,15,Luke McLean,y,80
28/02/2015,Scotland,23,Giulio Bisegni,n,10
28/02/2015,Scotland,20,Samuela Vunisa,n,18
28/02/2015,Scotland,4,George Biagi,y,67
28/02/2015,Scotland,2,Leonardo Ghiraldini,y,67
28/02/2015,Scotland,18,Lorenzo Cittadini,n,23
28/02/2015,Scotland,7,Simone Favaro,y,62
28/02/2015,Scotland,1,Matias Aguero,y,57
28/02/2015,Scotland,17,Alberto De Marchi,n,23
28/02/2015,Scotland,14,Michele Visentin,y,80
28/02/2015,Scotland,16,Andrea Manici,n,13
28/02/2015,Scotland,22,Tommaso Allan,n,36
28/02/2015,Scotland,5,Josh Furno,y,80
28/02/2015,Scotland,11,Giovanbattista Venditti,y,70
28/02/2015,Scotland,10,Kelly Haimona,y,44
28/02/2015,Scotland,12,Enrico Bacchin,y,80
28/02/2015,Scotland,6,Francesco Minto,y,80
28/02/2015,Scotland,3,Dario Chistolini,y,57
28/02/2015,Scotland,21,Guglielmo Palazzani,n,0
28/02/2015,Scotland,13,Luca Morisi,y,80
28/02/2015,Scotland,8,Sergio Parisse,y,80
28/02/2015,Scotland,9,Edoardo Gori,y,80
28/02/2015,Scotland,19,Marco Fuser,n,13
28/02/2015,Scotland,15,Luke McLean,y,80
15/03/2015,France,7,Samuela Vunisa,y,80
15/03/2015,France,4,George Biagi,y,51
15/03/2015,France,2,Leonardo Ghiraldini,y,59
15/03/2015,France,18,Lorenzo Cittadini,n,29
15/03/2015,France,1,Matias Aguero,y,34
15/03/2015,France,17,Alberto De Marchi,n,46
15/03/2015,France,19,Quintin Geldenhuys,n,29
15/03/2015,France,16,Andrea Manici,n,21
15/03/2015,France,10,Tommaso Allan,y,14
15/03/2015,France,14,Leonardo Sarto,y,80
15/03/2015,France,5,Josh Furno,y,80
15/03/2015,France,11,Giovanbattista Venditti,y,80
15/03/2015,France,12,Andrea Masi,y,80
15/03/2015,France,23,Enrico Bacchin,n,42
15/03/2015,France,6,Francesco Minto,y,80
15/03/2015,France,20,Marco Barbini,n,5
15/03/2015,France,3,Dario Chistolini,y,51
15/03/2015,France,21,Guglielmo Palazzani,n,7
15/03/2015,France,13,Luca Morisi,y,38
15/03/2015,France,8,Sergio Parisse,y,75
15/03/2015,France,9,Edoardo Gori,y,73
15/03/2015,France,22,Luciano Orquera,n,66
15/03/2015,France,15,Luke McLean,y,80
21/03/2015,Wales,8,Samuela Vunisa,y,70
21/03/2015,Wales,4,George Biagi,y,51
21/03/2015,Wales,2,Leonardo Ghiraldini,y,51
21/03/2015,Wales,20,Robert Barbieri,n,10
21/03/2015,Wales,17,Alberto De Marchi,n,29
21/03/2015,Wales,19,Quintin Geldenhuys,n,29
21/03/2015,Wales,3,Martin Castrogiovanni,y,51
21/03/2015,Wales,16,Andrea Manici,n,29
21/03/2015,Wales,14,Leonardo Sarto,y,80
21/03/2015,Wales,5,Josh Furno,y,80
21/03/2015,Wales,11,Giovanbattista Venditti,y,80
21/03/2015,Wales,12,Andrea Masi,y,80
21/03/2015,Wales,10,Kelly Haimona,y,5
21/03/2015,Wales,23,Enrico Bacchin,n,6
21/03/2015,Wales,6,Francesco Minto,y,80
21/03/2015,Wales,18,Dario Chistolini,n,29
21/03/2015,Wales,7,Mauro Bergamasco,y,80
21/03/2015,Wales,21,Guglielmo Palazzani,n,6
21/03/2015,Wales,13,Luca Morisi,y,74
21/03/2015,Wales,9,Edoardo Gori,y,74
21/03/2015,Wales,1,Michele Rizzo,y,51
21/03/2015,Wales,22,Luciano Orquera,n,75
21/03/2015,Wales,15,Luke McLean,y,80
22/08/2015,Scotland,12,Gonzalo Garcia,y,76
22/08/2015,Scotland,8,Samuela Vunisa,y,80
22/08/2015,Scotland,16,Leonardo Ghiraldini,n,30
22/08/2015,Scotland,3,Lorenzo Cittadini,y,50
22/08/2015,Scotland,1,Matias Aguero,y,50
22/08/2015,Scotland,2,Davide Giazzon,y,50
22/08/2015,Scotland,4,Quintin Geldenhuys,y,80
22/08/2015,Scotland,18,Martin Castrogiovanni,n,30
22/08/2015,Scotland,19,Marco Bortolami,n,28
22/08/2015,Scotland,22,Carlo Canna,n,4
22/08/2015,Scotland,10,Tommaso Allan,y,80
22/08/2015,Scotland,14,Leonardo Sarto,y,67
22/08/2015,Scotland,11,Giovanbattista Venditti,y,80
22/08/2015,Scotland,15,Andrea Masi,y,80
22/08/2015,Scotland,7,Francesco Minto,y,80
22/08/2015,Scotland,5,Valerio Bernabò,y,52
22/08/2015,Scotland,20,Mauro Bergamasco,n,19
22/08/2015,Scotland,6,Alessandro Zanni,y,61
22/08/2015,Scotland,9,Guglielmo Palazzani,y,76
22/08/2015,Scotland,13,Tommaso Benvenuti,y,80
22/08/2015,Scotland,17,Michele Rizzo,n,30
22/08/2015,Scotland,23,Luke McLean,n,13
22/08/2015,Scotland,21,Marcello Violi,n,4
29/08/2015,Scotland,14,Angelo Esposito,y,52
29/08/2015,Scotland,8,Samuela Vunisa,y,76
29/08/2015,Scotland,2,Leonardo Ghiraldini,y,65
29/08/2015,Scotland,1,Matias Aguero,y,34
29/08/2015,Scotland,19,Quintin Geldenhuys,n,24
29/08/2015,Scotland,3,Martin Castrogiovanni,y,60
29/08/2015,Scotland,22,Carlo Canna,n,7
29/08/2015,Scotland,16,Andrea Manici,n,15
29/08/2015,Scotland,10,Tommaso Allan,y,73
29/08/2015,Scotland,11,Leonardo Sarto,y,80
29/08/2015,Scotland,5,Josh Furno,y,80
29/08/2015,Scotland,23,Andrea Masi,n,28
29/08/2015,Scotland,7,Francesco Minto,y,65
29/08/2015,Scotland,18,Dario Chistolini,n,24
29/08/2015,Scotland,20,Mauro Bergamasco,n,15
29/08/2015,Scotland,6,Alessandro Zanni,y,80
