player,dob,caps,position_last_seen,shirt_last_seen,last_match_date,last_opposition
Alessandro Fusco,1999-10-28,27,Replacement,21,18/07/2026,Australia
Alessandro Garbisi,2002-04-11,25,Scrum Half,9,18/07/2026,Australia
Alessandro Izekor,2000-03-05,8,Flanker,6,22/11/2025,Chile
Alessandro Ortombina,2002-10-05,2,Replacement,20,18/07/2026,Australia
Alessandro Zanni,1984-01-31,119,Lock,4,22/02/2020,Scotland
Andrea Lovotti,1989-07-28,47,Replacement,17,20/03/2021,Scotland
Andrea Zambonin,2000-09-03,21,Replacement,19,18/07/2026,Australia
Ange Capuozzo,1999-04-30,32,Full Back,15,22/02/2026,France
Angelo Esposito,1993-06-14,21,Wing,14,10/08/2019,Ireland
Braam Steyn,1992-05-02,50,Replacement,21,19/03/2022,Wales
Callum Braley,1994-03-20,15,Scrum Half,9,19/03/2022,Wales
Carlo Canna,1992-08-25,53,Replacement,22,20/11/2021,Uruguay
Cherif Traore,1994-04-10,16,Replacement,17,01/07/2022,Romania
Cristian Stoian,1999-12-19,2,Replacement,19,05/12/2020,Wales
Daniele Rimplelli,1997-06-23,1,Prop,1,06/02/2021,France
Danilo Fischetti,1998-01-26,66,Replacement,17,18/07/2026,Australia
David Odiase,2003-01-19,6,Replacement,20,14/03/2026,Wales
David Sisi,1993-02-05,29,Replacement,19,06/10/2023,France
Dean Budd,1986-07-31,29,Replacement,20,22/02/2020,Scotland
Dino Lamb,1998-04-18,12,Lock,4,15/03/2025,Ireland
Edoardo Gori,1990-03-05,69,Replacement,21,09/02/2019,Wales
Edoardo Iachizzi,1998-05-26,8,Lock,4,12/07/2024,Tonga
Edoardo Padovani,1993-05-15,44,Wing,14,11/03/2023,Wales
Edoardo Todaro,2006-09-24,1,Replacement,23,22/11/2025,Chile
Enoch Opoku Gyamfi,2006-03-03,1,Replacement,19,22/11/2025,Chile
Enrico Lucchin,1995-04-04,1,Replacement,22,05/11/2022,Samoa
Federico Mori,2000-10-13,17,Replacement,23,09/03/2024,Scotland
Federico Ruzza,1994-08-04,74,Lock,5,18/07/2026,Australia
Federico Zani,1989-04-09,25,Replacement,17,06/10/2023,France
Filippo Alongi,2000-04-27,2,Replacement,18,29/07/2023,Scotland
Giacomo Da Re,1999-03-29,7,Replacement,22,18/07/2026,Australia
Giacomo Nicotera,1996-07-15,41,Hooker,2,14/03/2026,Wales
Gianmarco Lucchesi,2000-09-10,36,Hooker,2,18/07/2026,Australia
Giosue Zilocchi,1997-01-15,27,Replacement,18,14/03/2026,Wales
