date,year,coach,opposition,tournament,test,h / a,italy irb,opp irb,irb difference,higher / lower,result,points scored ,points conceded,difference,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
07/02/2015,2015,cos,ireland,6n,yes,h,14,3,-11,,l,3,26,-23,aguero,ghiraldini,castrogiovanni,biagi,furno,zanni,minto,parisse,gori,haimona,mclean,morisi,campagnaro,"sarto, l",masi,manici,de marchi,chistolini,fuser,barbini,palazzani,allan,venditti
14/02/2015,2015,cos,england,6n,yes,a,14,3,-11,,l,17,47,-30,de marchi,ghiraldini,castrogiovanni,biagi,bortolami,minto,bergamasco,parisse,gori,haimona,venditti,masi,morisi,"sarto, l",mclean,manici,aguero,chistolini,furno,vunisa,palazzani,allan,bisegni
28/02/2015,2015,cos,scotland,6n,yes,a,14,9,-5,,w,22,19,3,aguero,ghiraldini,chistolini,biagi,furno,minto,favaro,parisse,gori,haimona,venditti,bacchin,morisi,visentin,mclean,manici,de marchi,cittadini,fuser,vunisa,palazzani,allan,bisegni
15/03/2015,2015,cos,france,6n,yes,h,14,7,-7,,l,0,29,-29,aguero,ghiraldini,chistolini,biagi,furno,minto,vunisa,parisse,gori,allan,venditti,masi,morisi,"sarto, l",mclean,manici,de marchi,cittadini,geldenhuys,barbini,palazzani,orquera,bacchin
21/03/2015,2015,cos,wales,6n,yes,h,14,5,-9,,l,20,61,-41,rizzo,ghiraldini,castrogiovanni,biagi,furno,minto,bergamasco,vunisa,gori,haimona,venditti,masi,morisi,"sarto, l",mclean,manici,de marchi,chistolini,geldenhuys,barbieri,palazzani,orquera,bacchin
22/08/2015,2015,cos,scotland,tour,yes,h,14,12,-2,,l,12,16,-4,aguero,giazzon,cittadini,geldenhuys,bernabo,zanni,minto,vunisa,palazzani,allan,venditti,garcia,benvenuti,"sarto, l",masi,ghiraldini,rizzo,castrogiovanni,bortolami,bergamasco,violi,canna,mclean
29/08/2015,2015,cos,scotland,tour,yes,a,15,10,-5,,l,7,48,-41,aguero,ghiraldini,castrogiovanni,fuser,furno,zanni,minto,vunisa,palazzani,allan,"sarto, l",morisi,campagnaro,esposito,mclean,manici,rizzo,chistolini,geldenhuys,bergamasco,violi,canna,masi
05/09/2015,2015,cos,wales,friendly,yes,a,15,5,-10,,l,19,23,-4,rizzo,ghiraldini,castrogiovanni,geldenhuys,furno,zanni,minto,parisse,gori,allan,venditti,garcia,morisi,"sarto, l",masi,manici,aguero,cittadini,bernabo,vunisa,palazzani,canna,mclean
19/09/2015,2015,cos,france,wc,yes,n,14,7,-7,,l,10,32,-22,aguero,ghiraldini,castrogiovanni,geldenhuys,furno,zanni,minto,vunisa,gori,allan,venditti,masi,campagnaro,"sarto, l",mclean,manici,rizzo,cittadini,bernabo,favaro,palazzani,canna,bacchin
26/09/2015,2015,cos,canada,wc,yes,n,15,18,3,,w,23,18,5,rizzo,ghiraldini,cittadini,geldenhuys,furno,zanni,minto,vunisa,gori,allan,venditti,garcia,benvenuti,"sarto, l",mclean,giazzon,aguero,castrogiovanni,fuser,bergamasco,palazzani,canna,campagnaro
04/10/2015,2015,cos,ireland,wc,yes,n,14,4,-10,,l,9,16,-7,aguero,manici,cittadini,geldenhuys,furno,minto,favaro,parisse,gori,allan,venditti,garcia,campagnaro,"sarto, l",mclean,giazzon,rizzo,chistolini,zanni,bergamasco,palazzani,canna,benvenuti
11/10/2015,2015,cos,romania,wc,yes,n,13,17,4,,w,32,22,10,aguero,manici,cittadini,geldenhuys,furno,minto,favaro,zanni,gori,allan,venditti,benvenuti,campagnaro,"sarto, l",mclean,giazzon,de marchi,chistolini,bernabo,vunisa,palazzani,canna,bacchin
06/02/2016,2016,cos,france,6n,yes,a,12,7,-5,,l,21,23,-2,lovotti,gega,cittadini,biagi,fuser,minto,zanni,parisse,gori,canna,bellini,garcia,campagnaro,"sarto, l",odiete,giazzon,zanusso,castrogiovanni,bernabo,van schalkwyk,palazzani,haimona,mclean
14/02/2016,2016,cos,england,6n,yes,h,12,7,-5,,l,9,40,-31,lovotti,gega,cittadini,biagi,fuser,minto,zanni,parisse,gori,canna,bellini,garcia,campagnaro,"sarto, l",mclean,giazzon,zanusso,castrogiovanni,bernabo,steyn,palazzani,padovani,pratichetti
27/02/2016,2016,cos,scotland,6n,yes,h,12,11,-1,,l,20,36,-16,lovotti,ghiraldini,cittadini,fuser,furno,minto,zanni,parisse,gori,haimona,bellini,garcia,campagnaro,"sarto, l",odiete,giazzon,zanusso,castrogiovanni,bernabo,van schalkwyk,palazzani,padovani,pratichetti
12/03/2016,2016,cos,ireland,6n,yes,a,14,8,-6,,l,15,58,-43,lovotti,giazzon,chistolini,biagi,fuser,minto,zanni,parisse,palazzani,padovani,bellini,garcia,campagnaro,"sarto, l",odiete,fabiani,zanusso,ceccarelli,geldenhuys,steyn,lucchese,haimona,mclean
19/03/2016,2016,cos,wales,6n,yes,a,14,4,-10,,l,14,67,-53,lovotti,giazzon,castrogiovanni,geldenhuys,bernabo,minto,zanni,parisse,palazzani,allan,bellini,garcia,pratichetti,"sarto, l",odiete,fabiani,zanusso,chistolini,"sarto, j",steyn,lucchese,haimona,mclean
11/06/2016,2016,cos,argentina,tour,yes,a,14,5,-9,,l,24,30,-6,lovotti,gega,cittadini,geldenhuys,fuser,steyn,favaro,van schalkwyk,gori,canna,odiete,castello,campagnaro,"sarto, l",mclean,fabiani,panico,ceccarelli,bernabo,barbieri,palazzani,allan,venditti
18/06/2016,2016,cos,usa,tour,yes,a,14,17,3,,w,24,20,4,lovotti,gega,cittadini,geldenhuys,fuser,mbanda,favaro,van schalkwyk,gori,canna,odiete,castello,campagnaro,"sarto, l",mclean,fabiani,panico,ceccarelli,bernabo,negri,palazzani,allan,venditti
26/06/2016,2016,cos,canada,tour,yes,a,13,17,4,,w,20,18,2,lovotti,gega,cittadini,geldenhuys,fuser,mbanda,favaro,van schalkwyk,gori,allan,venditti,boni,campagnaro,esposito,odiete,d'apice,panico,ceccarelli,negri,"sarto, l",palazzani,canna,bisegni
12/11/2016,2016,cos,nz,eoyt,yes,h,13,1,-12,,l,10,68,-58,lovotti,ghiraldini,cittadini,fuser,van schalkwyk,mbanda,favaro,parisse,bronzini,canna,esposito,mclean,benvenuti,bisegni,padovani,gega,panico,ceccarelli,biagi,minto,gori,allan,boni
19/11/2016,2016,cos,sa,eoyt,yes,h,13,4,-9,,w,20,18,2,panico,gega,cittadini,fuser,van schalkwyk,minto,favaro,parisse,bronzini,canna,venditti,mclean,benvenuti,bisegni,padovani,d'apice,quaglio,ferrari,biagi,steyn,gori,allan,boni
26/11/2016,2016,cos,tonga,eoyt,yes,h,13,15,2,,l,17,19,-2,panico,gega,cittadini,geldenhuys,fuser,minto,favaro,van schalkwyk,bronzini,canna,venditti,mclean,benvenuti,bisegni,padovani,d'apice,quaglio,ferrari,biagi,steyn,gori,allan,campagnaro
05/02/2017,2017,cos,wales,6n,yes,h,13,5,-8,,l,7,33,-26,lovotti,gega,cittadini,fuser,biagi,steyn,mbanda,parisse,gori,canna,venditti,mclean,benvenuti,bisegni,padovani,ghiraldini,panico,ceccarelli,furno,minto,bronzini,allan,campagnaro
11/02/2017,2017,cos,ireland,6n,yes,h,13,4,-9,,l,10,63,-53,lovotti,ghiraldini,cittadini,fuser,van schalkwyk,mbanda,favaro,parisse,gori,canna,venditti,mclean,benvenuti,esposito,padovani,gega,panico,chistolini,biagi,steyn,bronzini,allan,campagnaro
26/02/2017,2017,cos,england,6n,yes,a,14,2,-12,,l,15,36,-21,lovotti,gega,cittadini,fuser,van schalkwyk,steyn,favaro,parisse,gori,allan,venditti,mclean,campagnaro,bisegni,padovani,d'apice,rizzo,ceccarelli,biagi,mbanda,bronzini,canna,benvenuti
11/03/2017,2017,cos,france,6n,yes,h,14,8,-6,,l,18,40,-22,lovotti,ghiraldini,cittadini,fuser,van schalkwyk,steyn,favaro,parisse,gori,canna,venditti,mclean,campagnaro,esposito,padovani,d'apice,panico,chistolini,biagi,mbanda,bronzini,benvenuti,sperandio
18/03/2017,2017,cos,scotland,6n,yes,a,15,5,-10,,l,0,29,-29,lovotti,gega,cittadini,fuser,biagi,steyn,mbanda,parisse,gori,canna,venditti,mclean,benvenuti,esposito,padovani,ghiraldini,panico,chistolini,van schalkwyk,ruzza,minto,violi,sperandio
10/06/2017,2017,cos,scotland,tour,yes,a,15,5,-10,,l,13,34,-21,lovotti,bigi,ferrari,fuser,budd,minto,mbanda,barbieri,gori,allan,"sarto, l",boni,campagnaro,esposito,padovani,gega,zani,ceccarelli,van schalkwyk,steyn,violi,canna,benvenuti
17/06/2017,2017,cos,fiji,tour,yes,a,15,10,-5,,l,19,22,-3,lovotti,bigi,ferrari,fuser,budd,minto,mbanda,steyn,violi,allan,"sarto, l",boni,campagnaro,esposito,padovani,gega,zani,pasquali,van schalkwyk,ruzza,tebaldi,canna,benvenuti
24/06/2017,2017,cos,australia,tour,yes,a,15,4,-11,,l,27,40,-13,lovotti,bigi,ferrari,fuser,budd,minto,mbanda,van schalkwyk,tebaldi,allan,venditti,boni,campagnaro,esposito,padovani,gega,zani,ceccarelli,lazzaroni,steyn,gori,canna,benvenuti
11/11/2017,2017,cos,fiji,eoyt,yes,h,14,9,-5,,w,19,10,9,lovotti,bigi,ferrari,fuser,budd,minto,steyn,parisse,violi,canna,bellini,castello,boni,"sarto, l",hayward,ghiraldini,zani,chistolini,lazzaroni,licata,gori,mckinley,minozzi
18/11/2017,2017,cos,argentina,eoyt,yes,h,13,10,-3,,l,15,31,-16,lovotti,bigi,ferrari,fuser,budd,minto,steyn,parisse,violi,canna,bellini,castello,boni,"sarto, l",hayward,ghiraldini,zani,chistolini,ruzza,licata,tebaldi,mckinley,minozzi
25/11/2017,2017,cos,sa,eoyt,yes,h,13,5,-8,,l,6,35,-29,lovotti,bigi,ferrari,fuser,budd,licata,steyn,parisse,violi,canna,bellini,castello,boni,esposito,hayward,ghiraldini,zani,pasquali,minto,giammarioli,gori,mckinley,minozzi
04/02/2018,2018,cos,england,6n,yes,h,14,2,-12,,l,15,46,-31,lovotti,ghiraldini,ferrari,zanni,budd,negri,giammarioli,parisse,violi,allan,bellini,castello,boni,benvenuti,minozzi,bigi,quaglio,pasquali,biagi,mbanda,gori,canna,hayward
10/02/2018,2018,cos,ireland,6n,yes,a,14,3,-11,,l,19,56,-37,quaglio,bigi,ferrari,zanni,budd,negri,steyn,parisse,violi,allan,bellini,castello,boni,benvenuti,minozzi,ghiraldini,lovotti,pasquali,ruzza,mbanda,gori,canna,hayward
23/02/2018,2018,cos,france,6n,yes,a,14,10,-4,,l,17,34,-17,lovotti,ghiraldini,ferrari,zanni,budd,negri,mbanda,parisse,violi,allan,bellini,castello,boni,benvenuti,minozzi,bigi,quaglio,pasquali,biagi,ruzza,gori,canna,hayward
11/03/2018,2018,cos,wales,6n,yes,a,14,7,-7,,l,14,38,-24,lovotti,ghiraldini,ferrari,zanni,budd,negri,mbanda,parisse,violi,allan,bellini,castello,bisegni,benvenuti,minozzi,fabiani,quaglio,pasquali,ruzza,licata,palazzani,canna,hayward
17/03/2018,2018,cos,scotland,6n,yes,h,14,6,-8,,l,27,29,-2,lovotti,ghiraldini,ferrari,zanni,budd,negri,polledri,parisse,violi,allan,bellini,castello,bisegni,benvenuti,minozzi,fabiani,quaglio,pasquali,steyn,licata,palazzani,canna,hayward
09/06/2018,2018,cos,japan,tour,yes,a,14,11,-3,,l,17,34,-17,lovotti,ghiraldini,pasquali,zanni,budd,negri,licata,steyn,violi,allan,bellini,castello,campagnaro,benvenuti,minozzi,bigi,zani,zilocchi,biagi,fuser,polledri,tebaldi,hayward
16/06/2018,2018,cos,japan,tour,yes,a,14,11,-3,,w,25,22,3,lovotti,ghiraldini,pasquali,zanni,budd,negri,polledri,steyn,violi,allan,minozzi,castello,campagnaro,benvenuti,hayward,bigi,traore,ferrari,fuser,licata,tebaldi,canna,bisegni
03/11/2018,2018,cos,ireland,tour,yes,a,14,2,-12,,l,7,54,-47,quaglio,bigi,pasquali,fuser,biagi,meyer,steyn,giammarioli,tebaldi,canna,bisegni,morisi,campagnaro,bellini,sperandio,fabiani,traore,zilocchi,lazzaroni,ruzza,tuivaiti,palazzani,mckinley
