date,team,opposition,yellow_cards,red_cards
09/02/2020,france,italy,0,0
09/02/2020,italy,france,0,0
06/11/2021,england,tonga,0,0
06/11/2021,tonga,england,2,1
27/09/2025,new_zealand,australia,0,0
27/09/2025,australia,new_zealand,1,0
25/06/2016,south_africa,ireland,1,0
25/06/2016,ireland,south_africa,0,0
08/08/2015,south_africa,argentina,0,0
08/08/2015,argentina,south_africa,1,0
20/03/2021,france,wales,1,1
20/03/2021,wales,france,2,0
07/03/2026,italy,england,1,0
07/03/2026,england,italy,2,0
22/02/2025,wales,ireland,0,0
22/02/2025,ireland,wales,0,1
26/02/2022,england,wales,0,0
26/02/2022,wales,england,1,0
11/03/2023,england,france,0,0
11/03/2023,france,england,0,0
10/11/2018,scotland,fiji,0,0
10/11/2018,fiji,scotland,2,0
01/11/2025,ireland,new_zealand,0,1
01/11/2025,new_zealand,ireland,0,0
05/11/2022,scotland,fiji,2,0
05/11/2022,fiji,scotland,3,0
21/10/2017,australia,new_zealand,0,0
21/10/2017,new_zealand,australia,0,0
25/09/2015,argentina,georgia,0,0
25/09/2015,georgia,argentina,1,0
05/08/2023,wales,england,0,0
05/08/2023,england,wales,0,0
06/10/2019,france,tonga,0,0
06/10/2019,tonga,france,0,0
06/02/2021,england,scotland,1,0
06/02/2021,scotland,england,1,0
19/09/2015,south_africa,japan,1,0
19/09/2015,japan,south_africa,0,0
08/09/2018,new_zealand,argentina,0,0
08/09/2018,argentina,new_zealand,0,0
10/03/2018,france,england,0,0
10/03/2018,england,france,1,0
22/09/2019,italy,namibia,0,0
22/09/2019,namibia,italy,0,0
10/07/2021,new_zealand,fiji,1,0
10/07/2021,fiji,new_zealand,1,0
27/07/2019,new_zealand,south_africa,0,0
27/07/2019,south_africa,new_zealand,0,0
07/08/2021,south_africa,british & irish lions,0,0
07/08/2021,british & irish lions,south_africa,0,0
07/10/2023,ireland,scotland,0,0
07/10/2023,scotland,ireland,1,0
08/11/2025,italy,australia,0,0
08/11/2025,australia,italy,1,0
04/07/2026,australia,ireland,1,0
04/07/2026,ireland,australia,0,0
23/09/2019,wales,georgia,0,0
23/09/2019,georgia,wales,1,0
24/06/2017,argentina,georgia,1,0
24/06/2017,georgia,argentina,1,0
28/09/2024,south_africa,argentina,0,0
28/09/2024,argentina,south_africa,2,1
05/07/2025,georgia,ireland,0,0
05/07/2025,ireland,georgia,1,0
16/07/2022,argentina,scotland,0,0
16/07/2022,scotland,argentina,0,0
17/10/2015,new_zealand,france,0,0
17/10/2015,france,new_zealand,1,0
24/11/2018,italy,new_zealand,0,0
24/11/2018,new_zealand,italy,0,0
20/08/2016,south_africa,argentina,1,0
20/08/2016,argentina,south_africa,1,0
08/08/2015,wales,ireland,1,0
08/08/2015,ireland,wales,1,0
25/11/2017,england,samoa,0,0
25/11/2017,samoa,england,1,0
03/02/2018,wales,scotland,0,0
03/02/2018,scotland,wales,0,0
18/11/2017,ireland,fiji,0,0
18/11/2017,fiji,ireland,0,0
14/10/2023,ireland,new_zealand,0,0
14/10/2023,new_zealand,ireland,2,0
16/09/2023,ireland,tonga,1,0
16/09/2023,tonga,ireland,0,0
02/06/2019,england,barbarians,0,0
02/06/2019,barbarians,england,0,0
23/09/2023,south_africa,ireland,0,0
23/09/2023,ireland,south_africa,0,0
15/07/2023,australia,argentina,1,0
15/07/2023,argentina,australia,0,0
23/02/2019,france,scotland,1,0
23/02/2019,scotland,france,0,0
23/06/2018,australia,ireland,1,0
23/06/2018,ireland,australia,1,0
26/10/2024,japan,new_zealand,0,0
26/10/2024,new_zealand,japan,0,0
29/05/2016,england,wales,0,0
29/05/2016,wales,england,0,0
11/07/2026,argentina,wales,0,0
11/07/2026,wales,argentina,0,0
26/08/2023,spain,argentina,2,0
26/08/2023,argentina,spain,0,0
17/06/2017,argentina,england,0,0
17/06/2017,england,argentina,0,0
06/09/2019,japan,south_africa,0,0
06/09/2019,south_africa,japan,1,0
06/11/2021,france,argentina,1,0
06/11/2021,argentina,france,1,0
31/10/2020,italy,england,1,0
31/10/2020,england,italy,1,0
18/06/2016,usa,italy,1,0
18/06/2016,italy,usa,1,0
05/09/2015,wales,italy,0,0
05/09/2015,italy,wales,0,0
23/02/2018,france,italy,0,0
23/02/2018,italy,france,1,0
04/07/2021,england,usa,0,0
04/07/2021,usa,england,0,0
10/07/2024,uruguay,france,0,0
10/07/2024,france,uruguay,0,0
16/08/2025,south_africa,australia,0,0
16/08/2025,australia,south_africa,0,0
23/11/2024,italy,new_zealand,1,0
23/11/2024,new_zealand,italy,2,0
21/10/2023,england,south_africa,0,0
21/10/2023,south_africa,england,0,0
04/10/2025,australia,new_zealand,2,0
04/10/2025,new_zealand,australia,0,0
01/10/2015,france,canada,0,0
01/10/2015,canada,france,1,0
11/02/2018,scotland,france,0,0
11/02/2018,france,scotland,0,0
11/07/2026,south_africa,scotland,1,0
11/07/2026,scotland,south_africa,0,0
31/08/2019,wales,ireland,1,0
31/08/2019,ireland,wales,0,0
10/08/2024,new_zealand,argentina,0,0
10/08/2024,argentina,new_zealand,0,0
26/08/2023,scotland,georgia,0,0
26/08/2023,georgia,scotland,0,0
05/07/2025,japan,wales,1,0
05/07/2025,wales,japan,0,0
04/02/2018,italy,england,0,0
04/02/2018,england,italy,0,0
24/09/2022,new_zealand,australia,0,0
24/09/2022,australia,new_zealand,2,0
14/11/2020,italy,scotland,0,0
14/11/2020,scotland,italy,0,0
18/06/2016,australia,england,0,0
18/06/2016,england,australia,0,0
19/08/2023,wales,south_africa,2,0
19/08/2023,south_africa,wales,1,0
16/06/2018,argentina,wales,0,0
