date,team,opposition,venue,city,country,kickoff_utc,gmt_offset
09/02/2020,france,italy,Stade de France,Saint-Denis,France,2020-02-09T15:00:00+00:00,1.0
09/02/2020,italy,france,Stade de France,Saint-Denis,France,2020-02-09T15:00:00+00:00,1.0
06/11/2021,england,tonga,Twickenham,London,England,2021-11-06T15:15:00+00:00,0.0
06/11/2021,tonga,england,Twickenham,London,England,2021-11-06T15:15:00+00:00,0.0
27/09/2025,new_zealand,australia,Eden Park,Auckland,New Zealand,2025-09-27T05:05:00+00:00,12.0
27/09/2025,australia,new_zealand,Eden Park,Auckland,New Zealand,2025-09-27T05:05:00+00:00,12.0
25/06/2016,south_africa,ireland,Nelson Mandela Bay Stadium,Port Elizabeth,South Africa,2016-06-25T15:00:00+00:00,2.0
25/06/2016,ireland,south_africa,Nelson Mandela Bay Stadium,Port Elizabeth,South Africa,2016-06-25T15:00:00+00:00,2.0
08/08/2015,south_africa,argentina,King's Park,Durban,South Africa,2015-08-08T15:05:00+00:00,2.0
08/08/2015,argentina,south_africa,King's Park,Durban,South Africa,2015-08-08T15:05:00+00:00,2.0
20/03/2021,france,wales,Stade de France,Saint-Denis,France,2021-03-20T20:00:00+00:00,1.0
20/03/2021,wales,france,Stade de France,Saint-Denis,France,2021-03-20T20:00:00+00:00,1.0
07/03/2026,italy,england,Stadio Olimpico,Roma,Italy,2026-03-07T16:40:00+00:00,1.0
07/03/2026,england,italy,Stadio Olimpico,Roma,Italy,2026-03-07T16:40:00+00:00,1.0
22/02/2025,wales,ireland,Principality Stadium,Cardiff,Wales,2025-02-22T14:15:00+00:00,0.0
22/02/2025,ireland,wales,Principality Stadium,Cardiff,Wales,2025-02-22T14:15:00+00:00,0.0
26/02/2022,england,wales,Twickenham,London,England,2022-02-26T16:45:00+00:00,0.0
26/02/2022,wales,england,Twickenham,London,England,2022-02-26T16:45:00+00:00,0.0
11/03/2023,england,france,Twickenham,London,England,2023-03-11T16:45:00+00:00,0.0
11/03/2023,france,england,Twickenham,London,England,2023-03-11T16:45:00+00:00,0.0
10/11/2018,scotland,fiji,Murrayfield,Edinburgh,Scotland,2018-11-10T14:30:00+00:00,0.0
10/11/2018,fiji,scotland,Murrayfield,Edinburgh,Scotland,2018-11-10T14:30:00+00:00,0.0
01/11/2025,ireland,new_zealand,Soldier Field Stadium,Chicago,United States,2025-11-01T20:10:00+00:00,-5.0
01/11/2025,new_zealand,ireland,Soldier Field Stadium,Chicago,United States,2025-11-01T20:10:00+00:00,-5.0
05/11/2022,scotland,fiji,Murrayfield,Edinburgh,Scotland,2022-11-05T12:00:00+00:00,1.0
05/11/2022,fiji,scotland,Murrayfield,Edinburgh,Scotland,2022-11-05T12:00:00+00:00,1.0
21/10/2017,australia,new_zealand,Suncorp Stadium,Brisbane,Australia,2017-10-21T09:00:00+00:00,10.0
21/10/2017,new_zealand,australia,Suncorp Stadium,Brisbane,Australia,2017-10-21T09:00:00+00:00,10.0
25/09/2015,argentina,georgia,Kingsholm,Gloucester,England,2015-09-25T15:45:00+00:00,1.0
25/09/2015,georgia,argentina,Kingsholm,Gloucester,England,2015-09-25T15:45:00+00:00,1.0
05/08/2023,wales,england,Principality Stadium,Cardiff,Wales,2023-08-05T16:30:00+00:00,1.0
05/08/2023,england,wales,Principality Stadium,Cardiff,Wales,2023-08-05T16:30:00+00:00,1.0
06/10/2019,france,tonga,Kumamoto Stadium,"Kumamoto Prefecture, Kumamoto City",Japan,2019-10-06T07:45:00+00:00,9.0
06/10/2019,tonga,france,Kumamoto Stadium,"Kumamoto Prefecture, Kumamoto City",Japan,2019-10-06T07:45:00+00:00,9.0
06/02/2021,england,scotland,Twickenham,London,England,2021-02-06T16:45:00+00:00,0.0
06/02/2021,scotland,england,Twickenham,London,England,2021-02-06T16:45:00+00:00,0.0
19/09/2015,south_africa,japan,Brighton Community Stadium,Brighton and Hove,England,2015-09-19T15:45:00+00:00,1.0
19/09/2015,japan,south_africa,Brighton Community Stadium,Brighton and Hove,England,2015-09-19T15:45:00+00:00,1.0
08/09/2018,new_zealand,argentina,Trafalgar Park,Nelson,New Zealand,2018-09-08T07:35:00+00:00,12.0
08/09/2018,argentina,new_zealand,Trafalgar Park,Nelson,New Zealand,2018-09-08T07:35:00+00:00,12.0
10/03/2018,france,england,Stade de France,Saint-Denis,France,2018-03-10T16:45:00+00:00,1.0
10/03/2018,england,france,Stade de France,Saint-Denis,France,2018-03-10T16:45:00+00:00,1.0
22/09/2019,italy,namibia,Hanazono Rugby Stadium,"Osaka Prefecture, Higashiosaka City",Japan,2019-09-22T05:15:00+00:00,9.0
22/09/2019,namibia,italy,Hanazono Rugby Stadium,"Osaka Prefecture, Higashiosaka City",Japan,2019-09-22T05:15:00+00:00,9.0
10/07/2021,new_zealand,fiji,Forsyth Barr Stadium,Dunedin,New Zealand,2021-07-10T07:05:00+00:00,12.0
10/07/2021,fiji,new_zealand,Forsyth Barr Stadium,Dunedin,New Zealand,2021-07-10T07:05:00+00:00,12.0
27/07/2019,new_zealand,south_africa,Westpac Stadium,Wellington,New Zealand,2019-07-27T07:35:00+00:00,12.0
27/07/2019,south_africa,new_zealand,Westpac Stadium,Wellington,New Zealand,2019-07-27T07:35:00+00:00,12.0
07/08/2021,south_africa,british & irish lions,Cape Town Stadium,Cape Town,South Africa,2021-08-07T16:00:00+00:00,2.0
07/08/2021,british & irish lions,south_africa,Cape Town Stadium,Cape Town,South Africa,2021-08-07T16:00:00+00:00,2.0
07/10/2023,ireland,scotland,Stade de France,Saint-Denis,France,2023-10-07T19:00:00+00:00,2.0
07/10/2023,scotland,ireland,Stade de France,Saint-Denis,France,2023-10-07T19:00:00+00:00,2.0
08/11/2025,italy,australia,Bluenergy Stadium,Udine,Italy,2025-11-08T17:40:00+00:00,1.0
08/11/2025,australia,italy,Bluenergy Stadium,Udine,Italy,2025-11-08T17:40:00+00:00,1.0
04/07/2026,australia,ireland,Sydney Football Stadium,Sydney,Australia,2026-07-04T10:10:00+00:00,10.0
04/07/2026,ireland,australia,Sydney Football Stadium,Sydney,Australia,2026-07-04T10:10:00+00:00,10.0
23/09/2019,wales,georgia,City of Toyota Stadium,"Aichi Prefecture, Toyota City",Japan,2019-09-23T10:15:00+00:00,9.0
23/09/2019,georgia,wales,City of Toyota Stadium,"Aichi Prefecture, Toyota City",Japan,2019-09-23T10:15:00+00:00,9.0
24/06/2017,argentina,georgia,Estadio 23 de Agosto,Jujuy,Argentina,2017-06-24T19:15:00+00:00,-3.0
24/06/2017,georgia,argentina,Estadio 23 de Agosto,Jujuy,Argentina,2017-06-24T19:15:00+00:00,-3.0
28/09/2024,south_africa,argentina,Mbombela Stadium,Mbombela,South Africa,2024-09-28T15:00:00+00:00,2.0
28/09/2024,argentina,south_africa,Mbombela Stadium,Mbombela,South Africa,2024-09-28T15:00:00+00:00,2.0
05/07/2025,georgia,ireland,Mikheil Meskhi Stadium,Tbilisi,Georgia,2025-07-05T19:00:00+00:00,2.0
05/07/2025,ireland,georgia,Mikheil Meskhi Stadium,Tbilisi,Georgia,2025-07-05T19:00:00+00:00,2.0
16/07/2022,argentina,scotland,Estadio Único Madre de Ciudades,Santiago del Estero,Argentina,2022-07-16T19:10:00+00:00,-3.0
16/07/2022,scotland,argentina,Estadio Único Madre de Ciudades,Santiago del Estero,Argentina,2022-07-16T19:10:00+00:00,-3.0
17/10/2015,new_zealand,france,Millennium Stadium,Cardiff,Wales,2015-10-17T19:00:00+00:00,1.0
17/10/2015,france,new_zealand,Millennium Stadium,Cardiff,Wales,2015-10-17T19:00:00+00:00,1.0
24/11/2018,italy,new_zealand,Stadio Olimpico,Roma,Italy,2018-11-24T13:00:00+00:00,1.0
24/11/2018,new_zealand,italy,Stadio Olimpico,Roma,Italy,2018-11-24T13:00:00+00:00,1.0
