date,team,opposition,temp_c,precip_mm,wind_kmh
09/02/2020,france,italy,11.8,1.1,38.8
09/02/2020,italy,france,11.8,1.1,38.8
06/11/2021,england,tonga,12.7,0.0,24.0
06/11/2021,tonga,england,12.7,0.0,24.0
27/09/2025,new_zealand,australia,15.4,0.0,8.1
27/09/2025,australia,new_zealand,15.4,0.0,8.1
25/06/2016,south_africa,ireland,16.2,0.0,8.7
25/06/2016,ireland,south_africa,16.2,0.0,8.7
08/08/2015,south_africa,argentina,21.7,0.0,8.8
08/08/2015,argentina,south_africa,21.7,0.0,8.8
20/03/2021,france,wales,3.0,0.0,9.7
20/03/2021,wales,france,3.0,0.0,9.7
07/03/2026,italy,england,15.4,0.0,9.4
07/03/2026,england,italy,15.4,0.0,9.4
22/02/2025,wales,ireland,11.9,0.0,21.0
22/02/2025,ireland,wales,11.9,0.0,21.0
26/02/2022,england,wales,9.1,0.0,16.5
26/02/2022,wales,england,9.1,0.0,16.5
11/03/2023,england,france,7.4,0.0,15.0
11/03/2023,france,england,7.4,0.0,15.0
10/11/2018,scotland,fiji,10.0,0.0,13.6
10/11/2018,fiji,scotland,10.0,0.0,13.6
01/11/2025,ireland,new_zealand,9.7,0.0,6.5
01/11/2025,new_zealand,ireland,9.7,0.0,6.5
05/11/2022,scotland,fiji,10.4,0.6,13.7
05/11/2022,fiji,scotland,10.4,0.6,13.7
21/10/2017,australia,new_zealand,15.4,0.0,10.8
21/10/2017,new_zealand,australia,15.4,0.0,10.8
25/09/2015,argentina,georgia,15.4,0.0,9.6
25/09/2015,georgia,argentina,15.4,0.0,9.6
05/08/2023,wales,england,16.7,0.0,27.8
05/08/2023,england,wales,16.7,0.0,27.8
06/10/2019,france,tonga,26.9,0.0,12.6
06/10/2019,tonga,france,26.9,0.0,12.6
06/02/2021,england,scotland,7.2,0.3,8.1
06/02/2021,scotland,england,7.2,0.3,8.1
19/09/2015,south_africa,japan,17.3,0.0,8.7
19/09/2015,japan,south_africa,17.3,0.0,8.7
08/09/2018,new_zealand,argentina,7.6,0.0,4.5
08/09/2018,argentina,new_zealand,7.6,0.0,4.5
10/03/2018,france,england,17.4,0.0,16.5
10/03/2018,england,france,17.4,0.0,16.5
22/09/2019,italy,namibia,27.5,0.0,23.1
22/09/2019,namibia,italy,27.5,0.0,23.1
10/07/2021,new_zealand,fiji,4.6,0.1,32.7
10/07/2021,fiji,new_zealand,4.6,0.1,32.7
27/07/2019,new_zealand,south_africa,12.2,0.0,19.4
27/07/2019,south_africa,new_zealand,12.2,0.0,19.4
07/08/2021,south_africa,british & irish lions,13.0,0.0,4.2
07/08/2021,british & irish lions,south_africa,13.0,0.0,4.2
07/10/2023,ireland,scotland,15.7,0.0,8.4
07/10/2023,scotland,ireland,15.7,0.0,8.4
08/11/2025,italy,australia,9.6,0.0,5.8
08/11/2025,australia,italy,9.6,0.0,5.8
04/07/2026,australia,ireland,12.3,0.0,3.2
04/07/2026,ireland,australia,12.3,0.0,3.2
23/09/2019,wales,georgia,23.5,0.0,15.6
23/09/2019,georgia,wales,23.5,0.0,15.6
24/06/2017,argentina,georgia,21.2,0.0,5.9
24/06/2017,georgia,argentina,21.2,0.0,5.9
28/09/2024,south_africa,argentina,28.4,0.0,12.7
28/09/2024,argentina,south_africa,28.4,0.0,12.7
05/07/2025,georgia,ireland,17.9,0.6,22.5
05/07/2025,ireland,georgia,17.9,0.6,22.5
16/07/2022,argentina,scotland,14.8,0.0,27.7
16/07/2022,scotland,argentina,14.8,0.0,27.7
17/10/2015,new_zealand,france,10.5,0.0,14.8
17/10/2015,france,new_zealand,10.5,0.0,14.8
24/11/2018,italy,new_zealand,13.2,0.0,9.1
24/11/2018,new_zealand,italy,13.2,0.0,9.1
20/08/2016,south_africa,argentina,21.3,0.0,9.4
20/08/2016,argentina,south_africa,21.3,0.0,9.4
08/08/2015,wales,ireland,20.0,0.0,10.9
08/08/2015,ireland,wales,20.0,0.0,10.9
25/11/2017,england,samoa,6.4,0.0,21.3
25/11/2017,samoa,england,6.4,0.0,21.3
03/02/2018,wales,scotland,5.7,0.1,13.0
