date,opposition,shirt,player,dob,age_on_matchday
08/07/2015,Samoa,22,Colin Slade,1987-10-10,27.74
08/07/2015,Samoa,13,Ryan Crotty,1988-09-23,26.79
08/07/2015,Samoa,12,Sonny Bill Williams,1985-08-03,29.93
08/07/2015,Samoa,1,Tony Woodcock,1981-01-27,34.44
08/07/2015,Samoa,3,Owen Franks,1987-12-23,27.54
08/07/2015,Samoa,14,George Moala,1990-11-05,24.67
08/07/2015,Samoa,9,Andy Ellis,1984-02-21,31.38
08/07/2015,Samoa,23,Charlie Ngatai,1990-08-17,24.89
08/07/2015,Samoa,5,Samuel Whitelock,1988-10-12,26.74
08/07/2015,Samoa,19,Brodie Retallick,1991-05-31,24.1
08/07/2015,Samoa,4,Luke Romano,1986-02-16,29.39
08/07/2015,Samoa,2,Keven Mealamu,1979-03-20,36.3
08/07/2015,Samoa,15,Israel Dagg,1988-06-06,27.09
08/07/2015,Samoa,6,Jerome Kaino,1983-04-06,32.26
08/07/2015,Samoa,7,Richie McCaw,1980-12-31,34.52
08/07/2015,Samoa,18,Nepo Laulala,1991-11-06,23.67
08/07/2015,Samoa,21,Brad Weber,1991-01-17,24.47
08/07/2015,Samoa,8,Kieran Read,1985-10-26,29.7
08/07/2015,Samoa,10,Daniel Carter,1982-03-05,33.34
08/07/2015,Samoa,16,Hikawera Elliot,1986-01-22,29.46
08/07/2015,Samoa,11,Salesi Piutau,1991-10-31,23.69
08/07/2015,Samoa,20,Matt Todd,1988-03-24,27.29
08/07/2015,Samoa,17,Wyatt Crockett,1983-01-24,32.45
17/07/2015,Argentina,22,Colin Slade,1987-10-10,27.77
17/07/2015,Argentina,23,Ryan Crotty,1988-09-23,26.81
17/07/2015,Argentina,12,Sonny Bill Williams,1985-08-03,29.95
17/07/2015,Argentina,16,Codie Taylor,1991-03-31,24.3
17/07/2015,Argentina,1,Tony Woodcock,1981-01-27,34.47
17/07/2015,Argentina,3,Owen Franks,1987-12-23,27.57
17/07/2015,Argentina,21,Andy Ellis,1984-02-21,31.4
17/07/2015,Argentina,20,Liam Messam,1984-03-25,31.31
17/07/2015,Argentina,5,Brodie Retallick,1991-05-31,24.13
17/07/2015,Argentina,4,Luke Romano,1986-02-16,29.41
17/07/2015,Argentina,2,Keven Mealamu,1979-03-20,36.33
17/07/2015,Argentina,15,Israel Dagg,1988-06-06,27.11
17/07/2015,Argentina,14,Waisake Naholo,1991-05-08,24.19
17/07/2015,Argentina,6,Jerome Kaino,1983-04-06,32.28
17/07/2015,Argentina,7,Richie McCaw,1980-12-31,34.54
17/07/2015,Argentina,18,Nepo Laulala,1991-11-06,23.69
17/07/2015,Argentina,9,TJ Perenara,1992-01-23,23.48
17/07/2015,Argentina,8,Kieran Read,1985-10-26,29.72
17/07/2015,Argentina,19,Jeremy Thrush,1985-04-19,30.24
17/07/2015,Argentina,10,Daniel Carter,1982-03-05,33.37
17/07/2015,Argentina,13,Ma'a Nonu,1982-05-21,33.16
17/07/2015,Argentina,11,Salesi Piutau,1991-10-31,23.71
17/07/2015,Argentina,17,Wyatt Crockett,1983-01-24,32.48
25/07/2015,South Africa,16,Codie Taylor,1991-03-31,24.32
25/07/2015,South Africa,1,Tony Woodcock,1981-01-27,34.49
25/07/2015,South Africa,3,Owen Franks,1987-12-23,27.59
25/07/2015,South Africa,6,Liam Messam,1984-03-25,31.33
25/07/2015,South Africa,19,Samuel Whitelock,1988-10-12,26.78
25/07/2015,South Africa,4,Brodie Retallick,1991-05-31,24.15
25/07/2015,South Africa,14,Ben Smith,1986-06-01,29.15
25/07/2015,South Africa,15,Israel Dagg,1988-06-06,27.13
25/07/2015,South Africa,23,Malakai Fekitoa,1992-05-10,23.21
25/07/2015,South Africa,2,Dane Coles,1986-12-10,28.62
25/07/2015,South Africa,5,James Broadhurst,1987-12-01,27.65
25/07/2015,South Africa,7,Richie McCaw,1980-12-31,34.56
25/07/2015,South Africa,9,Aaron Smith,1988-11-21,26.67
25/07/2015,South Africa,18,Ben Franks,1984-03-27,31.33
25/07/2015,South Africa,20,Victor Vito,1987-03-27,28.33
25/07/2015,South Africa,21,TJ Perenara,1992-01-23,23.5
25/07/2015,South Africa,10,Lima Sopoaga,1991-02-03,24.47
25/07/2015,South Africa,8,Kieran Read,1985-10-26,29.74
25/07/2015,South Africa,13,Conrad Smith,1981-10-12,33.78
25/07/2015,South Africa,22,Beauden Barrett,1991-05-27,24.16
25/07/2015,South Africa,12,Ma'a Nonu,1982-05-21,33.18
25/07/2015,South Africa,11,Salesi Piutau,1991-10-31,23.73
25/07/2015,South Africa,17,Wyatt Crockett,1983-01-24,32.5
08/08/2015,Australia,12,Sonny Bill Williams,1985-08-03,30.01
08/08/2015,Australia,16,Codie Taylor,1991-03-31,24.36
08/08/2015,Australia,1,Tony Woodcock,1981-01-27,34.53
08/08/2015,Australia,3,Owen Franks,1987-12-23,27.63
08/08/2015,Australia,19,Samuel Whitelock,1988-10-12,26.82
08/08/2015,Australia,5,Brodie Retallick,1991-05-31,24.19
08/08/2015,Australia,15,Ben Smith,1986-06-01,29.19
08/08/2015,Australia,4,Luke Romano,1986-02-16,29.47
08/08/2015,Australia,11,Julian Savea,1990-08-07,25.0
08/08/2015,Australia,23,Malakai Fekitoa,1992-05-10,23.24
08/08/2015,Australia,6,Jerome Kaino,1983-04-06,32.34
08/08/2015,Australia,2,Dane Coles,1986-12-10,28.66
08/08/2015,Australia,7,Richie McCaw,1980-12-31,34.6
08/08/2015,Australia,9,Aaron Smith,1988-11-21,26.71
08/08/2015,Australia,17,Ben Franks,1984-03-27,31.37
08/08/2015,Australia,18,Nepo Laulala,1991-11-06,23.75
08/08/2015,Australia,21,TJ Perenara,1992-01-23,23.54
08/08/2015,Australia,8,Kieran Read,1985-10-26,29.78
08/08/2015,Australia,20,Sam Cane,1992-01-13,23.57
08/08/2015,Australia,13,Conrad Smith,1981-10-12,33.82
08/08/2015,Australia,22,Beauden Barrett,1991-05-27,24.2
08/08/2015,Australia,10,Daniel Carter,1982-03-05,33.43
08/08/2015,Australia,14,Nehe Milner-Skudder,1990-12-15,24.65
15/08/2015,Australia,22,Colin Slade,1987-10-10,27.85
15/08/2015,Australia,1,Tony Woodcock,1981-01-27,34.55
15/08/2015,Australia,3,Owen Franks,1987-12-23,27.64
15/08/2015,Australia,5,Samuel Whitelock,1988-10-12,26.84
15/08/2015,Australia,4,Brodie Retallick,1991-05-31,24.21
15/08/2015,Australia,15,Ben Smith,1986-06-01,29.21
15/08/2015,Australia,16,Keven Mealamu,1979-03-20,36.41
15/08/2015,Australia,11,Julian Savea,1990-08-07,25.02
15/08/2015,Australia,23,Malakai Fekitoa,1992-05-10,23.26
15/08/2015,Australia,19,Jerome Kaino,1983-04-06,32.36
15/08/2015,Australia,2,Dane Coles,1986-12-10,28.68
15/08/2015,Australia,7,Richie McCaw,1980-12-31,34.62
15/08/2015,Australia,9,Aaron Smith,1988-11-21,26.73
15/08/2015,Australia,6,Victor Vito,1987-03-27,28.39
15/08/2015,Australia,18,Nepo Laulala,1991-11-06,23.77
15/08/2015,Australia,21,TJ Perenara,1992-01-23,23.56
15/08/2015,Australia,8,Kieran Read,1985-10-26,29.8
15/08/2015,Australia,20,Sam Cane,1992-01-13,23.59
15/08/2015,Australia,13,Conrad Smith,1981-10-12,33.84
15/08/2015,Australia,10,Daniel Carter,1982-03-05,33.45
15/08/2015,Australia,12,Ma'a Nonu,1982-05-21,33.24
15/08/2015,Australia,17,Wyatt Crockett,1983-01-24,32.56
15/08/2015,Australia,14,Nehe Milner-Skudder,1990-12-15,24.67
20/09/2015,Argentina,23,Sonny Bill Williams,1985-08-03,30.13
20/09/2015,Argentina,1,Tony Woodcock,1981-01-27,34.65
20/09/2015,Argentina,3,Owen Franks,1987-12-23,27.74
20/09/2015,Argentina,5,Samuel Whitelock,1988-10-12,26.94
20/09/2015,Argentina,4,Brodie Retallick,1991-05-31,24.31
20/09/2015,Argentina,15,Ben Smith,1986-06-01,29.3
20/09/2015,Argentina,16,Keven Mealamu,1979-03-20,36.5
20/09/2015,Argentina,11,Julian Savea,1990-08-07,25.12
20/09/2015,Argentina,6,Jerome Kaino,1983-04-06,32.46
20/09/2015,Argentina,2,Dane Coles,1986-12-10,28.78
20/09/2015,Argentina,18,Charlie Faumuina,1986-12-24,28.74
20/09/2015,Argentina,7,Richie McCaw,1980-12-31,34.72
20/09/2015,Argentina,9,Aaron Smith,1988-11-21,26.83
20/09/2015,Argentina,19,Victor Vito,1987-03-27,28.49
20/09/2015,Argentina,21,TJ Perenara,1992-01-23,23.66
20/09/2015,Argentina,8,Kieran Read,1985-10-26,29.9
20/09/2015,Argentina,20,Sam Cane,1992-01-13,23.69
20/09/2015,Argentina,13,Conrad Smith,1981-10-12,33.94
20/09/2015,Argentina,22,Beauden Barrett,1991-05-27,24.32
20/09/2015,Argentina,10,Daniel Carter,1982-03-05,33.54
20/09/2015,Argentina,12,Ma'a Nonu,1982-05-21,33.33
20/09/2015,Argentina,17,Wyatt Crockett,1983-01-24,32.66
20/09/2015,Argentina,14,Nehe Milner-Skudder,1990-12-15,24.76
24/09/2015,Namibia,15,Colin Slade,1987-10-10,27.96
24/09/2015,Namibia,12,Sonny Bill Williams,1985-08-03,30.14
24/09/2015,Namibia,2,Codie Taylor,1991-03-31,24.49
24/09/2015,Namibia,18,Tony Woodcock,1981-01-27,34.66
24/09/2015,Namibia,21,Tawera Kerr-Barlow,1990-08-15,25.11
24/09/2015,Namibia,5,Samuel Whitelock,1988-10-12,26.95
24/09/2015,Namibia,23,Ben Smith,1986-06-01,29.31
24/09/2015,Namibia,4,Luke Romano,1986-02-16,29.6
24/09/2015,Namibia,16,Keven Mealamu,1979-03-20,36.52
24/09/2015,Namibia,11,Julian Savea,1990-08-07,25.13
24/09/2015,Namibia,13,Malakai Fekitoa,1992-05-10,23.37
24/09/2015,Namibia,6,Jerome Kaino,1983-04-06,32.47
24/09/2015,Namibia,3,Charlie Faumuina,1986-12-24,28.75
24/09/2015,Namibia,20,Richie McCaw,1980-12-31,34.73
24/09/2015,Namibia,1,Ben Franks,1984-03-27,31.49
24/09/2015,Namibia,8,Victor Vito,1987-03-27,28.5
24/09/2015,Namibia,9,TJ Perenara,1992-01-23,23.67
24/09/2015,Namibia,19,Kieran Read,1985-10-26,29.91
24/09/2015,Namibia,7,Sam Cane,1992-01-13,23.7
24/09/2015,Namibia,10,Beauden Barrett,1991-05-27,24.33
24/09/2015,Namibia,22,Ma'a Nonu,1982-05-21,33.34
24/09/2015,Namibia,17,Wyatt Crockett,1983-01-24,32.67
24/09/2015,Namibia,14,Nehe Milner-Skudder,1990-12-15,24.78
02/10/2015,Georgia,12,Sonny Bill Williams,1985-08-03,30.16
02/10/2015,Georgia,17,Tony Woodcock,1981-01-27,34.68
02/10/2015,Georgia,18,Owen Franks,1987-12-23,27.78
02/10/2015,Georgia,21,Tawera Kerr-Barlow,1990-08-15,25.13
02/10/2015,Georgia,5,Samuel Whitelock,1988-10-12,26.97
02/10/2015,Georgia,4,Brodie Retallick,1991-05-31,24.34
02/10/2015,Georgia,15,Ben Smith,1986-06-01,29.34
02/10/2015,Georgia,16,Keven Mealamu,1979-03-20,36.54
02/10/2015,Georgia,11,Julian Savea,1990-08-07,25.15
02/10/2015,Georgia,23,Malakai Fekitoa,1992-05-10,23.4
02/10/2015,Georgia,14,Waisake Naholo,1991-05-08,24.4
02/10/2015,Georgia,6,Jerome Kaino,1983-04-06,32.49
02/10/2015,Georgia,2,Dane Coles,1986-12-10,28.81
02/10/2015,Georgia,3,Charlie Faumuina,1986-12-24,28.77
02/10/2015,Georgia,7,Richie McCaw,1980-12-31,34.75
02/10/2015,Georgia,9,Aaron Smith,1988-11-21,26.86
02/10/2015,Georgia,19,Victor Vito,1987-03-27,28.52
02/10/2015,Georgia,22,TJ Perenara,1992-01-23,23.69
02/10/2015,Georgia,8,Kieran Read,1985-10-26,29.93
02/10/2015,Georgia,20,Sam Cane,1992-01-13,23.72
02/10/2015,Georgia,13,Conrad Smith,1981-10-12,33.97
02/10/2015,Georgia,10,Daniel Carter,1982-03-05,33.58
02/10/2015,Georgia,1,Wyatt Crockett,1983-01-24,32.69
09/10/2015,Tonga,23,Sonny Bill Williams,1985-08-03,30.18
09/10/2015,Tonga,1,Tony Woodcock,1981-01-27,34.7
09/10/2015,Tonga,3,Owen Franks,1987-12-23,27.8
09/10/2015,Tonga,20,Liam Messam,1984-03-25,31.54
09/10/2015,Tonga,21,Tawera Kerr-Barlow,1990-08-15,25.15
09/10/2015,Tonga,5,Samuel Whitelock,1988-10-12,26.99
09/10/2015,Tonga,19,Brodie Retallick,1991-05-31,24.36
09/10/2015,Tonga,15,Ben Smith,1986-06-01,29.36
09/10/2015,Tonga,4,Luke Romano,1986-02-16,29.64
09/10/2015,Tonga,16,Keven Mealamu,1979-03-20,36.56
09/10/2015,Tonga,11,Waisake Naholo,1991-05-08,24.42
09/10/2015,Tonga,6,Jerome Kaino,1983-04-06,32.51
09/10/2015,Tonga,2,Dane Coles,1986-12-10,28.83
09/10/2015,Tonga,9,Aaron Smith,1988-11-21,26.88
09/10/2015,Tonga,18,Ben Franks,1984-03-27,31.54
09/10/2015,Tonga,8,Kieran Read,1985-10-26,29.95
09/10/2015,Tonga,7,Sam Cane,1992-01-13,23.74
09/10/2015,Tonga,13,Conrad Smith,1981-10-12,33.99
09/10/2015,Tonga,22,Beauden Barrett,1991-05-27,24.37
09/10/2015,Tonga,10,Daniel Carter,1982-03-05,33.6
09/10/2015,Tonga,12,Ma'a Nonu,1982-05-21,33.39
09/10/2015,Tonga,17,Wyatt Crockett,1983-01-24,32.71
09/10/2015,Tonga,14,Nehe Milner-Skudder,1990-12-15,24.82
17/10/2015,France,23,Sonny Bill Williams,1985-08-03,30.2
17/10/2015,France,3,Owen Franks,1987-12-23,27.82
17/10/2015,France,21,Tawera Kerr-Barlow,1990-08-15,25.17
17/10/2015,France,5,Samuel Whitelock,1988-10-12,27.01
17/10/2015,France,4,Brodie Retallick,1991-05-31,24.38
17/10/2015,France,15,Ben Smith,1986-06-01,29.38
17/10/2015,France,16,Keven Mealamu,1979-03-20,36.58
17/10/2015,France,11,Julian Savea,1990-08-07,25.19
17/10/2015,France,17,Joe Moody,1988-09-17,27.08
17/10/2015,France,6,Jerome Kaino,1983-04-06,32.53
17/10/2015,France,2,Dane Coles,1986-12-10,28.85
17/10/2015,France,18,Charlie Faumuina,1986-12-24,28.81
17/10/2015,France,7,Richie McCaw,1980-12-31,34.79
17/10/2015,France,9,Aaron Smith,1988-11-21,26.9
17/10/2015,France,19,Victor Vito,1987-03-27,28.56
17/10/2015,France,8,Kieran Read,1985-10-26,29.97
17/10/2015,France,20,Sam Cane,1992-01-13,23.76
17/10/2015,France,13,Conrad Smith,1981-10-12,34.01
17/10/2015,France,22,Beauden Barrett,1991-05-27,24.39
17/10/2015,France,10,Daniel Carter,1982-03-05,33.62
17/10/2015,France,12,Ma'a Nonu,1982-05-21,33.41
17/10/2015,France,1,Wyatt Crockett,1983-01-24,32.73
17/10/2015,France,14,Nehe Milner-Skudder,1990-12-15,24.84
24/10/2015,South Africa,23,Sonny Bill Williams,1985-08-03,30.22
24/10/2015,South Africa,3,Owen Franks,1987-12-23,27.84
24/10/2015,South Africa,21,Tawera Kerr-Barlow,1990-08-15,25.19
24/10/2015,South Africa,5,Samuel Whitelock,1988-10-12,27.03
24/10/2015,South Africa,4,Brodie Retallick,1991-05-31,24.4
24/10/2015,South Africa,15,Ben Smith,1986-06-01,29.4
24/10/2015,South Africa,16,Keven Mealamu,1979-03-20,36.6
24/10/2015,South Africa,11,Julian Savea,1990-08-07,25.21
24/10/2015,South Africa,1,Joe Moody,1988-09-17,27.1
24/10/2015,South Africa,6,Jerome Kaino,1983-04-06,32.55
24/10/2015,South Africa,2,Dane Coles,1986-12-10,28.87
24/10/2015,South Africa,18,Charlie Faumuina,1986-12-24,28.83
24/10/2015,South Africa,7,Richie McCaw,1980-12-31,34.81
24/10/2015,South Africa,9,Aaron Smith,1988-11-21,26.92
24/10/2015,South Africa,17,Ben Franks,1984-03-27,31.58
24/10/2015,South Africa,19,Victor Vito,1987-03-27,28.58
24/10/2015,South Africa,8,Kieran Read,1985-10-26,29.99
24/10/2015,South Africa,20,Sam Cane,1992-01-13,23.78
24/10/2015,South Africa,13,Conrad Smith,1981-10-12,34.03
24/10/2015,South Africa,22,Beauden Barrett,1991-05-27,24.41
24/10/2015,South Africa,10,Daniel Carter,1982-03-05,33.64
24/10/2015,South Africa,12,Ma'a Nonu,1982-05-21,33.43
24/10/2015,South Africa,14,Nehe Milner-Skudder,1990-12-15,24.86
31/10/2015,Australia,23,Sonny Bill Williams,1985-08-03,30.24
31/10/2015,Australia,3,Owen Franks,1987-12-23,27.86
31/10/2015,Australia,21,Tawera Kerr-Barlow,1990-08-15,25.21
31/10/2015,Australia,5,Samuel Whitelock,1988-10-12,27.05
31/10/2015,Australia,4,Brodie Retallick,1991-05-31,24.42
31/10/2015,Australia,15,Ben Smith,1986-06-01,29.42
31/10/2015,Australia,16,Keven Mealamu,1979-03-20,36.62
31/10/2015,Australia,11,Julian Savea,1990-08-07,25.23
31/10/2015,Australia,1,Joe Moody,1988-09-17,27.12
31/10/2015,Australia,6,Jerome Kaino,1983-04-06,32.57
31/10/2015,Australia,2,Dane Coles,1986-12-10,28.89
31/10/2015,Australia,18,Charlie Faumuina,1986-12-24,28.85
31/10/2015,Australia,7,Richie McCaw,1980-12-31,34.83
31/10/2015,Australia,9,Aaron Smith,1988-11-21,26.94
31/10/2015,Australia,17,Ben Franks,1984-03-27,31.6
31/10/2015,Australia,19,Victor Vito,1987-03-27,28.6
31/10/2015,Australia,8,Kieran Read,1985-10-26,30.01
31/10/2015,Australia,20,Sam Cane,1992-01-13,23.8
31/10/2015,Australia,13,Conrad Smith,1981-10-12,34.05
31/10/2015,Australia,22,Beauden Barrett,1991-05-27,24.43
31/10/2015,Australia,10,Daniel Carter,1982-03-05,33.66
