date,opposition,shirt,player,started,minutes
08/07/2015,Samoa,22,Colin Slade,n,23
08/07/2015,Samoa,13,Ryan Crotty,y,80
08/07/2015,Samoa,12,Sonny Bill Williams,y,80
08/07/2015,Samoa,1,Tony Woodcock,y,48
08/07/2015,Samoa,3,Owen Franks,y,57
08/07/2015,Samoa,14,George Moala,y,72
08/07/2015,Samoa,9,Andy Ellis,y,65
08/07/2015,Samoa,23,Charlie Ngatai,n,12
08/07/2015,Samoa,5,Samuel Whitelock,y,60
08/07/2015,Samoa,19,Brodie Retallick,n,33
08/07/2015,Samoa,4,Luke Romano,y,67
08/07/2015,Samoa,2,Keven Mealamu,y,65
08/07/2015,Samoa,15,Israel Dagg,y,53
08/07/2015,Samoa,6,Jerome Kaino,y,60
08/07/2015,Samoa,7,Richie McCaw,y,80
08/07/2015,Samoa,18,Nepo Laulala,n,23
08/07/2015,Samoa,21,Brad Weber,n,15
08/07/2015,Samoa,8,Kieran Read,y,80
08/07/2015,Samoa,10,Daniel Carter,y,80
08/07/2015,Samoa,16,Hikawera Elliot,n,15
08/07/2015,Samoa,11,Salesi Piutau,y,80
08/07/2015,Samoa,20,Matt Todd,n,20
08/07/2015,Samoa,17,Wyatt Crockett,n,32
17/07/2015,Argentina,22,Colin Slade,n,28
17/07/2015,Argentina,23,Ryan Crotty,n,7
17/07/2015,Argentina,12,Sonny Bill Williams,y,80
17/07/2015,Argentina,16,Codie Taylor,n,20
17/07/2015,Argentina,1,Tony Woodcock,y,60
17/07/2015,Argentina,3,Owen Franks,y,55
17/07/2015,Argentina,21,Andy Ellis,n,9
17/07/2015,Argentina,20,Liam Messam,n,9
17/07/2015,Argentina,5,Brodie Retallick,y,80
17/07/2015,Argentina,4,Luke Romano,y,60
17/07/2015,Argentina,2,Keven Mealamu,y,60
17/07/2015,Argentina,15,Israel Dagg,y,80
17/07/2015,Argentina,14,Waisake Naholo,y,52
17/07/2015,Argentina,6,Jerome Kaino,y,71
17/07/2015,Argentina,7,Richie McCaw,y,80
17/07/2015,Argentina,18,Nepo Laulala,n,25
17/07/2015,Argentina,9,TJ Perenara,y,71
17/07/2015,Argentina,8,Kieran Read,y,80
17/07/2015,Argentina,19,Jeremy Thrush,n,20
17/07/2015,Argentina,10,Daniel Carter,y,80
17/07/2015,Argentina,13,Ma'a Nonu,y,73
17/07/2015,Argentina,11,Salesi Piutau,y,80
17/07/2015,Argentina,17,Wyatt Crockett,n,20
25/07/2015,South Africa,16,Codie Taylor,n,17
25/07/2015,South Africa,1,Tony Woodcock,y,50
25/07/2015,South Africa,3,Owen Franks,y,57
25/07/2015,South Africa,6,Liam Messam,y,57
25/07/2015,South Africa,19,Samuel Whitelock,n,40
25/07/2015,South Africa,4,Brodie Retallick,y,80
25/07/2015,South Africa,14,Ben Smith,y,80
25/07/2015,South Africa,15,Israel Dagg,y,52
25/07/2015,South Africa,23,Malakai Fekitoa,n,33
25/07/2015,South Africa,2,Dane Coles,y,63
25/07/2015,South Africa,5,James Broadhurst,y,40
25/07/2015,South Africa,7,Richie McCaw,y,80
25/07/2015,South Africa,9,Aaron Smith,y,65
25/07/2015,South Africa,18,Ben Franks,n,23
25/07/2015,South Africa,20,Victor Vito,n,23
25/07/2015,South Africa,21,TJ Perenara,n,15
25/07/2015,South Africa,10,Lima Sopoaga,y,80
25/07/2015,South Africa,8,Kieran Read,y,80
25/07/2015,South Africa,13,Conrad Smith,y,80
25/07/2015,South Africa,22,Beauden Barrett,n,28
25/07/2015,South Africa,12,Ma'a Nonu,y,47
25/07/2015,South Africa,11,Salesi Piutau,y,80
25/07/2015,South Africa,17,Wyatt Crockett,n,30
08/08/2015,Australia,12,Sonny Bill Williams,y,55
08/08/2015,Australia,16,Codie Taylor,n,11
08/08/2015,Australia,1,Tony Woodcock,y,74
08/08/2015,Australia,3,Owen Franks,y,45
08/08/2015,Australia,19,Samuel Whitelock,n,25
08/08/2015,Australia,5,Brodie Retallick,y,80
08/08/2015,Australia,15,Ben Smith,y,62
08/08/2015,Australia,4,Luke Romano,y,55
08/08/2015,Australia,11,Julian Savea,y,80
08/08/2015,Australia,23,Malakai Fekitoa,n,25
08/08/2015,Australia,6,Jerome Kaino,y,74
08/08/2015,Australia,2,Dane Coles,y,69
08/08/2015,Australia,7,Richie McCaw,y,80
08/08/2015,Australia,9,Aaron Smith,y,78
08/08/2015,Australia,17,Ben Franks,n,6
08/08/2015,Australia,18,Nepo Laulala,n,35
08/08/2015,Australia,21,TJ Perenara,n,2
08/08/2015,Australia,8,Kieran Read,y,80
08/08/2015,Australia,20,Sam Cane,n,6
08/08/2015,Australia,13,Conrad Smith,y,80
08/08/2015,Australia,22,Beauden Barrett,n,18
08/08/2015,Australia,10,Daniel Carter,y,80
08/08/2015,Australia,14,Nehe Milner-Skudder,y,80
15/08/2015,Australia,22,Colin Slade,n,28
15/08/2015,Australia,1,Tony Woodcock,y,52
15/08/2015,Australia,3,Owen Franks,y,63
15/08/2015,Australia,5,Samuel Whitelock,y,80
15/08/2015,Australia,4,Brodie Retallick,y,80
15/08/2015,Australia,15,Ben Smith,y,80
15/08/2015,Australia,16,Keven Mealamu,n,13
15/08/2015,Australia,11,Julian Savea,y,80
