player,dob,caps,position_last_seen,shirt_last_seen,last_match_date,last_opposition
Aaron Smith,1988-11-21,125,Scrum Half,9,28/10/2023,South Africa
Aidan Ross,1995-10-25,4,Replacement,17,09/07/2022,Ireland
Akira Ioane,1995-06-16,21,Flanker,6,13/11/2022,Scotland
Alex Hodgman,1993-07-16,5,Replacement,17,14/11/2020,Argentina
Angus Ta'avao,1990-03-22,23,Prop,3,06/08/2022,South Africa
Anton Lienert-Brown,1995-04-15,90,Replacement,22,18/07/2026,Ireland
Anton Segner,2001-09-24,2,Replacement,19,18/07/2026,Ireland
Ardie Savea,1993-10-14,109,Number 8,8,18/07/2026,Ireland
Asafo Aumua,1997-05-05,22,Replacement,16,18/07/2026,Ireland
Atunaisa Moli,1995-06-12,7,Replacement,17,01/11/2019,Wales
Beauden Barrett,1991-05-27,144,Fly Half,10,15/11/2025,England
Ben Smith,1986-06-01,84,Wing,14,01/11/2019,Wales
Billy Proctor,1999-05-14,13,Centre,13,11/07/2026,Italy
Brad Weber,1991-01-17,18,Replacement,21,05/11/2022,Wales
Braydon Ennor,1997-07-16,9,Centre,13,05/08/2023,Australia
Brodie McAlister,1997-06-17,2,Replacement,16,13/09/2025,South Africa
Brodie Retallick,1991-05-31,109,Lock,4,28/10/2023,South Africa
Caleb Clarke,1999-03-29,35,Replacement,23,18/07/2026,Ireland
Cam Roigard,2000-11-16,20,Scrum Half,9,18/07/2026,Ireland
Christian Lio-Willie,1998-08-26,3,Replacement,20,22/11/2025,Wales
Codie Taylor,1991-03-31,109,Hooker,2,18/07/2026,Ireland
Cortez Ratima,2001-03-22,24,Replacement,21,18/07/2026,Ireland
Cullen Grace,1999-12-20,1,Replacement,20,07/11/2020,Australia
Dallas Mcleod,1999-04-30,1,Replacement,23,05/08/2023,Australia
Dalton Papali'i,1997-10-11,37,Replacement,19,19/07/2025,France
Damian McKenzie,1995-04-20,77,Full Back,15,18/07/2026,Ireland
Dane Coles,1986-12-10,90,Replacement,16,14/10/2023,Ireland
David Havili,1994-12-23,30,Replacement,22,23/11/2024,Italy
Du'Plessis Kirifi,1997-03-03,8,Flanker,7,22/11/2025,Wales
Emoni Narawa,1999-07-03,4,Wing,14,06/09/2025,South Africa
Ethan Blackadder,1995-03-22,14,Flanker,6,31/08/2024,South Africa
Ethan de Groot,1998-07-22,43,Prop,1,18/07/2026,Ireland
Fabian Holland,2002-10-09,12,Lock,5,22/11/2025,Wales
Fehi Fineanganofo,2002-08-31,1,Replacement,23,04/07/2026,France
Finlay Christie,1995-09-19,28,Replacement,21,22/11/2025,Wales
Fletcher Newell,2000-03-01,37,Replacement,18,18/07/2026,Ireland
Folau Fakatava,1999-12-16,2,Replacement,21,16/07/2022,Ireland
George Bell,2002-01-29,4,Replacement,16,22/11/2025,Wales
George Bower,1992-05-28,26,Replacement,17,11/07/2026,Italy
George Bridge,1995-04-01,19,Wing,11,20/11/2021,France
Harry Plummer,1998-06-19,1,Replacement,23,21/09/2024,Australia
Hoskins Sotutu,1998-07-12,14,Replacement,20,19/11/2022,England
Jack Goodhue,1995-06-13,18,Centre,12,28/11/2020,Argentina
Jackson Hemopo,1993-11-14,5,Replacement,19,17/08/2019,Australia
Jamie Hannah,2002-10-31,1,Replacement,19,04/07/2026,France
Joe Moody,1988-09-17,57,Prop,1,20/11/2021,France
Jordie Barrett,1997-02-17,81,Centre,12,18/07/2026,Ireland
Josh Ioane,1995-07-11,1,Replacement,22,07/09/2019,Tonga
Josh Lord,2001-01-17,15,Lock,4,18/07/2026,Ireland
Josh Moorby,1998-07-11,2,Wing,11,18/07/2026,Ireland
Karl Tu'inukuafe,1993-02-21,27,Replacement,17,16/07/2022,Ireland
Kieran Read,1985-10-26,127,Number 8,8,01/11/2019,Wales
Kyle Preston,1999-09-13,1,Replacement,21,06/09/2025,South Africa
