date,year,coach,opposition,tournament,test,h / a,nz irb,opp irb,irb difference,higher / lower,result,points scored ,points conceded,difference,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
08/07/2015,2015,sh,samoa,tour,yes,a,1,9,8,,w,25,16,9,woodcock,mealamu,"franks, o",romano,"whitelock, s",kaino,mccaw,read,ellis,"carter, d",piutau,"williams, s",crotty,moala,dagg,elliot,crockett,laulala,retallick,todd,weber,slade,ngatai
17/07/2015,2015,sh,argentina,rc,yes,h,1,8,7,,w,39,18,21,woodcock,mealamu,"franks, o",romano,retallick,kaino,mccaw,read,perenara,"carter, d",piutau,"williams, s",nonu,naholo,dagg,taylor,crockett,laulala,thrush,messam,ellis,slade,crotty
25/07/2015,2015,sh,sa,rc,yes,a,1,2,1,,w,27,20,7,woodcock,coles,"franks, o",retallick,broadhurst,messam,mccaw,read,"smith, a",sopoaga,piutau,nonu,"smith, c","smith, b",dagg,taylor,crockett,"franks, b","whitelock, s",vito,perenara,"barrett, b",fekitoa
08/08/2015,2015,sh,australia,rc,yes,a,1,5,4,,l,19,27,-8,woodcock,coles,"franks, o",romano,retallick,kaino,mccaw,read,"smith, a","carter, d","savea, j","williams, s","smith, c",milner-skudder,"smith, b",taylor,"franks, b",laulala,"whitelock, s",cane,perenara,"barrett, b",fekitoa
15/08/2015,2015,sh,australia,rc,yes,h,1,3,2,,w,41,13,28,woodcock,coles,"franks, o",retallick,"whitelock, s",vito,mccaw,read,"smith, a","carter, d","savea, j",nonu,"smith, c",milner-skudder,"smith, b",mealamu,crockett,laulala,kaino,cane,perenara,slade,fekitoa
20/09/2015,2015,sh,argentina,wc,yes,n,1,8,7,,w,26,16,10,woodcock,coles,"franks, o",retallick,"whitelock, s",kaino,mccaw,read,"smith, a","carter, d","savea, j",nonu,"smith, c",milner-skudder,"smith, b",mealamu,crockett,faumuina,vito,cane,perenara,"barrett, b","williams, s"
24/09/2015,2015,sh,namibia,wc,yes,n,1,19,18,,w,58,14,44,"franks, b",taylor,faumuina,romano,"whitelock, s",kaino,cane,vito,perenara,"barrett, b","savea, j","williams, s",fekitoa,milner-skudder,slade,mealamu,crockett,woodcock,read,mccaw,kerr-barlow,nonu,"smith, b"
02/10/2015,2015,sh,georgia,wc,yes,n,1,15,14,,w,43,10,33,crockett,coles,faumuina,retallick,"whitelock, s",kaino,mccaw,read,"smith, a","carter, d","savea, j","williams, s","smith, c",naholo,"smith, b",mealamu,woodcock,"franks, o",vito,cane,kerr-barlow,perenara,fekitoa
09/10/2015,2015,sh,tonga,wc,yes,n,1,12,11,,w,47,9,38,woodcock,coles,"franks, o",romano,"whitelock, s",kaino,cane,read,"smith, a","carter, d",naholo,nonu,"smith, c",milner-skudder,"smith, b",mealamu,crockett,"franks, b",retallick,messam,kerr-barlow,"barrett, b","williams, s"
17/10/2015,2015,sh,france,wc,yes,n,1,7,6,,w,62,13,49,crockett,coles,"franks, o",retallick,"whitelock, s",kaino,mccaw,read,"smith, a","carter, d","savea, j",nonu,"smith, c",milner-skudder,"smith, b",mealamu,moody,faumuina,vito,cane,kerr-barlow,"barrett, b","williams, s"
