date,opposition,shirt,player,dob,age_on_matchday
07/02/2015,France,7,Blair Cowan,1986-04-21,28.8
07/02/2015,France,11,Tim Visser,1987-05-29,27.7
07/02/2015,France,22,Pete Horne,1989-10-05,25.34
07/02/2015,France,13,Mark Bennett,1993-02-03,22.01
07/02/2015,France,17,Gordon Reid,1987-03-04,27.93
07/02/2015,France,1,Alasdair Dickinson,1983-09-11,31.41
07/02/2015,France,16,Fraser Brown,1989-06-20,25.64
07/02/2015,France,2,Ross Ford,1984-04-23,30.79
07/02/2015,France,14,Tommy Seymour,1988-07-01,26.6
07/02/2015,France,9,Greig Laidlaw,1985-10-12,29.32
07/02/2015,France,12,Alex Dunbar,1990-04-23,24.79
07/02/2015,France,18,Geoff Cross,1982-12-11,32.16
07/02/2015,France,10,Finn Russell,1992-09-23,22.37
07/02/2015,France,4,Richie Gray,1989-08-24,25.46
07/02/2015,France,6,Rob Harley,1990-05-26,24.7
07/02/2015,France,8,Johnnie Beattie,1985-11-21,29.21
07/02/2015,France,23,Dougie Fife,1990-08-08,24.5
07/02/2015,France,20,Alasdair Strokosch,1983-02-21,31.96
07/02/2015,France,21,Sam Hidalgo-Clyne,1993-08-04,21.51
07/02/2015,France,3,Euan Murray,1980-08-07,34.5
07/02/2015,France,15,Stuart Hogg,1992-06-24,22.62
07/02/2015,France,5,Jonny Gray,1994-03-14,20.9
07/02/2015,France,19,Jim Hamilton,1982-11-17,32.23
15/02/2015,Wales,7,Blair Cowan,1986-04-21,28.82
15/02/2015,Wales,11,Tim Visser,1987-05-29,27.72
15/02/2015,Wales,13,Mark Bennett,1993-02-03,22.03
15/02/2015,Wales,17,Gordon Reid,1987-03-04,27.95
15/02/2015,Wales,1,Alasdair Dickinson,1983-09-11,31.43
15/02/2015,Wales,16,Fraser Brown,1989-06-20,25.66
15/02/2015,Wales,2,Ross Ford,1984-04-23,30.82
15/02/2015,Wales,9,Greig Laidlaw,1985-10-12,29.34
15/02/2015,Wales,12,Alex Dunbar,1990-04-23,24.82
