date,opposition,shirt,player,started,minutes
07/02/2015,France,7,Blair Cowan,y,73
07/02/2015,France,11,Tim Visser,y,80
07/02/2015,France,22,Pete Horne,n,12
07/02/2015,France,13,Mark Bennett,y,80
07/02/2015,France,17,Gordon Reid,n,15
07/02/2015,France,1,Alasdair Dickinson,y,65
07/02/2015,France,16,Fraser Brown,n,12
07/02/2015,France,2,Ross Ford,y,68
07/02/2015,France,14,Tommy Seymour,y,17
07/02/2015,France,9,Greig Laidlaw,y,79
07/02/2015,France,12,Alex Dunbar,y,68
07/02/2015,France,18,Geoff Cross,n,15
07/02/2015,France,10,Finn Russell,y,80
07/02/2015,France,4,Richie Gray,y,65
07/02/2015,France,6,Rob Harley,y,60
07/02/2015,France,8,Johnnie Beattie,y,80
07/02/2015,France,23,Dougie Fife,n,63
07/02/2015,France,20,Alasdair Strokosch,n,27
07/02/2015,France,21,Sam Hidalgo-Clyne,n,1
07/02/2015,France,3,Euan Murray,y,65
07/02/2015,France,15,Stuart Hogg,y,80
07/02/2015,France,5,Jonny Gray,y,80
07/02/2015,France,19,Jim Hamilton,n,15
15/02/2015,Wales,7,Blair Cowan,y,80
15/02/2015,Wales,11,Tim Visser,y,80
15/02/2015,Wales,13,Mark Bennett,y,80
15/02/2015,Wales,17,Gordon Reid,n,3
15/02/2015,Wales,1,Alasdair Dickinson,y,77
15/02/2015,Wales,16,Fraser Brown,n,8
15/02/2015,Wales,2,Ross Ford,y,72
15/02/2015,Wales,9,Greig Laidlaw,y,72
15/02/2015,Wales,12,Alex Dunbar,y,59
15/02/2015,Wales,3,Geoff Cross,y,50
15/02/2015,Wales,10,Finn Russell,y,80
15/02/2015,Wales,4,Richie Gray,y,57
15/02/2015,Wales,6,Rob Harley,y,80
15/02/2015,Wales,8,Johnnie Beattie,y,59
15/02/2015,Wales,20,Alasdair Strokosch,n,21
15/02/2015,Wales,14,Sean Lamont,y,80
15/02/2015,Wales,21,Sam Hidalgo-Clyne,n,8
15/02/2015,Wales,15,Stuart Hogg,y,80
15/02/2015,Wales,22,Greig Tonks,n,0
15/02/2015,Wales,18,Jon Welsh,n,30
15/02/2015,Wales,23,Matt Scott,n,21
15/02/2015,Wales,5,Jonny Gray,y,80
15/02/2015,Wales,19,Jim Hamilton,n,23
28/02/2015,Italy,7,Blair Cowan,y,80
28/02/2015,Italy,10,Pete Horne,y,79
28/02/2015,Italy,13,Mark Bennett,y,67
28/02/2015,Italy,1,Alasdair Dickinson,y,67
28/02/2015,Italy,16,Fraser Brown,n,13
28/02/2015,Italy,17,Ryan Grant,n,13
28/02/2015,Italy,20,Hamish Watson,n,29
28/02/2015,Italy,2,Ross Ford,y,67
28/02/2015,Italy,14,Tommy Seymour,y,80
28/02/2015,Italy,9,Greig Laidlaw,y,75
28/02/2015,Italy,12,Alex Dunbar,y,80
28/02/2015,Italy,18,Geoff Cross,n,5
28/02/2015,Italy,6,Rob Harley,y,80
28/02/2015,Italy,8,Johnnie Beattie,y,51
