player,dob,caps,position_last_seen,shirt_last_seen,last_match_date,last_opposition
Adam Hastings,1996-10-05,36,Replacement,22,14/02/2026,England
Alec Hepburn,1993-03-30,11,Replacement,17,12/07/2025,Fiji
Alex Allan,1992-02-28,8,Replacement,17,23/02/2019,France
Alex Craig,1997-04-26,7,Replacement,19,14/03/2026,Ireland
Alex Samuel,2002-12-27,4,Replacement,19,04/07/2026,Argentina
Alexander Masibaka,2001-08-09,0,Replacement,21,05/07/2025,Maori All Blacks
Ali Price,1993-05-12,72,Scrum Half,9,02/11/2024,Fiji
Allan Dell,1992-03-16,34,Replacement,17,19/03/2022,Ireland
Andy Onyeama Christie,1999-03-22,10,Flanker,6,23/11/2025,Tonga
Arron Reed,1999-07-10,4,Wing,11,18/07/2025,Samoa
Ben Healy,1999-06-29,8,Fly Half,10,27/07/2024,Uruguay
Ben Muncaster,2001-10-14,3,Replacement,21,18/07/2025,Samoa
Ben Toolis,1992-03-31,26,Replacement,19,31/10/2020,Wales
Ben Vellacott,1995-03-28,1,Replacement,21,12/03/2022,Italy
Ben White,1998-05-27,38,Scrum Half,9,11/07/2026,South Africa
Blade Thomson,1990-12-04,10,Flanker,6,13/02/2021,Wales
Blair Cowan,1986-04-21,18,Replacement,20,05/12/2020,Ireland
Blair Kinghorn,1997-01-18,67,Full Back,15,14/03/2026,Ireland
Byron McGuigan,1989-08-20,10,Replacement,23,22/02/2020,Italy
Cam Redpath,1999-12-23,15,Centre,13,12/07/2025,Fiji
Cameron Henderson,2000-01-13,2,Replacement,19,18/07/2025,Samoa
Chris Harris,1990-12-28,47,Centre,13,30/09/2023,Romania
Cornell Du Preez,1991-03-23,9,Replacement,20,31/10/2020,Wales
D'arcy Rae,1994-12-21,8,Prop,3,18/07/2026,Fiji
Damien Hoyland,1994-01-11,5,Replacement,23,29/10/2022,Australia
Darcy Graham,1997-06-21,57,Wing,14,18/07/2026,Fiji
Dave Cherry,1991-01-03,18,Hooker,2,21/02/2026,Wales
Duhan van der Merwe,1995-06-04,58,Wing,11,18/07/2026,Fiji
Duncan Taylor,1989-09-05,28,Centre,12,05/12/2020,Ireland
Duncan Weir,1991-05-10,30,Fly Half,10,22/11/2020,France
Dylan Richardson,1999-01-15,7,Flanker,7,01/11/2025,USA
Elliot Millar Mills,1992-07-08,15,Prop,3,04/07/2026,Argentina
Ewan Ashman,2000-04-03,37,Hooker,2,11/07/2026,South Africa
Ewan Johnson,1999-06-27,5,Replacement,19,15/03/2025,France
Fergus Burke,1999-09-03,5,Fly Half,10,18/07/2026,Fiji
Finlay Richardson,1998-09-16,1,Replacement,18,18/07/2025,Samoa
Finn Russell,1992-09-23,99,Fly Half,10,11/07/2026,South Africa
Fraser Brown,1989-06-20,61,Replacement,16,12/03/2023,Ireland
Freddy Douglas,2005-05-14,3,Flanker,7,18/07/2026,Fiji
Gary Graham,1992-08-29,4,Replacement,20,13/02/2021,Wales
George Horne,1995-05-12,47,Scrum Half,9,18/07/2026,Fiji
George Turner,1992-10-08,55,Hooker,2,14/03/2026,Ireland
Glen Young,1994-11-04,4,Lock,5,06/07/2024,Canada
Gordon Reid,1987-03-04,41,Replacement,17,13/10/2019,Japan
Grant Gilchrist,1990-08-09,88,Lock,5,14/03/2026,Ireland
Grant Stewart,1995-02-28,3,Replacement,16,06/09/2019,Georgia
Gregor Brown,2001-07-01,19,Number 8,8,18/07/2026,Fiji
Gregor Hiddleston,2002-02-26,3,Hooker,2,18/07/2026,Fiji
Greig Laidlaw,1985-10-12,76,Scrum Half,9,13/10/2019,Japan
Gus Warr,1999-09-24,2,Scrum Half,9,20/07/2024,Chile
Hamish Watson,1991-10-15,60,Flanker,7,30/09/2023,Romania
Harri Morris,2001-03-10,1,Replacement,16,01/11/2025,USA
Harry Paterson,2001-06-28,3,Wing,14,05/07/2025,Maori All Blacks
Henry Pyrgos,1989-07-09,28,Replacement,22,09/10/2019,Russia
Huw Jones,1993-12-17,66,Centre,13,14/03/2026,Ireland
Jack Dempsey,1994-04-12,49,Number 8,8,11/07/2026,South Africa
Jaco van der Walt,1994-02-01,2,Replacement,22,20/03/2021,Italy
Jake Kerr,1996-04-13,1,Replacement,16,02/02/2019,Italy
James Lang,1995-04-04,6,Centre,12,13/02/2021,Wales
Jamie Bhatti,1993-09-08,36,Replacement,17,22/02/2025,England
Jamie Dobie,2001-06-07,22,Replacement,22,18/07/2026,Fiji
Jamie Hodgson,1998-03-19,5,Replacement,19,12/03/2022,Italy
Jamie Ritchie,1996-08-16,62,Flanker,6,14/02/2026,England
Javan Sebastian,1994-09-02,10,Prop,3,27/07/2024,Uruguay
John Barclay,1986-09-24,76,Flanker,6,09/10/2019,Russia
Johnny Matthews,1993-07-05,2,Replacement,16,16/11/2024,Portugal
Jonny Gray,1994-03-14,83,Lock,4,18/07/2026,Fiji
Josh Bayliss,1997-09-18,18,Flanker,6,18/07/2026,Fiji
Josh Strauss,1986-10-23,24,Replacement,20,31/08/2019,Georgia
Kyle Rowe,1998-02-08,19,Full Back,15,11/07/2026,South Africa
Kyle Steyn,1994-01-29,35,Wing,14,11/07/2026,South Africa
Liam McConnell,2004-06-24,2,Replacement,20,18/07/2026,Fiji
Luke Crosbie,1997-04-22,12,Flanker,6,16/11/2024,Portugal
Magnus Bradbury,1995-08-23,24,Replacement,21,18/07/2026,Fiji
Mark Bennett,1993-02-03,29,Replacement,23,13/11/2022,New Zealand
Marshall Sykes,1999-12-29,7,Replacement,19,23/11/2025,Tonga
Matt Fagerson,1998-07-16,66,Flanker,6,11/07/2026,South Africa
Matt Scott,1990-09-30,40,Centre,12,13/11/2021,South Africa
Matthew Currie,2001-02-22,4,Replacement,22,16/11/2024,Portugal
Max Williamson,2002-08-05,15,Lock,5,18/07/2026,Fiji
Murphy Walker,1999-10-25,6,Replacement,18,01/11/2025,USA
Nathan McBeth,1998-06-08,8,Prop,1,21/02/2026,Wales
Nick Grigg,1992-09-18,9,Centre,13,16/03/2019,England
Nick Haining,1990-09-01,11,Flanker,7,26/02/2022,France
Oli Kebble,1992-06-18,12,Replacement,17,26/02/2022,France
Ollie Smith,2000-08-07,13,Centre,13,18/07/2026,Fiji
Patrick Harrison,2002-06-20,4,Hooker,2,01/11/2025,USA
Pete Horne,1989-10-05,45,Replacement,22,13/10/2019,Japan
Pierre Schoeman,1994-05-07,52,Replacement,17,18/07/2026,Fiji
Richie Gray,1989-08-24,80,Lock,4,03/02/2024,Wales
Rob Harley,1990-05-26,23,Lock,5,30/10/2021,Tonga
Robbie Smith,1998-09-26,2,Replacement,16,12/07/2024,USA
Rory Darge,2000-02-23,41,Flanker,7,11/07/2026,South Africa
Rory Hutchinson,1996-01-29,13,Centre,13,11/07/2026,South Africa
Rory Sutherland,1992-08-24,54,Prop,1,18/07/2026,Fiji
Ross McCann,1997-10-30,1,Replacement,23,06/07/2024,Canada
Ross Thompson,1999-04-10,6,Replacement,23,01/11/2025,USA
Rufus McLean,2000-03-02,10,Wing,14,16/07/2022,Argentina
Ryan Wilson,1989-05-18,50,Replacement,20,26/03/2021,France
