date,year,coach,opposition,tournament,test,h / a,scotland irb,opp irb,irb difference,higher / lower,result,points scored ,points conceded,difference,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
02/02/2019,2019,gt,italy,6n,yes,h,7,15,8,,w,33,20,13,dell,mcinally,nel,toolis,gilchrist,skinner,ritchie,wilson,laidlaw,russell,kinghorn,"johnson, s",jones,seymour,hogg,kerr,bhatti,berghan,"graham, g",strauss,price,hastings,harris
09/02/2019,2019,gt,ireland,6n,yes,h,7,2,-5,,l,13,22,-9,dell,mcinally,berghan,gilchrist,"gray, j",wilson,ritchie,strauss,laidlaw,russell,maitland,"johnson, s",jones,seymour,hogg,"brown, f",bhatti,rae,toolis,harley,price,"horne, p",kinghorn
23/02/2019,2019,gt,france,6n,yes,a,7,10,3,,l,10,27,-17,dell,mcinally,berghan,gilchrist,"gray, j",bradbury,ritchie,strauss,laidlaw,"horne, p",maitland,"johnson, s",grigg,seymour,kinghorn,"brown, f",allan,"fagerson, z",toolis,"graham, g",price,hastings,"graham, d"
09/03/2019,2019,gt,wales,6n,yes,h,7,3,-4,,l,11,18,-7,dell,mcinally,nel,gilchrist,"gray, j",bradbury,ritchie,strauss,price,russell,"graham, d","horne, p",grigg,seymour,kinghorn,"brown, f",reid,berghan,toolis,watson,laidlaw,hastings,mcguigan
16/03/2019,2019,gt,england,6n,yes,a,7,4,-3,,d,38,38,0,dell,mcinally,nel,toolis,gilchrist,skinner,watson,bradbury,price,russell,mcguigan,"johnson, s",grigg,"graham, d",maitland,"brown, f",reid,berghan,"gray, j",strauss,laidlaw,hastings,harris
17/08/2019,2019,gt,france,friendly,yes,a,7,8,1,,l,3,32,-29,bhatti,mcinally,berghan,toolis,gilchrist,barclay,ritchie,strauss,price,hastings,mcguigan,taylor,jones,"graham, d",hogg,turner,reid,"fagerson, z",cummings,"fagerson, m","horne, g",hutchinson,kinghorn
24/08/2019,2019,gt,france,friendly,yes,h,8,7,-1,,w,17,14,3,reid,turner,nel,cummings,skinner,wilson,watson,thomson,laidlaw,russell,maitland,"horne, p",harris,seymour,hogg,stewart,dell,berghan,gilchrist,barclay,"horne, g",hutchinson,kinghorn
31/08/2019,2019,gt,georgia,friendly,yes,a,7,12,5,,w,44,10,34,dell,mcinally,nel,toolis,gilchrist,barclay,watson,"fagerson, m",laidlaw,russell,maitland,"johnson, s",hutchinson,"graham, d",kinghorn,stewart,bhatti,"fagerson, z",cummings,strauss,price,hastings,jones
06/09/2019,2019,gt,georgia,friendly,yes,h,7,12,5,,w,36,9,27,reid,turner,"fagerson, z",cummings,"gray, j",wilson,ritchie,thomson,price,hastings,"graham, d","johnson, s",taylor,seymour,kinghorn,stewart,dell,berghan,toolis,bradbury,"horne, g","horne, p",harris
22/09/2019,2019,gt,ireland,wc,yes,n,7,1,-6,,l,3,27,-24,dell,mcinally,nel,gilchrist,"gray, j",barclay,watson,wilson,laidlaw,russell,maitland,"johnson, s",taylor,seymour,hogg,"brown, f",reid,berghan,cummings,thomson,price,harris,"graham, d"
30/09/2019,2019,gt,samoa,wc,yes,n,8,16,8,,w,34,0,34,dell,mcinally,nel,gilchrist,"gray, j",bradbury,ritchie,thomson,laidlaw,russell,maitland,"johnson, s",harris,"graham, d",hogg,"brown, f",reid,"fagerson, z",cummings,wilson,"horne, g",hastings,taylor
09/10/2019,2019,gt,russia,wc,yes,n,9,20,11,,w,61,0,61,reid,turner,"fagerson, z",cummings,toolis,barclay,"brown, f",wilson,"horne, g",hastings,"graham, d","horne, p",taylor,seymour,kinghorn,mcinally,berghan,nel,gilchrist,bradbury,ritchie,pyrgos,harris
13/10/2019,2019,gt,japan,wc,yes,n,9,8,-1,,l,21,28,-7,dell,"brown, f",nel,gilchrist,"gray, j",bradbury,ritchie,thomson,laidlaw,russell,"graham, d","johnson, s",harris,seymour,hogg,mcinally,reid,"fagerson, z",cummings,wilson,"horne, g","horne, p",kinghorn
01/02/2020,2020,gt,ireland,6n,yes,a,9,5,-4,,l,12,19,-7,sutherland,"brown, f","fagerson, z",cummings,"gray, j",ritchie,watson,haining,price,hastings,kinghorn,"johnson, s",jones,maitland,hogg,mcinally,dell,nel,toolis,du preez,"horne, g",hutchinson,harris
08/02/2020,2020,gt,england,6n,yes,h,9,3,-6,,l,6,13,-7,sutherland,"brown, f","fagerson, z",cummings,"gray, j",ritchie,watson,bradbury,price,hastings,kinghorn,"johnson, s",jones,maitland,hogg,mcinally,dell,berghan,toolis,haining,"horne, g",hutchinson,harris
22/02/2020,2020,gt,italy,6n,yes,a,9,13,4,,w,17,0,17,sutherland,mcinally,"fagerson, z",toolis,cummings,ritchie,watson,bradbury,price,hastings,kinghorn,"johnson, s",harris,maitland,hogg,"brown, f",dell,nel,gilchrist,"fagerson, m","horne, g",hutchinson,mcguigan
08/03/2020,2020,gt,france,6n,yes,h,8,5,-3,,w,28,17,11,sutherland,"brown, f","fagerson, z",cummings,gilchrist,ritchie,watson,haining,price,hastings,kinghorn,"johnson, s",harris,maitland,hogg,mcinally,dell,nel,skinner,bradbury,"horne, g",weir,steyn
