date,opposition,shirt,player,dob,age_on_matchday
18/07/2015,Australia,3,Jannie Du Plessis,1982-11-16,32.67
18/07/2015,Australia,11,Bryan Habana,1983-06-12,32.1
18/07/2015,Australia,16,Adriaan Strauss,1985-11-18,29.66
18/07/2015,Australia,20,Teboho Mohoje,1990-08-03,24.96
18/07/2015,Australia,17,Heinke van der Merwe,1985-05-03,30.21
18/07/2015,Australia,10,Handre Pollard,1994-03-11,21.35
18/07/2015,Australia,18,Frans Malherbe,1991-03-14,24.35
18/07/2015,Australia,13,Jesse Kriel,1994-02-15,21.42
18/07/2015,Australia,2,Bismarck Du Plessis,1984-05-22,31.15
18/07/2015,Australia,22,Pat Lambie,1990-10-17,24.75
18/07/2015,Australia,12,Damian de Allende,1991-11-25,23.64
18/07/2015,Australia,1,Tendai Mtawarira,1985-08-01,29.96
18/07/2015,Australia,4,Eben Etzebeth,1991-10-29,23.72
18/07/2015,Australia,9,Ruan Pienaar,1984-03-10,31.35
18/07/2015,Australia,5,Victor Matfield,1977-05-11,38.19
18/07/2015,Australia,7,Marcell Coetzee,1991-05-08,24.19
18/07/2015,Australia,21,Cobus Reinach,1990-02-07,25.44
18/07/2015,Australia,14,JP Pietersen,1986-07-12,29.02
18/07/2015,Australia,15,Willie Le Roux,1989-08-18,25.91
18/07/2015,Australia,19,Lodewyk De Jager,1992-12-17,22.58
18/07/2015,Australia,23,Lwazi Mvovo,1986-06-03,29.12
18/07/2015,Australia,8,Schalk Burger,1983-04-13,32.26
18/07/2015,Australia,6,Francois Louw,1985-06-15,30.09
25/07/2015,New Zealand,3,Jannie Du Plessis,1982-11-16,32.69
25/07/2015,New Zealand,11,Bryan Habana,1983-06-12,32.12
25/07/2015,New Zealand,16,Adriaan Strauss,1985-11-18,29.68
25/07/2015,New Zealand,10,Handre Pollard,1994-03-11,21.37
25/07/2015,New Zealand,13,Jesse Kriel,1994-02-15,21.44
25/07/2015,New Zealand,2,Bismarck Du Plessis,1984-05-22,31.17
25/07/2015,New Zealand,22,Pat Lambie,1990-10-17,24.77
25/07/2015,New Zealand,14,Cornal Hendricks,1988-04-18,27.27
25/07/2015,New Zealand,12,Damian de Allende,1991-11-25,23.66
25/07/2015,New Zealand,1,Tendai Mtawarira,1985-08-01,29.98
25/07/2015,New Zealand,6,Heinrich Brussow,1986-07-21,29.01
