date,opposition,shirt,player,started,minutes
18/07/2015,Australia,3,Jannie Du Plessis,y,44
18/07/2015,Australia,11,Bryan Habana,y,80
18/07/2015,Australia,16,Adriaan Strauss,n,30
18/07/2015,Australia,20,Teboho Mohoje,n,21
18/07/2015,Australia,17,Heinke van der Merwe,n,30
18/07/2015,Australia,10,Handre Pollard,y,68
18/07/2015,Australia,18,Frans Malherbe,n,36
18/07/2015,Australia,13,Jesse Kriel,y,77
18/07/2015,Australia,2,Bismarck Du Plessis,y,50
18/07/2015,Australia,22,Pat Lambie,n,12
18/07/2015,Australia,12,Damian de Allende,y,80
18/07/2015,Australia,1,Tendai Mtawarira,y,50
18/07/2015,Australia,4,Eben Etzebeth,y,80
18/07/2015,Australia,9,Ruan Pienaar,y,68
18/07/2015,Australia,5,Victor Matfield,y,18
18/07/2015,Australia,7,Marcell Coetzee,y,70
18/07/2015,Australia,21,Cobus Reinach,n,12
18/07/2015,Australia,14,JP Pietersen,y,80
18/07/2015,Australia,15,Willie Le Roux,y,80
18/07/2015,Australia,19,Lodewyk De Jager,n,62
18/07/2015,Australia,23,Lwazi Mvovo,n,3
18/07/2015,Australia,8,Schalk Burger,y,80
18/07/2015,Australia,6,Francois Louw,y,69
25/07/2015,New Zealand,3,Jannie Du Plessis,y,40
25/07/2015,New Zealand,11,Bryan Habana,y,80
25/07/2015,New Zealand,16,Adriaan Strauss,n,10
25/07/2015,New Zealand,10,Handre Pollard,y,80
25/07/2015,New Zealand,13,Jesse Kriel,y,78
25/07/2015,New Zealand,2,Bismarck Du Plessis,y,80
25/07/2015,New Zealand,22,Pat Lambie,n,17
25/07/2015,New Zealand,14,Cornal Hendricks,y,80
25/07/2015,New Zealand,12,Damian de Allende,y,80
25/07/2015,New Zealand,1,Tendai Mtawarira,y,70
25/07/2015,New Zealand,6,Heinrich Brussow,y,80
25/07/2015,New Zealand,23,Lionel Mapoe,n,2
25/07/2015,New Zealand,4,Eben Etzebeth,y,80
25/07/2015,New Zealand,9,Ruan Pienaar,y,75
25/07/2015,New Zealand,19,Flip Van Der Merwe,n,20
25/07/2015,New Zealand,20,Warren Whiteley,n,38
25/07/2015,New Zealand,17,Trevor Nyakane,n,18
25/07/2015,New Zealand,21,Cobus Reinach,n,5
25/07/2015,New Zealand,18,Vincent Koch,n,22
25/07/2015,New Zealand,15,Willie Le Roux,y,63
25/07/2015,New Zealand,5,Lodewyk De Jager,y,60
25/07/2015,New Zealand,8,Schalk Burger,y,80
25/07/2015,New Zealand,7,Francois Louw,y,42
08/08/2015,Argentina,17,Trevor Nyakane,n,18
08/08/2015,Argentina,18,Marcel Van Der Merwe,n,40
08/08/2015,Argentina,13,Jean De Villiers,y,80
08/08/2015,Argentina,21,Cobus Reinach,n,20
08/08/2015,Argentina,19,Pieter-Steph Du Toit,n,18
08/08/2015,Argentina,3,Vincent Koch,y,40
08/08/2015,Argentina,15,Willie Le Roux,y,80
08/08/2015,Argentina,5,Lodewyk De Jager,y,80
08/08/2015,Argentina,23,Lwazi Mvovo,n,14
08/08/2015,Argentina,8,Schalk Burger,y,80
08/08/2015,Argentina,11,Bryan Habana,y,80
08/08/2015,Argentina,16,Adriaan Strauss,n,23
08/08/2015,Argentina,10,Handre Pollard,y,66
08/08/2015,Argentina,14,Jesse Kriel,y,80
08/08/2015,Argentina,2,Bismarck Du Plessis,y,57
08/08/2015,Argentina,22,Pat Lambie,n,14
08/08/2015,Argentina,12,Damian de Allende,y,80
08/08/2015,Argentina,1,Tendai Mtawarira,y,62
08/08/2015,Argentina,6,Heinrich Brussow,y,63
08/08/2015,Argentina,20,Siya Kolisi,n,17
08/08/2015,Argentina,4,Eben Etzebeth,y,62
08/08/2015,Argentina,9,Ruan Pienaar,y,60
08/08/2015,Argentina,7,Marcell Coetzee,y,66
15/08/2015,Argentina,11,Bryan Habana,y,80
15/08/2015,Argentina,2,Adriaan Strauss,y,40
15/08/2015,Argentina,16,Schalk Brits,n,40
15/08/2015,Argentina,22,Handre Pollard,n,5
15/08/2015,Argentina,18,Frans Malherbe,n,31
15/08/2015,Argentina,23,Jan Serfontein,n,16
15/08/2015,Argentina,13,Jesse Kriel,y,80
15/08/2015,Argentina,10,Pat Lambie,y,75
15/08/2015,Argentina,12,Damian de Allende,y,64
15/08/2015,Argentina,17,Tendai Mtawarira,n,32
15/08/2015,Argentina,6,Heinrich Brussow,y,80
15/08/2015,Argentina,4,Eben Etzebeth,y,80
15/08/2015,Argentina,9,Ruan Pienaar,y,80
15/08/2015,Argentina,19,Flip Van Der Merwe,n,24
15/08/2015,Argentina,5,Victor Matfield,y,56
15/08/2015,Argentina,1,Trevor Nyakane,y,48
15/08/2015,Argentina,3,Marcel Van Der Merwe,y,49
15/08/2015,Argentina,21,Cobus Reinach,n,5
15/08/2015,Argentina,20,Pieter-Steph Du Toit,n,16
15/08/2015,Argentina,7,Willem Alberts,y,64
15/08/2015,Argentina,15,Zane Kirchner,y,75
15/08/2015,Argentina,14,Lwazi Mvovo,y,80
15/08/2015,Argentina,8,Schalk Burger,y,80
19/09/2015,Japan,3,Jannie Du Plessis,y,54
19/09/2015,Japan,14,Bryan Habana,y,80
19/09/2015,Japan,16,Adriaan Strauss,n,27
19/09/2015,Japan,21,Fourie Du Preez,n,22
19/09/2015,Japan,22,Handre Pollard,n,22
19/09/2015,Japan,13,Jesse Kriel,y,80
19/09/2015,Japan,2,Bismarck Du Plessis,y,53
19/09/2015,Japan,10,Pat Lambie,y,58
19/09/2015,Japan,1,Tendai Mtawarira,y,54
19/09/2015,Japan,20,Siya Kolisi,n,23
19/09/2015,Japan,19,Eben Etzebeth,n,12
19/09/2015,Japan,9,Ruan Pienaar,y,58
19/09/2015,Japan,18,Coenie Oosthuizen,n,27
19/09/2015,Japan,5,Victor Matfield,y,80
19/09/2015,Japan,17,Trevor Nyakane,n,26
19/09/2015,Japan,12,Jean De Villiers,y,80
19/09/2015,Japan,23,JP Pietersen,n,10
19/09/2015,Japan,7,Pieter-Steph Du Toit,y,57
19/09/2015,Japan,15,Zane Kirchner,y,80
19/09/2015,Japan,4,Lodewyk De Jager,y,68
19/09/2015,Japan,11,Lwazi Mvovo,y,70
19/09/2015,Japan,8,Schalk Burger,y,80
19/09/2015,Japan,6,Francois Louw,y,80
26/09/2015,Samoa,3,Jannie Du Plessis,y,53
26/09/2015,Samoa,11,Bryan Habana,y,80
26/09/2015,Samoa,2,Adriaan Strauss,y,67
26/09/2015,Samoa,16,Schalk Brits,n,13
26/09/2015,Samoa,9,Fourie Du Preez,y,73
26/09/2015,Samoa,10,Handre Pollard,y,80
26/09/2015,Samoa,18,Frans Malherbe,n,27
26/09/2015,Samoa,23,Jesse Kriel,n,29
26/09/2015,Samoa,22,Pat Lambie,n,9
26/09/2015,Samoa,12,Damian de Allende,y,48
26/09/2015,Samoa,1,Tendai Mtawarira,y,61
26/09/2015,Samoa,20,Siya Kolisi,n,13
26/09/2015,Samoa,4,Eben Etzebeth,y,80
26/09/2015,Samoa,21,Ruan Pienaar,n,7
26/09/2015,Samoa,5,Victor Matfield,y,54
26/09/2015,Samoa,17,Trevor Nyakane,n,19
26/09/2015,Samoa,8,Duane Vermeulen,y,80
26/09/2015,Samoa,13,Jean De Villiers,y,75
26/09/2015,Samoa,14,JP Pietersen,y,80
26/09/2015,Samoa,15,Willie Le Roux,y,80
26/09/2015,Samoa,19,Lodewyk De Jager,n,26
26/09/2015,Samoa,7,Schalk Burger,y,67
26/09/2015,Samoa,6,Francois Louw,y,80
03/10/2015,Scotland,3,Jannie Du Plessis,y,50
03/10/2015,Scotland,11,Bryan Habana,y,80
03/10/2015,Scotland,16,Adriaan Strauss,n,24
03/10/2015,Scotland,9,Fourie Du Preez,y,77
03/10/2015,Scotland,10,Handre Pollard,y,80
03/10/2015,Scotland,18,Frans Malherbe,n,30
03/10/2015,Scotland,23,Jan Serfontein,n,5
03/10/2015,Scotland,13,Jesse Kriel,y,80
03/10/2015,Scotland,2,Bismarck Du Plessis,y,56
03/10/2015,Scotland,22,Pat Lambie,n,10
03/10/2015,Scotland,12,Damian de Allende,y,75
03/10/2015,Scotland,1,Tendai Mtawarira,y,60
03/10/2015,Scotland,4,Eben Etzebeth,y,80
03/10/2015,Scotland,21,Ruan Pienaar,n,3
03/10/2015,Scotland,17,Trevor Nyakane,n,20
03/10/2015,Scotland,8,Duane Vermeulen,y,80
