player,dob,caps,position_last_seen,shirt_last_seen,last_match_date,last_opposition
Andre Esterhuizen,1994-03-30,30,Replacement,22,04/07/2026,England
Andre-Hugo Venter,2001-09-10,2,Replacement,16,18/07/2026,Wales
Aphelele Fassi,1998-01-23,17,Full Back,15,18/07/2026,Wales
Asenathi Ntlabakanye,1999-04-15,3,Replacement,18,29/11/2025,Wales
Ben-Jason Dixon,1998-04-29,10,Replacement,19,18/07/2026,Wales
Boan Venter,1997-04-12,9,Prop,1,11/07/2026,Scotland
Cameron Hanekom,2002-05-10,2,Flanker,20,04/07/2026,England
Canan Moodie,2002-11-05,24,Replacement,23,04/07/2026,England
Carlu Sadie,1997-05-07,1,Prop,3,18/07/2026,Wales
Cheslin Kolbe,1993-10-28,50,Wing,14,04/07/2026,England
Cobus Reinach,1990-02-07,52,Scrum Half,9,18/07/2026,Wales
Cobus Wiese,1997-06-02,4,Lock,4,18/07/2026,Wales
Damian Willemse,1998-05-07,52,Replacement,23,18/07/2026,Wales
Damian de Allende,1991-11-25,99,Centre,12,18/07/2026,Wales
Dan Du Preez,1995-08-05,6,Replacement,21,21/08/2021,Argentina
Deon Fourie,1986-09-25,13,Replacement,16,28/10/2023,New Zealand
Dillyn Leyds,1992-09-12,10,Wing,11,17/08/2019,Argentina
Duane Vermeulen,1986-07-03,76,Number 8,8,28/10/2023,New Zealand
Eben Etzebeth,1991-10-29,141,Replacement,19,29/11/2025,Wales
Edwill Van Der Merwe,1996-04-12,6,Wing,14,11/07/2026,Scotland
Elrigh Louw,1999-09-20,14,Replacement,21,11/07/2026,Scotland
Elton Jantjies,1990-08-01,46,Replacement,22,27/08/2022,Australia
Embrose Papier,1997-04-25,8,Scrum Half,9,11/07/2026,Scotland
Ethan Hooker,2003-01-20,9,Wing,11,11/07/2026,Scotland
Evan Roos,2000-01-20,9,Number 8,8,11/07/2026,Scotland
Faf de Klerk,1991-10-19,60,Replacement,22,20/06/2026,Barbarians
Franco Mostert,1990-11-27,84,Lock,5,20/06/2026,Barbarians
Francois Louw,1985-06-15,76,Replacement,21,02/11/2019,England
Frans Malherbe,1991-03-14,76,Prop,3,28/09/2024,Argentina
Frans Steyn,1987-05-14,78,Fly Half,10,24/09/2022,Argentina
Gerhard Steenekamp,1997-04-09,18,Prop,1,18/07/2026,Wales
Grant Williams,1996-07-22,30,Replacement,22,11/07/2026,Scotland
Handre Pollard,1994-03-11,86,Fly Half,10,11/07/2026,Scotland
Herschel Jantjies,1996-04-22,25,Replacement,21,18/07/2026,Wales
JJ Kotze,2000-11-06,0,Replacement,16,20/06/2026,Barbarians
Jaco Williams,2005-08-25,1,Wing,14,18/07/2026,Wales
Jaden Hendrikse,2000-03-23,20,Scrum Half,9,23/11/2024,Wales
Jan-Hendrik Wessels,2001-05-08,12,Replacement,17,18/07/2026,Wales
Jasper Wiese,1995-10-21,45,Number 8,8,18/07/2026,Wales
Jean Kleyn,1993-08-26,14,Lock,4,29/11/2025,Wales
Jean-Luc Du Preez,1995-08-05,14,Number 8,8,28/06/2025,Barbarians
Jesse Kriel,1994-02-15,90,Centre,13,18/07/2026,Wales
Johan Grobbelaar,1997-12-30,9,Hooker,2,11/07/2026,Scotland
Jordan Hendrikse,2001-06-28,2,Fly Half,10,23/11/2024,Wales
Joseph Dweba,1995-10-25,6,Replacement,16,05/08/2023,Argentina
Kurt-Lee Arendse,1996-06-17,32,Wing,11,18/07/2026,Wales
Kwagga Smith,1993-06-11,63,Replacement,22,29/11/2025,Wales
Lizo Gqoboka,1990-03-24,2,Replacement,17,17/08/2019,Argentina
Lodewyk De Jager,1992-12-17,73,Lock,5,08/11/2025,France
Lukhanyo Am,1993-11-28,42,Replacement,23,16/11/2024,England
Makazole Mapimpi,1990-07-26,47,Wing,11,12/07/2025,Italy
Malcolm Marx,1994-07-13,89,Hooker,2,18/07/2026,Wales
Manie Libbok,1997-07-15,30,Replacement,22,18/07/2026,Wales
Marcell Coetzee,1991-05-08,31,Flanker,6,09/07/2022,Wales
Marco van Staden,1995-08-25,35,Replacement,20,18/07/2026,Wales
Marnus van der Merwe,1997-02-17,3,Replacement,16,13/09/2025,New Zealand
Marvin Orie,1993-02-15,16,Lock,5,01/10/2023,Tonga
Mbongeni Mbonambi,1991-01-07,82,Replacement,16,29/11/2025,Wales
Morne Steyn,1984-07-11,68,Replacement,23,14/08/2021,Argentina
Morne van den Berg,1997-10-24,6,Scrum Half,9,29/11/2025,Wales
Neethling Fouche,1993-01-10,1,Prop,3,19/07/2025,Georgia
Nico Janse van Rensburg,1994-05-06,1,Replacement,19,21/08/2021,Argentina
Ntuthuko Mchunu,1999-04-05,4,Replacement,17,11/07/2026,Scotland
Ox Nche,1995-07-23,48,Prop,1,04/07/2026,England
Paul de Villiers,2003-01-13,3,Flanker,6,18/07/2026,Wales
Phendulani Buthelezi,1999-05-30,1,Flanker,6,20/07/2024,Portugal
Pieter-Steph Du Toit,1992-08-20,98,Flanker,7,18/07/2026,Wales
Quan Horn,2001-06-27,2,Replacement,23,11/07/2026,Scotland
RG Snyman,1995-01-29,50,Replacement,19,22/11/2025,Ireland
Riley Norton,2006-01-02,0,Lock,4,20/06/2026,Barbarians
Rosko Specman,1989-04-28,1,Wing,14,02/07/2021,Georgia
Ruan Nortje,1998-07-25,20,Lock,5,11/07/2026,Scotland
Ruan Venter,2002-11-29,1,Replacement,19,20/07/2024,Portugal
Ruben Van Heerden,1997-10-27,1,Lock,5,18/07/2026,Wales
Rynhardt Elstadt,1989-12-20,4,Replacement,20,09/07/2022,Wales
S'Busiso Nkosi,1996-01-21,16,Wing,14,02/10/2021,New Zealand
Sacha Feinberg-Mngomezulu,2002-02-22,19,Fly Half,10,29/11/2025,Wales
Salmaan Moerat,1998-03-06,11,Lock,4,12/07/2025,Italy
Scarra Ntubeni,1991-02-18,1,Replacement,16,17/08/2019,Argentina
Schalk Brits,1981-05-16,15,Hooker,2,08/10/2019,Canada
Siya Kolisi,1991-06-16,103,Flanker,6,20/06/2026,Barbarians
Steven Kitshoff,1992-02-10,83,Prop,1,28/10/2023,New Zealand
Tendai Mtawarira,1985-08-01,117,Prop,1,02/11/2019,England
Thomas Du Toit,1995-05-05,33,Prop,3,04/07/2026,England
Trevor Nyakane,1989-05-04,68,Replacement,18,20/07/2024,Portugal
Vincent Koch,1990-03-13,63,Replacement,18,19/07/2025,Georgia
Vincent Tshituka,1998-09-10,2,Replacement,20,11/07/2026,Scotland
Vusi Simphiwe Moyo,2006-06-21,1,Fly Half,10,18/07/2026,Wales
