date,year,coach,opposition,tournament,test,h / a,sa irb,opp irb,irb difference,higher / lower,result,points scored ,points conceded,difference,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
20/07/2019,2019,re,australia,rc,yes,h,5,6,1,,w,35,17,18,mtawarira,mbonambi,nyakane,etzebeth,de jager,elstadt,"du toit, p","louw, f","jantjies, h","jantjies, e",mapimpi,esterhuizen,kriel,nkosi,gelant,brits,gqoboka,koch,orie,coetzee,reinach,"steyn, f",leyds
27/07/2019,2019,re,nz,rc,yes,a,5,1,-4,,d,16,16,0,kitshoff,marx,malherbe,etzebeth,mostert,smith,"du toit, p",vermeulen,de klerk,pollard,mapimpi,de allende,am,kolbe,le roux,mbonambi,mtawarira,nyakane,snyman,"louw, f","jantjies, h","steyn, f",kriel
10/08/2019,2019,re,argentina,rc,yes,a,4,10,6,,w,46,13,33,mtawarira,mbonambi,nyakane,etzebeth,mostert,smith,"du toit, p",vermeulen,de klerk,pollard,mapimpi,de allende,am,kolbe,le roux,marx,kitshoff,malherbe,snyman,"louw, f","jantjies, h","steyn, f",kriel
17/08/2019,2019,re,argentina,rc,yes,h,5,11,6,,w,24,18,6,"du toit, t",brits,koch,snyman,de jager,kolisi,elstadt,coetzee,reinach,"jantjies, e",leyds,esterhuizen,kriel,nkosi,gelant,ntubeni,gqoboka,"louw, w",orie,smith,van staden,de klerk,"steyn, f"
06/09/2019,2019,re,japan,friendly,yes,a,5,10,5,,w,41,7,34,kitshoff,marx,malherbe,etzebeth,mostert,kolisi,"du toit, p",vermeulen,de klerk,pollard,mapimpi,de allende,am,kolbe,le roux,mbonambi,mtawarira,nyakane,snyman,"louw, f","jantjies, h","steyn, f",kriel
21/09/2019,2019,re,nz,wc,yes,n,4,2,-2,,l,13,23,-10,kitshoff,marx,malherbe,etzebeth,mostert,kolisi,"du toit, p",vermeulen,de klerk,pollard,mapimpi,de allende,am,kolbe,le roux,mbonambi,mtawarira,nyakane,snyman,"louw, f","jantjies, h","steyn, f",kriel
28/09/2019,2019,re,namibia,wc,yes,n,5,23,18,,w,57,3,54,mtawarira,mbonambi,koch,snyman,de jager,"louw, f",smith,brits,"jantjies, h","jantjies, e",mapimpi,"steyn, f",am,nkosi,gelant,kitshoff,"du toit, t",etzebeth,kolisi,mostert,reinach,de allende,kolbe
04/10/2019,2019,re,italy,wc,yes,n,5,14,9,,w,49,3,46,mtawarira,mbonambi,malherbe,etzebeth,de jager,kolisi,"du toit, p",vermeulen,de klerk,pollard,mapimpi,de allende,am,kolbe,le roux,marx,kitshoff,koch,snyman,mostert,"louw, f","jantjies, h","steyn, f"
08/10/2019,2019,re,canada,wc,yes,n,5,22,17,,w,66,7,59,"du toit, t",brits,koch,snyman,mostert,kolisi,smith,"louw, f",reinach,"jantjies, e",nkosi,"steyn, f",de allende,gelant,willemse,marx,kitshoff,malherbe,etzebeth,"du toit, p","jantjies, h",pollard,le roux
20/10/2019,2019,re,japan,wc,yes,n,5,7,2,,w,26,3,23,mtawarira,mbonambi,malherbe,etzebeth,de jager,kolisi,"du toit, p",vermeulen,de klerk,pollard,mapimpi,de allende,am,kolbe,le roux,marx,kitshoff,koch,snyman,mostert,"louw, f","jantjies, h","steyn, f"
