team,date,opposition,competition,starting_xv_avg_age,bench_avg_age,full_squad_avg_age,players_with_dob,players_total
argentina,16/05/2015,Uruguay,CONSUR Cup 2015,24.69,22.38,23.89,23,23
argentina,23/05/2015,Paraguay,CONSUR Cup 2015,23.89,25.13,24.32,23,23
argentina,20/06/2015,French Barbarians,Tour 2015,25.04,25.1,25.07,26,26
argentina,17/07/2015,New Zealand,The Rugby Championship 2015,27.69,25.96,27.09,23,23
argentina,25/07/2015,Australia,The Rugby Championship 2015,27.23,26.01,26.81,23,23
argentina,08/08/2015,South Africa,The Rugby Championship 2015,27.78,24.41,26.61,23,23
argentina,15/08/2015,South Africa,The Rugby Championship 2015,26.54,25.75,26.27,23,23
argentina,20/09/2015,New Zealand,Men's Rugby World Cup 2015,27.55,26.66,27.24,23,23
argentina,25/09/2015,Georgia,Men's Rugby World Cup 2015,27.81,24.96,26.82,23,23
argentina,04/10/2015,Tonga,Men's Rugby World Cup 2015,26.65,25.83,26.36,23,23
argentina,11/10/2015,Namibia,Men's Rugby World Cup 2015,26.09,30.1,27.48,23,23
argentina,18/10/2015,Ireland,Men's Rugby World Cup 2015,27.26,25.4,26.61,23,23
argentina,25/10/2015,Australia,Men's Rugby World Cup 2015,27.76,24.83,26.74,23,23
argentina,30/10/2015,South Africa,Men's Rugby World Cup 2015,26.68,25.38,26.23,23,23
argentina,21/11/2015,Barbarians,Men's Internationals 2015,24.31,24.6,24.41,23,23
argentina,11/06/2016,Italy,Men's Internationals 2016,25.63,25.43,25.56,23,23
argentina,19/06/2016,France,Men's Internationals 2016,25.97,25.37,25.76,23,23
argentina,25/06/2016,France,Men's Internationals 2016,25.42,25.86,25.58,23,23
argentina,20/08/2016,South Africa,The Rugby Championship 2016,26.84,24.53,26.03,23,23
argentina,27/08/2016,South Africa,The Rugby Championship 2016,26.85,25.12,26.25,23,23
argentina,10/09/2016,New Zealand,The Rugby Championship 2016,26.35,25.1,25.91,23,23
argentina,17/09/2016,Australia,The Rugby Championship 2016,27.07,25.14,26.4,23,23
argentina,01/10/2016,New Zealand,The Rugby Championship 2016,26.11,26.4,26.21,23,23
argentina,08/10/2016,Australia,The Rugby Championship 2016,26.48,26.1,26.35,23,23
argentina,05/11/2016,Japan,Tour 2016,25.63,27.18,26.17,23,23
argentina,12/11/2016,Wales,Tour 2016,26.26,25.77,26.09,23,23
argentina,19/11/2016,Scotland,Tour 2016,26.28,27.14,26.58,23,23
argentina,26/11/2016,England,Tour 2016,26.96,24.84,26.23,23,23
argentina,10/06/2017,England,Tour 2017,26.61,27.14,26.79,23,23
argentina,17/06/2017,England,Tour 2017,26.68,26.25,26.53,23,23
argentina,24/06/2017,Georgia,Tour 2017,27.08,25.87,26.66,23,23
argentina,19/08/2017,South Africa,The Rugby Championship 2017,26.61,26.63,26.62,23,23
argentina,26/08/2017,South Africa,The Rugby Championship 2017,27.37,25.43,26.69,23,23
argentina,09/09/2017,New Zealand,The Rugby Championship 2017,26.7,24.97,26.1,23,23
argentina,16/09/2017,Australia,The Rugby Championship 2017,26.33,26.2,26.28,23,23
argentina,30/09/2017,New Zealand,The Rugby Championship 2017,26.75,26.7,26.73,23,23
argentina,07/10/2017,Australia,The Rugby Championship 2017,26.44,27.5,26.81,23,23
argentina,11/11/2017,England,Tour 2017,26.96,26.68,26.86,23,23
argentina,18/11/2017,Italy,Tour 2017,27.01,26.47,26.83,23,23
argentina,25/11/2017,Ireland,Tour 2017,26.58,25.44,26.18,23,23
argentina,09/06/2018,Wales,Tour 2018,26.06,25.64,25.92,23,23
argentina,16/06/2018,Wales,Tour 2018,26.45,24.96,25.93,23,23
argentina,23/06/2018,Scotland,Tour 2018,26.48,24.42,25.76,23,23
argentina,18/08/2018,South Africa,The Rugby Championship 2018,26.38,25.96,26.23,23,23
argentina,25/08/2018,South Africa,The Rugby Championship 2018,26.32,25.68,26.1,23,23
argentina,08/09/2018,New Zealand,The Rugby Championship 2018,26.69,26.67,26.68,23,23
argentina,15/09/2018,Australia,The Rugby Championship 2018,26.12,27.25,26.51,23,23
argentina,29/09/2018,New Zealand,The Rugby Championship 2018,26.31,27.48,26.72,23,23
argentina,06/10/2018,Australia,The Rugby Championship 2018,27.02,27.57,27.21,23,23
argentina,10/11/2018,Ireland,Tour 2018,26.73,25.82,26.42,23,23
argentina,17/11/2018,France,Tour 2018,26.45,26.71,26.54,23,23
argentina,24/11/2018,Scotland,Tour 2018,26.39,26.14,26.31,23,23
argentina,01/12/2018,Barbarians,Killik Cup 2018,26.01,24.84,25.6,23,23
argentina,20/07/2019,New Zealand,The Rugby Championship 2019,28.17,26.2,27.48,23,23
argentina,27/07/2019,Australia,The Rugby Championship 2019,27.85,28.36,28.02,23,23
argentina,10/08/2019,South Africa,The Rugby Championship 2019,28.24,26.18,27.52,23,23
argentina,17/08/2019,South Africa,Men's Internationals 2019,26.16,27.76,26.72,23,23
argentina,21/09/2019,France,Men's Rugby World Cup 2019,28.34,25.68,27.41,23,23
