date,opposition,shirt,player,dob,age_on_matchday
06/02/2015,England,18,Aaron Jarvis,1986-05-20,28.72
06/02/2015,England,8,Taulupe Faletau,1990-11-12,24.24
06/02/2015,England,7,Sam Warburton,1988-10-05,26.34
06/02/2015,England,19,Luke Charteris,1983-03-09,31.92
06/02/2015,England,3,Samson Lee,1992-11-30,22.19
06/02/2015,England,23,Liam Williams,1991-04-09,23.83
06/02/2015,England,15,Leigh Halfpenny,1988-12-22,26.13
06/02/2015,England,1,Gethin Jenkins,1980-11-17,34.22
06/02/2015,England,21,Mike Phillips,1982-08-29,32.44
06/02/2015,England,22,Rhys Priestland,1987-01-09,28.08
06/02/2015,England,17,Paul James,1982-05-13,32.74
06/02/2015,England,10,Dan Biggar,1989-10-16,25.31
06/02/2015,England,16,Scott Baldwin,1988-07-12,26.57
06/02/2015,England,11,George North,1992-04-13,22.82
06/02/2015,England,5,Alun Wyn Jones,1985-09-19,29.38
06/02/2015,England,13,Jonathan Davies,1988-04-05,26.84
06/02/2015,England,20,Justin Tipuric,1989-08-06,25.5
06/02/2015,England,6,Dan Lydiate,1987-12-18,27.14
06/02/2015,England,9,Rhys Webb,1988-12-09,26.16
06/02/2015,England,12,Jamie Roberts,1986-11-08,28.25
06/02/2015,England,4,Jake Ball,1991-06-21,23.63
06/02/2015,England,14,Alex Cuthbert,1990-04-05,24.84
06/02/2015,England,2,Richard Hibbard,1983-12-13,31.15
15/02/2015,Scotland,3,Aaron Jarvis,1986-05-20,28.74
15/02/2015,Scotland,8,Taulupe Faletau,1990-11-12,24.26
15/02/2015,Scotland,7,Sam Warburton,1988-10-05,26.36
15/02/2015,Scotland,19,Luke Charteris,1983-03-09,31.94
15/02/2015,Scotland,11,Liam Williams,1991-04-09,23.86
15/02/2015,Scotland,15,Leigh Halfpenny,1988-12-22,26.15
15/02/2015,Scotland,1,Gethin Jenkins,1980-11-17,34.25
15/02/2015,Scotland,21,Mike Phillips,1982-08-29,32.47
15/02/2015,Scotland,22,Rhys Priestland,1987-01-09,28.1
15/02/2015,Scotland,17,Paul James,1982-05-13,32.76
15/02/2015,Scotland,10,Dan Biggar,1989-10-16,25.33
15/02/2015,Scotland,16,Scott Baldwin,1988-07-12,26.6
15/02/2015,Scotland,23,Scott Williams,1990-10-10,24.35
15/02/2015,Scotland,18,Scott Andrews,1989-08-01,25.54
15/02/2015,Scotland,5,Alun Wyn Jones,1985-09-19,29.41
15/02/2015,Scotland,13,Jonathan Davies,1988-04-05,26.86
15/02/2015,Scotland,20,Justin Tipuric,1989-08-06,25.53
15/02/2015,Scotland,6,Dan Lydiate,1987-12-18,27.16
15/02/2015,Scotland,9,Rhys Webb,1988-12-09,26.19
15/02/2015,Scotland,12,Jamie Roberts,1986-11-08,28.27
15/02/2015,Scotland,4,Jake Ball,1991-06-21,23.66
15/02/2015,Scotland,14,Alex Cuthbert,1990-04-05,24.87
15/02/2015,Scotland,2,Richard Hibbard,1983-12-13,31.18
28/02/2015,France,18,Aaron Jarvis,1986-05-20,28.78
28/02/2015,France,8,Taulupe Faletau,1990-11-12,24.3
28/02/2015,France,7,Sam Warburton,1988-10-05,26.4
28/02/2015,France,4,Luke Charteris,1983-03-09,31.98
28/02/2015,France,3,Samson Lee,1992-11-30,22.25
28/02/2015,France,11,Liam Williams,1991-04-09,23.89
28/02/2015,France,15,Leigh Halfpenny,1988-12-22,26.19
28/02/2015,France,1,Gethin Jenkins,1980-11-17,34.28
28/02/2015,France,21,Mike Phillips,1982-08-29,32.5
28/02/2015,France,22,Rhys Priestland,1987-01-09,28.14
28/02/2015,France,17,Paul James,1982-05-13,32.8
28/02/2015,France,10,Dan Biggar,1989-10-16,25.37
28/02/2015,France,2,Scott Baldwin,1988-07-12,26.63
28/02/2015,France,23,Scott Williams,1990-10-10,24.39
28/02/2015,France,14,George North,1992-04-13,22.88
28/02/2015,France,5,Alun Wyn Jones,1985-09-19,29.44
28/02/2015,France,13,Jonathan Davies,1988-04-05,26.9
28/02/2015,France,20,Justin Tipuric,1989-08-06,25.56
28/02/2015,France,6,Dan Lydiate,1987-12-18,27.2
28/02/2015,France,9,Rhys Webb,1988-12-09,26.22
28/02/2015,France,19,Bradley Davies,1987-01-09,28.14
28/02/2015,France,12,Jamie Roberts,1986-11-08,28.31
28/02/2015,France,16,Richard Hibbard,1983-12-13,31.21
14/03/2015,Ireland,18,Aaron Jarvis,1986-05-20,28.82
14/03/2015,Ireland,8,Taulupe Faletau,1990-11-12,24.33
14/03/2015,Ireland,7,Sam Warburton,1988-10-05,26.44
14/03/2015,Ireland,17,Rob Evans,1992-04-14,22.91
14/03/2015,Ireland,4,Luke Charteris,1983-03-09,32.01
14/03/2015,Ireland,3,Samson Lee,1992-11-30,22.28
14/03/2015,Ireland,11,Liam Williams,1991-04-09,23.93
14/03/2015,Ireland,15,Leigh Halfpenny,1988-12-22,26.22
14/03/2015,Ireland,1,Gethin Jenkins,1980-11-17,34.32
14/03/2015,Ireland,21,Mike Phillips,1982-08-29,32.54
14/03/2015,Ireland,22,Rhys Priestland,1987-01-09,28.18
14/03/2015,Ireland,10,Dan Biggar,1989-10-16,25.41
14/03/2015,Ireland,2,Scott Baldwin,1988-07-12,26.67
14/03/2015,Ireland,23,Scott Williams,1990-10-10,24.42
14/03/2015,Ireland,14,George North,1992-04-13,22.92
14/03/2015,Ireland,5,Alun Wyn Jones,1985-09-19,29.48
14/03/2015,Ireland,13,Jonathan Davies,1988-04-05,26.94
14/03/2015,Ireland,20,Justin Tipuric,1989-08-06,25.6
14/03/2015,Ireland,6,Dan Lydiate,1987-12-18,27.24
14/03/2015,Ireland,9,Rhys Webb,1988-12-09,26.26
14/03/2015,Ireland,12,Jamie Roberts,1986-11-08,28.35
14/03/2015,Ireland,19,Jake Ball,1991-06-21,23.73
14/03/2015,Ireland,16,Richard Hibbard,1983-12-13,31.25
21/03/2015,Italy,3,Aaron Jarvis,1986-05-20,28.84
