date,opposition,shirt,player,started,minutes
01/02/2019,France,1,Rob Evans,y,73
01/02/2019,France,20,Aaron Wainwright,n,2
01/02/2019,France,18,Samson Lee,n,24
01/02/2019,France,15,Liam Williams,y,80
01/02/2019,France,2,Ken Owens,y,73
01/02/2019,France,21,Gareth Davies,n,27
01/02/2019,France,4,Adam Beard,y,48
01/02/2019,France,3,Tomas Francis,y,56
01/02/2019,France,22,Dan Biggar,n,27
01/02/2019,France,10,Gareth Anscombe,y,53
01/02/2019,France,8,Ross Moriarty,y,80
01/02/2019,France,14,George North,y,80
01/02/2019,France,5,Alun Wyn Jones,y,80
01/02/2019,France,19,Cory Hill,n,32
01/02/2019,France,13,Jonathan Davies,y,80
01/02/2019,France,7,Justin Tipuric,y,80
01/02/2019,France,16,Elliot Dee,n,7
01/02/2019,France,23,Owen Watkin,n,3
01/02/2019,France,17,Wyn Jones,n,7
01/02/2019,France,9,Tomos Williams,y,53
01/02/2019,France,12,Hadleigh Parkes,y,77
01/02/2019,France,11,Josh Adams,y,80
01/02/2019,France,6,Josh Navidi,y,78
09/02/2019,Italy,18,Dillon Lewis,n,30
09/02/2019,Italy,1,Nicky Smith,y,63
09/02/2019,Italy,16,Ryan Elias,n,13
09/02/2019,Italy,6,Aaron Wainwright,y,80
09/02/2019,Italy,3,Samson Lee,y,50
09/02/2019,Italy,15,Liam Williams,y,67
09/02/2019,Italy,21,Gareth Davies,n,17
09/02/2019,Italy,5,Adam Beard,y,80
09/02/2019,Italy,10,Dan Biggar,y,55
09/02/2019,Italy,22,Gareth Anscombe,n,25
09/02/2019,Italy,7,Thomas Young,y,80
09/02/2019,Italy,20,Ross Moriarty,n,13
09/02/2019,Italy,23,Hallam Amos,n,13
09/02/2019,Italy,19,Alun Wyn Jones,n,30
09/02/2019,Italy,13,Jonathan Davies,y,80
09/02/2019,Italy,2,Elliot Dee,y,67
09/02/2019,Italy,12,Owen Watkin,y,80
09/02/2019,Italy,17,Wyn Jones,n,17
09/02/2019,Italy,4,Jake Ball,y,50
09/02/2019,Italy,9,Aled Davies,y,63
09/02/2019,Italy,11,Josh Adams,y,80
09/02/2019,Italy,14,Jonah Holmes,y,80
09/02/2019,Italy,8,Josh Navidi,y,67
23/02/2019,England,4,Cory Hill,y,71
23/02/2019,England,13,Jonathan Davies,y,80
23/02/2019,England,7,Justin Tipuric,y,80
23/02/2019,England,16,Elliot Dee,n,3
23/02/2019,England,23,Owen Watkin,n,0
23/02/2019,England,12,Hadleigh Parkes,y,80
23/02/2019,England,21,Aled Davies,n,4
23/02/2019,England,11,Josh Adams,y,80
23/02/2019,England,6,Josh Navidi,y,80
23/02/2019,England,18,Dillon Lewis,n,19
23/02/2019,England,17,Nicky Smith,n,19
23/02/2019,England,1,Rob Evans,y,61
23/02/2019,England,20,Aaron Wainwright,n,3
23/02/2019,England,15,Liam Williams,y,80
23/02/2019,England,2,Ken Owens,y,77
23/02/2019,England,9,Gareth Davies,y,76
23/02/2019,England,19,Adam Beard,n,9
23/02/2019,England,3,Tomas Francis,y,61
23/02/2019,England,22,Dan Biggar,n,19
23/02/2019,England,10,Gareth Anscombe,y,61
23/02/2019,England,8,Ross Moriarty,y,77
23/02/2019,England,14,George North,y,80
23/02/2019,England,5,Alun Wyn Jones,y,80
09/03/2019,Scotland,18,Dillon Lewis,n,15
09/03/2019,Scotland,17,Nicky Smith,n,18
09/03/2019,Scotland,1,Rob Evans,y,62
09/03/2019,Scotland,20,Aaron Wainwright,n,10
09/03/2019,Scotland,15,Liam Williams,y,48
