player,dob,caps,position_last_seen,shirt_last_seen,last_match_date,last_opposition
Aaron Shingler,1987-08-07,27,Replacement,19,07/03/2020,England
Aaron Wainwright,1997-09-25,69,Number 8,8,18/07/2026,South Africa
Adam Beard,1996-01-07,69,Lock,5,18/07/2026,South Africa
Aled Davies,1992-07-19,20,Scrum Half,9,13/10/2019,Uruguay
Alex Cuthbert,1990-04-05,58,Replacement,23,11/02/2023,Scotland
Alex Mann,2002-01-06,18,Flanker,6,18/07/2026,South Africa
Alun Wyn Jones,1985-09-19,171,Lock,5,18/03/2023,France
Archie Griffin,2001-07-23,15,Replacement,18,14/03/2026,Italy
Ben Carter,2001-01-23,21,Lock,4,11/07/2026,Argentina
Ben Thomas,1998-11-25,19,Centre,12,18/07/2026,South Africa
Ben Warren,2000-04-02,3,Replacement,18,18/07/2026,South Africa
Blair Murray,2001-10-09,19,Full Back,15,18/07/2026,South Africa
Bradley Davies,1987-01-09,66,Lock,4,13/10/2019,Uruguay
Bradley Roberts,1996-01-04,5,Replacement,16,18/03/2023,France
Brodie Coghlan,2000-12-21,1,Replacement,16,29/11/2025,South Africa
Cai Evans,1999-06-23,2,Replacement,22,10/02/2024,England
Callum Sheedy,1995-10-28,17,Replacement,22,29/11/2025,South Africa
Cameron Winnett,2003-01-07,9,Full Back,15,17/11/2024,Australia
Chris Coleman,1998-08-31,2,Replacement,18,29/11/2025,South Africa
Christ Tshiunza,2002-01-09,15,Lock,5,23/11/2024,South Africa
Corey Domachowski,1996-09-19,10,Replacement,17,19/07/2024,Queensland Reds
Cory Hill,1992-02-10,34,Lock,5,19/07/2024,Queensland Reds
Dafydd Jenkins,2002-12-05,31,Lock,4,14/03/2026,Italy
Dan Biggar,1989-10-16,116,Fly Half,10,14/10/2023,Argentina
Dan Lydiate,1987-12-18,75,Flanker,6,04/11/2023,Barbarians
Dane Blacker,1998-07-06,0,Replacement,21,19/11/2022,Georgia
Daniel Edwards,2003-05-07,12,Fly Half,10,18/07/2026,South Africa
Danny Southworth,1999-05-04,1,Replacement,17,29/11/2025,South Africa
Dewi Lake,1999-05-16,34,Hooker,2,18/07/2026,South Africa
Dillon Lewis,1996-01-04,60,Prop,3,18/07/2026,South Africa
Eddie James,2002-08-10,10,Centre,13,11/07/2026,Argentina
Efan Daniel,2002-12-14,0,Replacement,16,19/07/2024,Queensland Reds
Elliot Dee,1994-03-07,56,Hooker,2,15/03/2025,England
Ellis Bevan,2000-03-10,6,Scrum Half,9,23/11/2024,South Africa
Ellis Jenkins,1993-04-29,15,Flanker,6,05/02/2022,Ireland
Ellis Mee,2003-10-06,11,Wing,11,18/07/2026,South Africa
Evan Lloyd,2001-12-28,8,Replacement,16,22/02/2025,Ireland
Freddie Thomas,2001-11-09,7,Replacement,19,18/07/2026,South Africa
Gabriel Hamer-Webb,2000-11-07,1,Wing,14,21/02/2026,Scotland
Gareth Anscombe,1991-05-10,42,Fly Half,10,15/03/2025,England
Gareth Davies,1990-08-18,77,Scrum Half,9,19/07/2024,Queensland Reds
Gareth Thomas,1993-08-02,43,Prop,1,27/06/2026,Barbarians
George North,1992-04-13,124,Centre,13,16/03/2024,Italy
Hadleigh Parkes,1987-10-05,29,Centre,12,07/03/2020,England
Hallam Amos,1994-09-24,25,Full Back,15,17/07/2021,Argentina
Harri Deaves,2001-06-13,2,Replacement,21,07/02/2026,England
Harri O'Connor,2000-10-25,4,Replacement,18,19/07/2024,Queensland Reds
Harrison Keddie,1996-07-10,0,Replacement,20,27/06/2026,Barbarians
Henry Thomas,1991-10-30,14,Replacement,18,22/02/2025,Ireland
Ioan Lloyd,2001-04-05,7,Replacement,22,16/03/2024,Italy
Jac Morgan,2000-01-21,29,Flanker,7,18/07/2026,South Africa
Jacob Beetham,2001-04-18,1,Replacement,23,22/06/2024,South Africa
Jake Ball,1991-06-21,50,Replacement,19,13/03/2021,Italy
James Botham,1998-02-22,24,Replacement,21,18/07/2026,South Africa
James Davies,1990-10-25,11,Replacement,20,21/11/2020,Georgia
James Ratti,1997-10-14,4,Replacement,19,29/11/2025,South Africa
Jarrod Evans,1996-07-25,16,Replacement,22,14/03/2026,Italy
Joe Hawkins,2002-07-11,14,Replacement,23,18/07/2026,South Africa
Joe Roberts,2000-05-10,7,Centre,13,29/11/2025,South Africa
Johnny McNicholl,1990-09-24,10,Full Back,15,19/03/2022,Italy
Johnny Williams,1996-10-18,9,Centre,13,12/07/2025,Japan
Jonah Holmes,1992-07-24,7,Wing,14,10/07/2021,Argentina
Jonathan Davies,1988-04-05,102,Centre,12,11/03/2022,France
Josh Adams,1995-04-21,74,Wing,11,11/07/2026,Argentina
Josh Macleod,1996-10-27,5,Flanker,7,07/02/2026,England
Josh Navidi,1990-12-30,33,Number 8,8,16/07/2022,South Africa
Josh Turnbull,1988-03-12,13,Flanker,6,17/07/2021,Argentina
Joshua Hathaway,2003-10-19,2,Replacement,23,08/02/2025,Italy
Justin Tipuric,1989-08-06,95,Flanker,7,18/03/2023,France
Kane James,2005-03-26,1,Replacement,20,11/07/2026,Argentina
Keelan Giles,1998-01-29,1,Replacement,23,12/07/2025,Japan
Keiran Williams,1997-12-04,1,Replacement,23,12/08/2023,England
Keiron Assiratti,1997-06-30,17,Prop,3,29/11/2025,South Africa
Kemsley Mathias,1999-07-29,4,Replacement,17,23/11/2024,South Africa
Ken Owens,1987-01-03,97,Hooker,2,18/03/2023,France
Kieran Hardy,1995-11-30,31,Replacement,21,11/07/2026,Argentina
Kirby Myhill,1992-02-05,1,Replacement,16,30/10/2021,New Zealand
Leigh Halfpenny,1988-12-22,105,Full Back,15,04/11/2023,Barbarians
Leon Brown,1996-10-26,24,Prop,3,03/02/2024,Scotland
Liam Belcher,1996-04-28,5,Replacement,16,07/02/2026,England
Liam Williams,1991-04-09,99,Full Back,15,31/01/2025,France
Lloyd Fairbrother,,0,Prop,3,04/11/2023,Barbarians
Lloyd Williams,1989-11-30,32,Replacement,21,13/03/2021,Italy
Louie Hennessey,2004-03-29,1,Replacement,23,06/03/2026,Ireland
Louis Rees-Zammit,2001-02-02,43,Wing,14,18/07/2026,South Africa
Mackenzie Martin,2003-10-26,4,Number 8,8,19/07/2024,Queensland Reds
Mason Grady,2002-03-29,17,Replacement,23,27/06/2026,Barbarians
Matthew Screech,1992-10-24,2,Lock,4,19/07/2024,Queensland Reds
Max Llewellyn,1999-01-13,13,Centre,13,18/07/2026,South Africa
Morgan Morse,2005-01-18,1,Replacement,20,29/11/2025,South Africa
Nick Tompkins,1995-02-16,42,Replacement,23,22/11/2025,New Zealand
Nicky Smith,1994-04-07,65,Replacement,17,18/07/2026,South Africa
Ollie Griffiths,1995-03-23,1,Replacement,20,30/11/2019,Barbarians
Olly Cracknell,1994-05-26,5,Replacement,20,14/03/2026,Italy
Owen Lane,1997-12-20,5,Wing,14,30/10/2021,New Zealand
Owen Watkin,1996-10-12,42,Centre,12,31/01/2025,France
Owen Williams,1992-02-27,8,Fly Half,10,12/08/2023,England
Regan Grace,1996-12-12,0,Wing,11,19/07/2024,Queensland Reds
Reuben Morgan-Williams,1998-02-03,3,Replacement,22,18/07/2026,South Africa
Rhodri Jones,1991-12-23,24,Replacement,17,26/11/2022,Australia
Rhodri Williams,1993-05-05,7,Replacement,22,05/07/2025,Japan
Rhys Barratt,2002-10-27,0,Replacement,17,27/06/2026,Barbarians
Rhys Carre,1998-02-08,31,Prop,1,18/07/2026,South Africa
Rhys Davies,1998-11-09,4,Lock,5,29/11/2025,South Africa
Rhys Patchell,1993-05-17,22,Replacement,22,11/02/2023,Scotland
Rhys Priestland,1987-01-09,56,Replacement,22,26/11/2022,Australia
Rhys Webb,1988-12-09,42,Scrum Half,9,18/03/2023,France
Rio Dyer,1999-12-21,24,Wing,11,29/11/2025,South Africa
Rob Evans,1992-04-14,39,Prop,1,07/03/2020,England
Ross Moriarty,1994-04-18,54,Replacement,20,19/03/2022,Italy
Ryan Elias,1995-01-07,50,Replacement,16,18/07/2026,South Africa
Ryan Woodman,2004-02-02,0,Replacement,19,27/06/2026,Barbarians
Sam Costelow,2001-01-10,22,Fly Half,10,11/07/2026,Argentina
Sam Davies,1993-10-06,8,Replacement,22,30/11/2019,Barbarians
Sam Parry,1991-12-17,7,Replacement,16,19/08/2023,South Africa
Sam Wainwright,1998-05-07,4,Replacement,18,19/11/2022,Georgia
Samson Lee,1992-11-30,45,Prop,3,28/11/2020,England
Scott Baldwin,1988-07-12,37,Replacement,16,11/03/2023,Italy
Scott Williams,1990-10-10,58,Centre,13,31/08/2019,Ireland
Seb Davies,1996-05-17,17,Flanker,6,19/03/2022,Italy
Shane Lewis-Hughes,1997-09-20,3,Flanker,6,28/11/2020,England
