date,year,coach,opposition,tournament,test,h / a,wales irb,opp irb,irb difference,higher / lower,result,points scored ,points conceded,difference,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
06/02/2015,2015,wg,england,6n,yes,h,6,4,-2,,l,16,21,-5,"jenkins, g",hibbard,lee,ball,"jones, a",lydiate,warburton,faletau,webb,biggar,north,"roberts, ja","davies, jo",cuthbert,halfpenny,baldwin,"james, p",jarvis,charteris,tipuric,phillips,priestland,"williams, li"
15/02/2015,2015,wg,scotland,6n,yes,a,6,9,3,,w,26,23,3,"jenkins, g",hibbard,jarvis,ball,"jones, a",lydiate,warburton,faletau,webb,biggar,"williams, li","roberts, ja","davies, jo",cuthbert,halfpenny,baldwin,"james, p",andrews,charteris,tipuric,phillips,priestland,"williams, sc"
28/02/2015,2015,wg,france,6n,yes,a,6,7,1,,w,20,13,7,"jenkins, g",baldwin,lee,charteris,"jones, a",lydiate,warburton,faletau,webb,biggar,"williams, li","roberts, ja","davies, jo",north,halfpenny,hibbard,"james, p",jarvis,"davies, br",tipuric,phillips,priestland,"williams, sc"
14/03/2015,2015,wg,ireland,6n,yes,h,6,3,-3,,w,23,16,7,"jenkins, g",baldwin,lee,charteris,"jones, a",lydiate,warburton,faletau,webb,biggar,"williams, li","roberts, ja","davies, jo",north,halfpenny,hibbard,"evans, r",jarvis,ball,tipuric,phillips,priestland,"williams, sc"
21/03/2015,2015,wg,italy,6n,yes,a,5,14,9,,w,61,20,41,"evans, r",baldwin,jarvis,charteris,"jones, a",lydiate,warburton,faletau,webb,biggar,"williams, li","roberts, ja","davies, jo",north,halfpenny,owens,gill,andrews,ball,tipuric,"davies, ga",priestland,"williams, sc"
08/08/2015,2015,wg,ireland,tour,yes,h,6,3,-3,,l,21,35,-14,smith,hibbard,jarvis,ball,day,moriarty,tipuric,baker,phillips,hook,walker,"williams, sc","morgan, t",cuthbert,amos,dacey,"evans, r",andrews,king,faletau,"williams, ll",anscombe,"morgan, m"
29/08/2015,2015,wg,ireland,tour,yes,a,6,2,-4,,w,16,10,6,"jenkins, g",owens,francis,"davies, br","jones, a",lydiate,tipuric,faletau,webb,biggar,north,"roberts, ja","williams, sc",cuthbert,halfpenny,baldwin,"james, p",jarvis,charteris,king,"davies, ga",priestland,amos
05/09/2015,2015,wg,italy,friendly,yes,h,5,15,10,,w,23,19,4,"jenkins, g",owens,francis,ball,day,king,warburton,faletau,webb,biggar,north,"williams, sc",allen,cuthbert,halfpenny,dacey,"james, p",jarvis,charteris,moriarty,"davies, ga",priestland,"morgan, m"
20/09/2015,2015,wg,uruguay,wc,yes,n,5,20,15,,w,54,9,45,"james, p",baldwin,lee,ball,charteris,warburton,tipuric,king,"davies, ga",priestland,amos,"williams, sc",allen,cuthbert,"williams, li",owens,jarvis,francis,day,lydiate,moriarty,"williams, ll","morgan, m"
26/09/2015,2015,wg,england,wc,yes,n,4,3,-1,,w,28,25,3,"jenkins, g",baldwin,francis,"davies, br","jones, a",lydiate,warburton,faletau,"davies, ga",biggar,amos,"roberts, ja","williams, sc",north,"williams, li",owens,jarvis,lee,charteris,tipuric,"williams, ll",priestland,cuthbert
01/10/2015,2015,wg,fiji,wc,yes,n,2,10,8,,w,23,13,10,"jenkins, g",baldwin,francis,"davies, br","jones, a",lydiate,warburton,faletau,"davies, ga",biggar,north,"roberts, ja","morgan, t",cuthbert,"morgan, m",owens,jarvis,lee,charteris,tipuric,"williams, ll",priestland,hook
10/10/2015,2015,wg,australia,wc,yes,n,3,2,-1,,l,6,15,-9,"james, p",baldwin,lee,charteris,"jones, a",warburton,tipuric,faletau,"davies, ga",biggar,"williams, li","roberts, ja",north,cuthbert,anscombe,owens,jarvis,francis,ball,moriarty,"williams, ll",priestland,hook
