match_url,match_id,competition,season,competition_name,match_date,round,home_team,away_team,team,home_away,home_score_FT,away_score_FT,home_score_HT,away_score_HT,possession_pct,territory_pct,Tries,Metres_Gained,Carries,Defenders_Beaten,Clean_Breaks,Passes,Offloads,Turnovers_Conceded,Tackles_Attempted,Missed_Tackles,Turnovers_Won,Kicks_In_Play,Kick_Metres,Conversions,Conversion_Accuracy,Penalty_Goals,Penalty_Goal_Accuracy,Drop_Goals,Rucks_Won,Rucks_Lost,Rucks_Won_Pct,Mauls_Won,Lineouts_Won,Lineouts_Lost,Lineouts_Won_Pct,Scrums_Won,Scrums_Lost,Scrums_Won_Pct,Penalties_Conceded,Red_Cards,Yellow_Cards
https://rugby-union-feeds.incrowdsports.com/v1/matches/284117,284117,1002,202401,Top 14,2024-09-07,1,Bayonne,Perpignan,Bayonne,home,21,19,12,16,52.0,64.3,2,383,127,27,7,135,12,16,127,21,7,17,592,1,50.0,3,75.0,0,82,3,95.6,3,13,2,86.7,5,0,100.0,11,0,2
https://rugby-union-feeds.incrowdsports.com/v1/matches/284117,284117,1002,202401,Top 14,2024-09-07,1,Bayonne,Perpignan,Perpignan,away,21,19,12,16,48.0,35.7,1,428,110,21,7,151,12,12,153,27,8,25,659,1,100.0,4,100.0,0,73,1,96.2,4,12,1,85.7,7,1,87.5,9,0,1
https://rugby-union-feeds.incrowdsports.com/v1/matches/284116,284116,1002,202401,Top 14,2024-09-07,1,Clermont Auvergne,Pau,Clermont Auvergne,home,39,7,10,7,49.6,49.2,5,535,112,20,9,112,15,14,124,23,6,32,961,3,75.0,2,50.0,0,67,0,97.2,9,18,0,94.7,0,1,0.0,13,0,1
https://rugby-union-feeds.incrowdsports.com/v1/matches/284116,284116,1002,202401,Top 14,2024-09-07,1,Clermont Auvergne,Pau,Pau,away,39,7,10,7,50.4,50.7,1,252,113,23,2,129,12,8,117,20,8,28,921,1,100.0,0,,0,70,2,91.2,8,19,1,90.5,6,2,75.0,16,0,3
https://rugby-union-feeds.incrowdsports.com/v1/matches/284118,284118,1002,202401,Top 14,2024-09-07,1,Castres Olympique,Racing 92,Castres Olympique,home,31,28,13,14,49.2,42.8,3,420,111,16,6,94,16,13,124,33,5,29,1049,2,66.7,4,80.0,0,67,2,94.7,4,12,2,85.7,5,0,100.0,12,0,2
https://rugby-union-feeds.incrowdsports.com/v1/matches/284118,284118,1002,202401,Top 14,2024-09-07,1,Castres Olympique,Racing 92,Racing 92,away,31,28,13,14,50.8,57.2,4,685,122,33,11,124,16,16,114,16,6,24,724,4,100.0,0,0.0,0,71,1,94.9,1,10,1,90.9,4,1,80.0,11,0,1
https://rugby-union-feeds.incrowdsports.com/v1/matches/284119,284119,1002,202401,Top 14,2024-09-07,1,Montpellier,Lyon O.U.,Montpellier,home,22,26,14,17,53.8,48.9,3,506,122,21,5,125,6,17,120,28,8,31,862,2,66.7,1,100.0,0,83,1,95.5,5,14,3,73.7,5,0,100.0,11,0,2
https://rugby-union-feeds.incrowdsports.com/v1/matches/284119,284119,1002,202401,Top 14,2024-09-07,1,Montpellier,Lyon O.U.,Lyon O.U.,away,22,26,14,17,46.1,51.1,2,491,113,28,10,121,14,13,143,21,10,36,1259,1,100.0,4,100.0,0,62,2,90.3,3,11,4,64.7,5,0,100.0,10,0,0
https://rugby-union-feeds.incrowdsports.com/v1/matches/284122,284122,1002,202401,Top 14,2024-09-07,1,Bordeaux-Begles,Stade Francais Paris,Bordeaux-Begles,home,46,26,28,5,46.5,54.6,6,781,157,24,20,179,20,13,155,28,6,25,829,5,83.3,2,100.0,0,81,2,96.6,3,13,4,72.2,2,0,100.0,8,0,0
https://rugby-union-feeds.incrowdsports.com/v1/matches/284122,284122,1002,202401,Top 14,2024-09-07,1,Bordeaux-Begles,Stade Francais Paris,Stade Francais Paris,away,46,26,28,5,53.5,45.4,4,559,140,28,7,163,13,16,154,24,7,28,786,3,75.0,0,,0,99,0,100.0,3,15,0,100.0,5,1,83.3,10,0,1
https://rugby-union-feeds.incrowdsports.com/v1/matches/284121,284121,1002,202401,Top 14,2024-09-08,1,La Rochelle,Toulon,La Rochelle,home,19,15,7,3,57.8,68.1,3,585,136,27,12,135,15,17,74,15,4,16,608,2,66.7,0,,0,80,1,95.5,6,14,7,60.9,4,1,80.0,11,0,0
https://rugby-union-feeds.incrowdsports.com/v1/matches/284121,284121,1002,202401,Top 14,2024-09-08,1,La Rochelle,Toulon,Toulon,away,19,15,7,3,42.2,31.9,2,343,73,15,5,73,5,9,163,27,8,35,975,1,50.0,1,100.0,0,42,1,90.0,5,14,0,100.0,4,1,80.0,17,0,3
https://rugby-union-feeds.incrowdsports.com/v1/matches/284120,284120,1002,202401,Top 14,2024-09-08,1,Vannes,Toulouse,Vannes,home,18,43,6,23,51.5,57.1,2,364,109,17,1,80,7,17,116,22,7,15,445,1,50.0,2,100.0,0,75,2,93.0,4,12,3,80.0,5,0,100.0,11,0,0
https://rugby-union-feeds.incrowdsports.com/v1/matches/284120,284120,1002,202401,Top 14,2024-09-08,1,Vannes,Toulouse,Toulouse,away,18,43,6,23,48.5,42.9,5,404,101,22,8,113,10,10,135,17,8,25,761,3,60.0,4,100.0,0,65,1,94.2,10,16,0,100.0,7,1,87.5,12,0,0
https://rugby-union-feeds.incrowdsports.com/v1/matches/284125,284125,1002,202401,Top 14,2024-09-14,2,Toulon,Castres Olympique,Toulon,home,30,28,13,17,60.1,59.9,3,561,159,37,8,171,23,12,90,7,6,21,830,3,100.0,3,60.0,0,84,1,94.6,3,16,4,76.2,2,0,100.0,9,0,0
https://rugby-union-feeds.incrowdsports.com/v1/matches/284125,284125,1002,202401,Top 14,2024-09-14,2,Toulon,Castres Olympique,Castres Olympique,away,30,28,13,17,39.9,40.1,3,342,84,7,5,76,8,5,169,37,7,26,1025,2,66.7,3,75.0,0,46,2,84.2,3,6,0,85.7,7,1,87.5,19,0,2
https://rugby-union-feeds.incrowdsports.com/v1/matches/284127,284127,1002,202401,Top 14,2024-09-14,2,Stade Francais Paris,Vannes,Stade Francais Paris,home,34,31,24,10,54.0,51.9,5,657,117,44,12,116,9,14,108,22,7,21,636,3,60.0,1,100.0,0,76,1,93.9,2,8,2,80.0,7,1,87.5,14,0,2
https://rugby-union-feeds.incrowdsports.com/v1/matches/284127,284127,1002,202401,Top 14,2024-09-14,2,Stade Francais Paris,Vannes,Vannes,away,34,31,24,10,46.0,48.1,5,506,102,22,16,111,14,17,154,44,9,21,530,3,60.0,0,0.0,0,54,2,91.8,1,15,3,79.0,11,0,100.0,6,0,0
https://rugby-union-feeds.incrowdsports.com/v1/matches/284124,284124,1002,202401,Top 14,2024-09-14,2,Racing 92,Clermont Auvergne,Racing 92,home,33,20,13,13,37.4,39.0,4,429,97,21,11,122,10,15,187,19,7,28,860,2,50.0,3,75.0,0,52,1,98.2,4,11,1,84.6,3,2,60.0,10,0,1
https://rugby-union-feeds.incrowdsports.com/v1/matches/284124,284124,1002,202401,Top 14,2024-09-14,2,Racing 92,Clermont Auvergne,Clermont Auvergne,away,33,20,13,13,62.6,61.0,2,423,151,19,6,147,13,12,102,21,4,23,717,2,100.0,2,66.7,0,114,2,96.7,7,15,2,83.3,4,0,100.0,10,0,0
